Paper_ID,ML_Condition_ID,Target,Source_Target_Field,Source_Label,Analysis_Label,Evidence_Quality_Flag,TWIP_Phase_Source,TWIP_Phase_Category,Analysis_Decision,Master_Label_Changed
P007,P007_MC_A600_72h,T2_FCC_TWIP_STRICT,Effective_TWIP,1.0,,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,EXCLUDED_NOT_CONVERTED_TO_ZERO_PHASE_INCOMPATIBLE_OR_UNRESOLVED,False
P008,P008_MC_N2p6_PC,T1_TRIP,Effective_TRIP,0.0,0.0,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,SOURCE_LABEL_RETAINED,False
P008,P008_MC_N2p6_PC,T2_ANY_TWIP,Effective_TWIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,SOURCE_LABEL_RETAINED,False
P008,P008_MC_N2p6_PC,T2_FCC_TWIP_STRICT,Effective_TWIP,1.0,,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,EXCLUDED_NOT_CONVERTED_TO_ZERO_PHASE_INCOMPATIBLE_OR_UNRESOLVED,False
P016,P016_MC_400C_3min,T1_TRIP,Effective_TRIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P016,P016_MC_400C_3min,T2_ANY_TWIP,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P016,P016_MC_400C_3min,T2_FCC_TWIP_STRICT,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P016,P016_MC_400C_10min,T1_TRIP,Effective_TRIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P016,P016_MC_400C_10min,T2_ANY_TWIP,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P016,P016_MC_400C_10min,T2_FCC_TWIP_STRICT,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P016,P016_MC_650C_3min,T1_TRIP,Effective_TRIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,,NA,SOURCE_LABEL_RETAINED,False
P016,P016_MC_650C_3min,T2_ANY_TWIP,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P016,P016_MC_650C_3min,T2_FCC_TWIP_STRICT,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P016,P016_MC_650C_10min,T1_TRIP,Effective_TRIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,,NA,SOURCE_LABEL_RETAINED,False
P016,P016_MC_650C_10min,T2_ANY_TWIP,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P016,P016_MC_650C_10min,T2_FCC_TWIP_STRICT,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P016,P016_MC_750C_3min,T1_TRIP,Effective_TRIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,SOURCE_LABEL_RETAINED,False
P016,P016_MC_750C_3min,T2_ANY_TWIP,Effective_TWIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,SOURCE_LABEL_RETAINED,False
P016,P016_MC_750C_3min,T2_FCC_TWIP_STRICT,Effective_TWIP,1.0,,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,EXCLUDED_NOT_CONVERTED_TO_ZERO_PHASE_INCOMPATIBLE_OR_UNRESOLVED,False
P016,P016_MC_750C_10min,T1_TRIP,Effective_TRIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P016,P016_MC_750C_10min,T2_ANY_TWIP,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P016,P016_MC_750C_10min,T2_FCC_TWIP_STRICT,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P008,P008_MC_N0_HOMO,T1_TRIP,Effective_TRIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P008,P008_MC_N0_HOMO,T2_ANY_TWIP,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P008,P008_MC_N0_HOMO,T2_FCC_TWIP_STRICT,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P008,P008_MC_N0_PC,T1_TRIP,Effective_TRIP,1.0,1.0,OTHER_VERIFIED,,OTHER_UNKNOWN,SOURCE_LABEL_RETAINED,False
P008,P008_MC_N0_PC,T2_ANY_TWIP,Effective_TWIP,1.0,1.0,OTHER_VERIFIED,,OTHER_UNKNOWN,SOURCE_LABEL_RETAINED,False
P008,P008_MC_N0_PC,T2_FCC_TWIP_STRICT,Effective_TWIP,1.0,,OTHER_VERIFIED,,OTHER_UNKNOWN,EXCLUDED_NOT_CONVERTED_TO_ZERO_PHASE_INCOMPATIBLE_OR_UNRESOLVED,False
P008,P008_MC_N0_FC,T1_TRIP,Effective_TRIP,1.0,1.0,OTHER_VERIFIED,,NA,SOURCE_LABEL_RETAINED,False
P008,P008_MC_N0_FC,T2_ANY_TWIP,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P008,P008_MC_N0_FC,T2_FCC_TWIP_STRICT,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P008,P008_MC_N2p6_HOMO,T1_TRIP,Effective_TRIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P008,P008_MC_N2p6_HOMO,T2_ANY_TWIP,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P008,P008_MC_N2p6_HOMO,T2_FCC_TWIP_STRICT,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P008,P008_MC_N2p6_FC,T1_TRIP,Effective_TRIP,0.0,0.0,OTHER_VERIFIED,,OTHER_UNKNOWN,SOURCE_LABEL_RETAINED,False
P008,P008_MC_N2p6_FC,T2_ANY_TWIP,Effective_TWIP,1.0,1.0,OTHER_VERIFIED,,OTHER_UNKNOWN,SOURCE_LABEL_RETAINED,False
P008,P008_MC_N2p6_FC,T2_FCC_TWIP_STRICT,Effective_TWIP,1.0,,OTHER_VERIFIED,,OTHER_UNKNOWN,EXCLUDED_NOT_CONVERTED_TO_ZERO_PHASE_INCOMPATIBLE_OR_UNRESOLVED,False
P010,P010_MC_AlloyI,T1_TRIP,Effective_TRIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,SOURCE_LABEL_RETAINED,False
P010,P010_MC_AlloyI,T2_ANY_TWIP,Effective_TWIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,SOURCE_LABEL_RETAINED,False
P010,P010_MC_AlloyI,T2_FCC_TWIP_STRICT,Effective_TWIP,1.0,,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,EXCLUDED_NOT_CONVERTED_TO_ZERO_PHASE_INCOMPATIBLE_OR_UNRESOLVED,False
P010,P010_MC_AlloyII,T1_TRIP,Effective_TRIP,0.0,0.0,OTHER_VERIFIED,,OTHER_UNKNOWN,SOURCE_LABEL_RETAINED,False
P010,P010_MC_AlloyII,T2_ANY_TWIP,Effective_TWIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,SOURCE_LABEL_RETAINED,False
P010,P010_MC_AlloyII,T2_FCC_TWIP_STRICT,Effective_TWIP,1.0,,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,EXCLUDED_NOT_CONVERTED_TO_ZERO_PHASE_INCOMPATIBLE_OR_UNRESOLVED,False
P010,P010_MC_AlloyIII,T1_TRIP,Effective_TRIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,SOURCE_LABEL_RETAINED,False
P010,P010_MC_AlloyIII,T2_ANY_TWIP,Effective_TWIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,SOURCE_LABEL_RETAINED,False
P010,P010_MC_AlloyIII,T2_FCC_TWIP_STRICT,Effective_TWIP,1.0,,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,EXCLUDED_NOT_CONVERTED_TO_ZERO_PHASE_INCOMPATIBLE_OR_UNRESOLVED,False
P011,P011_MC_A9_298K,T1_TRIP,Effective_TRIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P011,P011_MC_A9_298K,T2_ANY_TWIP,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P011,P011_MC_A9_298K,T2_FCC_TWIP_STRICT,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P011,P011_MC_A10_298K,T1_TRIP,Effective_TRIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,SOURCE_LABEL_RETAINED,False
P011,P011_MC_A10_298K,T2_ANY_TWIP,Effective_TWIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,SOURCE_LABEL_RETAINED,False
P011,P011_MC_A10_298K,T2_FCC_TWIP_STRICT,Effective_TWIP,1.0,,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,EXCLUDED_NOT_CONVERTED_TO_ZERO_PHASE_INCOMPATIBLE_OR_UNRESOLVED,False
P011,P011_MC_A11_298K,T1_TRIP,Effective_TRIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P011,P011_MC_A11_298K,T2_ANY_TWIP,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P011,P011_MC_A11_298K,T2_FCC_TWIP_STRICT,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P011,P011_MC_A10_77K,T1_TRIP,Effective_TRIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,,NOT_APPLICABLE_NEGATIVE,SOURCE_LABEL_RETAINED,False
P011,P011_MC_A10_77K,T2_ANY_TWIP,Effective_TWIP,0.0,0.0,DIRECT_HIGH_CONFIDENCE,,NOT_APPLICABLE_NEGATIVE,SOURCE_LABEL_RETAINED,False
P011,P011_MC_A10_77K,T2_FCC_TWIP_STRICT,Effective_TWIP,0.0,0,DIRECT_HIGH_CONFIDENCE,,NOT_APPLICABLE_NEGATIVE,SOURCE_LABEL_RETAINED,False
P012,P012_MC_BASE_RT,T1_TRIP,Effective_TRIP,,,NA,,FCC,SOURCE_TARGET_NA_PRESERVED,False
P012,P012_MC_BASE_RT,T2_ANY_TWIP,Effective_TWIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,,FCC,SOURCE_LABEL_RETAINED,False
P012,P012_MC_BASE_RT,T2_FCC_TWIP_STRICT,Effective_TWIP,1.0,1,DIRECT_HIGH_CONFIDENCE,,FCC,SOURCE_LABEL_RETAINED,False
P012,P012_MC_MO_RT,T1_TRIP,Effective_TRIP,,,NA,,FCC,SOURCE_TARGET_NA_PRESERVED,False
P012,P012_MC_MO_RT,T2_ANY_TWIP,Effective_TWIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,,FCC,SOURCE_LABEL_RETAINED,False
P012,P012_MC_MO_RT,T2_FCC_TWIP_STRICT,Effective_TWIP,1.0,1,DIRECT_HIGH_CONFIDENCE,,FCC,SOURCE_LABEL_RETAINED,False
P012,P012_MC_C_RT,T1_TRIP,Effective_TRIP,,,NA,,FCC,SOURCE_TARGET_NA_PRESERVED,False
P012,P012_MC_C_RT,T2_ANY_TWIP,Effective_TWIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,,FCC,SOURCE_LABEL_RETAINED,False
P012,P012_MC_C_RT,T2_FCC_TWIP_STRICT,Effective_TWIP,1.0,1,DIRECT_HIGH_CONFIDENCE,,FCC,SOURCE_LABEL_RETAINED,False
P012,P012_MC_BASE_77K,T1_TRIP,Effective_TRIP,1.0,1.0,OTHER_VERIFIED,,NA,SOURCE_LABEL_RETAINED,False
P012,P012_MC_BASE_77K,T2_ANY_TWIP,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P012,P012_MC_BASE_77K,T2_FCC_TWIP_STRICT,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P012,P012_MC_MO_77K,T1_TRIP,Effective_TRIP,1.0,1.0,OTHER_VERIFIED,,NA,SOURCE_LABEL_RETAINED,False
P012,P012_MC_MO_77K,T2_ANY_TWIP,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P012,P012_MC_MO_77K,T2_FCC_TWIP_STRICT,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P012,P012_MC_C_77K,T1_TRIP,Effective_TRIP,1.0,1.0,OTHER_VERIFIED,,FCC,SOURCE_LABEL_RETAINED,False
P012,P012_MC_C_77K,T2_ANY_TWIP,Effective_TWIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,,FCC,SOURCE_LABEL_RETAINED,False
P012,P012_MC_C_77K,T2_FCC_TWIP_STRICT,Effective_TWIP,1.0,1,DIRECT_HIGH_CONFIDENCE,,FCC,SOURCE_LABEL_RETAINED,False
P013,P013_MC_ASCAST_RT,T1_TRIP,Effective_TRIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,,HCP_EPSILON,SOURCE_LABEL_RETAINED,False
P013,P013_MC_ASCAST_RT,T2_ANY_TWIP,Effective_TWIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,,HCP_EPSILON,SOURCE_LABEL_RETAINED,False
P013,P013_MC_ASCAST_RT,T2_FCC_TWIP_STRICT,Effective_TWIP,1.0,,DIRECT_HIGH_CONFIDENCE,,HCP_EPSILON,EXCLUDED_NOT_CONVERTED_TO_ZERO_PHASE_INCOMPATIBLE_OR_UNRESOLVED,False
P014,P014_MC_ASCAST,T1_TRIP,Effective_TRIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P014,P014_MC_ASCAST,T2_ANY_TWIP,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P014,P014_MC_ASCAST,T2_FCC_TWIP_STRICT,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P014,P014_MC_CR,T1_TRIP,Effective_TRIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P014,P014_MC_CR,T2_ANY_TWIP,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P014,P014_MC_CR,T2_FCC_TWIP_STRICT,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P014,P014_MC_A600,T1_TRIP,Effective_TRIP,1.0,1.0,OTHER_VERIFIED,,OTHER_UNKNOWN,SOURCE_LABEL_RETAINED,False
P014,P014_MC_A600,T2_ANY_TWIP,Effective_TWIP,1.0,1.0,OTHER_VERIFIED,,OTHER_UNKNOWN,SOURCE_LABEL_RETAINED,False
P014,P014_MC_A600,T2_FCC_TWIP_STRICT,Effective_TWIP,1.0,,OTHER_VERIFIED,,OTHER_UNKNOWN,EXCLUDED_NOT_CONVERTED_TO_ZERO_PHASE_INCOMPATIBLE_OR_UNRESOLVED,False
P014,P014_MC_A650,T1_TRIP,Effective_TRIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P014,P014_MC_A650,T2_ANY_TWIP,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P014,P014_MC_A650,T2_FCC_TWIP_STRICT,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P014,P014_MC_A700,T1_TRIP,Effective_TRIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P014,P014_MC_A700,T2_ANY_TWIP,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P014,P014_MC_A700,T2_FCC_TWIP_STRICT,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P015,P015_MC_298K,T1_TRIP,Effective_TRIP,0.0,0.0,OTHER_VERIFIED,,FCC,SOURCE_LABEL_RETAINED,False
P015,P015_MC_298K,T2_ANY_TWIP,Effective_TWIP,1.0,1.0,OTHER_VERIFIED,,FCC,SOURCE_LABEL_RETAINED,False
P015,P015_MC_298K,T2_FCC_TWIP_STRICT,Effective_TWIP,1.0,1,OTHER_VERIFIED,,FCC,SOURCE_LABEL_RETAINED,False
P015,P015_MC_77K,T1_TRIP,Effective_TRIP,1.0,1.0,OTHER_VERIFIED,,OTHER_UNKNOWN,SOURCE_LABEL_RETAINED,False
P015,P015_MC_77K,T2_ANY_TWIP,Effective_TWIP,1.0,1.0,OTHER_VERIFIED,,OTHER_UNKNOWN,SOURCE_LABEL_RETAINED,False
P015,P015_MC_77K,T2_FCC_TWIP_STRICT,Effective_TWIP,1.0,,OTHER_VERIFIED,,OTHER_UNKNOWN,EXCLUDED_NOT_CONVERTED_TO_ZERO_PHASE_INCOMPATIBLE_OR_UNRESOLVED,False
P002,P002_MC_A600_RT,T1_TRIP,Effective_TRIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P002,P002_MC_A600_RT,T2_ANY_TWIP,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P002,P002_MC_A600_RT,T2_FCC_TWIP_STRICT,Effective_TWIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
P002,P002_MC_A700_RT,T1_TRIP,Effective_TRIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,SOURCE_LABEL_RETAINED,False
P002,P002_MC_A700_RT,T2_ANY_TWIP,Effective_TWIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,SOURCE_LABEL_RETAINED,False
P002,P002_MC_A700_RT,T2_FCC_TWIP_STRICT,Effective_TWIP,1.0,,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,EXCLUDED_NOT_CONVERTED_TO_ZERO_PHASE_INCOMPATIBLE_OR_UNRESOLVED,False
P002,P002_MC_A800_RT,T1_TRIP,Effective_TRIP,1.0,1.0,AUTHOR_ATTRIBUTED_OR_MEDIUM,,OTHER_UNKNOWN,SOURCE_LABEL_RETAINED,False
P002,P002_MC_A800_RT,T2_ANY_TWIP,Effective_TWIP,1.0,1.0,AUTHOR_ATTRIBUTED_OR_MEDIUM,,OTHER_UNKNOWN,SOURCE_LABEL_RETAINED,False
P002,P002_MC_A800_RT,T2_FCC_TWIP_STRICT,Effective_TWIP,1.0,,AUTHOR_ATTRIBUTED_OR_MEDIUM,,OTHER_UNKNOWN,EXCLUDED_NOT_CONVERTED_TO_ZERO_PHASE_INCOMPATIBLE_OR_UNRESOLVED,False
P020,P020_MC_TRIPHEA_INSITU,T1_TRIP,Effective_TRIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,HCP,HCP_EPSILON,SOURCE_LABEL_RETAINED,False
P020,P020_MC_TRIPHEA_INSITU,T2_ANY_TWIP,Effective_TWIP,1.0,1.0,DIRECT_HIGH_CONFIDENCE,HCP,HCP_EPSILON,SOURCE_LABEL_RETAINED,False
P020,P020_MC_TRIPHEA_INSITU,T2_FCC_TWIP_STRICT,Effective_TWIP,1.0,,DIRECT_HIGH_CONFIDENCE,HCP,HCP_EPSILON,EXCLUDED_NOT_CONVERTED_TO_ZERO_PHASE_INCOMPATIBLE_OR_UNRESOLVED,False
P021,P021_MC_A900_5M_RT_G10,T1_TRIP,Effective_TRIP,,,NA,,NA,SOURCE_TARGET_NA_PRESERVED,False
