Paper_ID,DOI,Original_Experiment_Group_ID,Parent_Experiment_ID,Condition_ID,Observation_ID,Deformation_Stage_ID,Data_Origin,Observation_Role,Grouping_Review_Required,Grouping_Reason,Confidence
P003,10.1016/j.msea.2020.138982,P003_G01,P003_PE02,P003_C02,OBS015,,EXPERIMENTAL,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P003,10.1016/j.msea.2020.138982,P003_G01,P003_PE03,P003_C03,OBS016,,EXPERIMENTAL,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P003,10.1016/j.msea.2020.138982,P003_G01,P003_PE04,P003_C04,OBS017,,EXPERIMENTAL,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P003,10.1016/j.msea.2020.138982,P003_G01,P003_PE05,P003_C05,OBS018,,EXPERIMENTAL,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P003,10.1016/j.msea.2020.138982,P003_G01,P003_PE06,P003_C06,OBS019,,EXPERIMENTAL,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P003,10.1016/j.msea.2020.138982,P003_G01,P003_PE07,P003_C07,OBS020,,EXPERIMENTAL,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P004,10.1016/j.msea.2026.150025,P004_G01,P004_PE01,P004_C01,OBS021,P004_PE01_DS01,EXPERIMENTAL,REPEATED_STAGE,0,Rows are explicitly identified as stages of one interrupted or in-situ tensile series.,HIGH
P004,10.1016/j.msea.2026.150025,P004_G01,P004_PE01,P004_C02,OBS022,P004_PE01_DS02,EXPERIMENTAL,REPEATED_STAGE,0,Rows are explicitly identified as stages of one interrupted or in-situ tensile series.,HIGH
P004,10.1016/j.msea.2026.150025,P004_G01,P004_PE01,P004_C03,OBS023,P004_PE01_DS03,EXPERIMENTAL,REPEATED_STAGE,0,Rows are explicitly identified as stages of one interrupted or in-situ tensile series.,HIGH
P004,10.1016/j.msea.2026.150025,P004_G01,P004_PE01,P004_C04,OBS024,P004_PE01_DS04,EXPERIMENTAL,REPEATED_STAGE,0,Rows are explicitly identified as stages of one interrupted or in-situ tensile series.,HIGH
P004,10.1016/j.msea.2026.150025,P004_G01,P004_PE01,P004_C05,OBS025,P004_PE01_DS05,EXPERIMENTAL,REPEATED_STAGE,0,Rows are explicitly identified as stages of one interrupted or in-situ tensile series.,HIGH
P004,10.1016/j.msea.2026.150025,P004_G01,P004_PE01,P004_C06,OBS026,P004_PE01_DS06,EXPERIMENTAL,REPEATED_STAGE,0,Rows are explicitly identified as stages of one interrupted or in-situ tensile series.,HIGH
P005,10.1016/j.actamat.2022.118049,P005_G01,P005_PE01,P005_C01,OBS027,P005_PE01_DS01,EXPERIMENTAL,REPEATED_STAGE,0,Rows are explicitly identified as stages of one interrupted or in-situ tensile series.,HIGH
P005,10.1016/j.actamat.2022.118049,P005_G01,P005_PE01,P005_C02,OBS028,P005_PE01_DS02,EXPERIMENTAL,REPEATED_STAGE,0,Rows are explicitly identified as stages of one interrupted or in-situ tensile series.,HIGH
P005,10.1016/j.actamat.2022.118049,P005_G01,P005_PE01,P005_C03,OBS029,P005_PE01_DS03,EXPERIMENTAL,REPEATED_STAGE,0,Rows are explicitly identified as stages of one interrupted or in-situ tensile series.,HIGH
P006,10.1016/j.scriptamat.2019.02.018,P006_G01,P006_PE01,P006_C01,OBS030,,HYBRID,INDEPENDENT_CONDITION,1,Condition is kept separate; extracted fields do not fully identify specimen/test-series relationships.,LOW
P006,10.1016/j.scriptamat.2019.02.018,P006_G01,P006_PE02,P006_C02,OBS031,,HYBRID,INDEPENDENT_CONDITION,1,Condition is kept separate; extracted fields do not fully identify specimen/test-series relationships.,LOW
P006,10.1016/j.scriptamat.2019.02.018,P006_G01,P006_PE03,P006_C03,OBS032,,HYBRID,INDEPENDENT_CONDITION,1,Condition is kept separate; extracted fields do not fully identify specimen/test-series relationships.,LOW
P007,10.1016/j.actamat.2022.117974,P007_G01,P007_PE01,P007_C01,OBS033,,EXPERIMENTAL,INDEPENDENT_CONDITION,1,Condition is kept separate; extracted fields do not fully identify specimen/test-series relationships.,LOW
P007,10.1016/j.actamat.2022.117974,P007_G01,P007_PE02,P007_C02,OBS034,,EXPERIMENTAL,INDEPENDENT_CONDITION,1,Condition is kept separate; extracted fields do not fully identify specimen/test-series relationships.,LOW
P007,10.1016/j.actamat.2022.117974,P007_G01,P007_PE03,P007_C03,OBS035,,EXPERIMENTAL,INDEPENDENT_CONDITION,1,Condition is kept separate; extracted fields do not fully identify specimen/test-series relationships.,LOW
P007,10.1016/j.actamat.2022.117974,P007_G01,P007_PE04,P007_C04,OBS036,,EXPERIMENTAL,INDEPENDENT_CONDITION,1,Condition is kept separate; extracted fields do not fully identify specimen/test-series relationships.,LOW
P007,10.1016/j.actamat.2022.117974,P007_G01,P007_PE05,P007_C05,OBS037,,EXPERIMENTAL,INDEPENDENT_CONDITION,1,Condition is kept separate; extracted fields do not fully identify specimen/test-series relationships.,LOW
P008,10.1016/j.ijplas.2021.102965,P008_G01,P008_PE01,P008_C01,OBS038,,EXPERIMENTAL,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P008,10.1016/j.ijplas.2021.102965,P008_G02,P008_PE02,P008_C02,OBS039,,EXPERIMENTAL,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P010,10.1103/PhysRevMaterials.4.033601,P010_G01,P010_PE01,P010_C01,OBS040,,HYBRID,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P010,10.1103/PhysRevMaterials.4.033601,P010_G02,P010_PE02,P010_C02,OBS041,,HYBRID,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P010,10.1103/PhysRevMaterials.4.033601,P010_G03,P010_PE03,P010_C03,OBS042,,HYBRID,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P009,10.1126/sciadv.abo7333,P009_G01,P009_PE01,P009_C01,OBS043,,HYBRID,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P009,10.1126/sciadv.abo7333,P009_G02,P009_PE02,P009_C02,OBS044,,HYBRID,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P009,10.1126/sciadv.abo7333,P009_G03,P009_PE03,P009_C03,OBS045,,HYBRID,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P009,10.1126/sciadv.abo7333,P009_G04,P009_PE04,P009_C04,OBS046,,HYBRID,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P009,10.1126/sciadv.abo7333,P009_G05,P009_PE05,P009_C05,OBS047,,HYBRID,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P009,10.1126/sciadv.abo7333,P009_G06,P009_PE06,P009_C06,OBS048,,HYBRID,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P009,10.1126/sciadv.abo7333,P009_G07,P009_PE07,P009_C07,OBS049,,HYBRID,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P011,10.1016/j.jallcom.2023.170225,P011_A8,P011_PE01,P011_C01,OBS050,,EXPERIMENTAL,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P011,10.1016/j.jallcom.2023.170225,P011_A9,P011_PE02,P011_C02,OBS051,,EXPERIMENTAL,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P011,10.1016/j.jallcom.2023.170225,P011_A10,P011_PE03,P011_C03,OBS052,,EXPERIMENTAL,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P011,10.1016/j.jallcom.2023.170225,P011_A11,P011_PE04,P011_C04,OBS053,,EXPERIMENTAL,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P011,10.1016/j.jallcom.2023.170225,P011_A10,P011_PE05,P011_C05,OBS054,,EXPERIMENTAL,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P012,10.1016/j.jallcom.2022.165108,P012_Fe40Mn40Co10Cr10,P012_PE01,P012_C01,OBS055,,HYBRID,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P012,10.1016/j.jallcom.2022.165108,P012_Fe40Mn40Co10Cr10,P012_PE02,P012_C02,OBS056,,HYBRID,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P012,10.1016/j.jallcom.2022.165108,P012_Fe39.5Mn40Co10Cr10C0.5,P012_PE03,P012_C03,OBS057,,HYBRID,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P012,10.1016/j.jallcom.2022.165108,P012_Fe39.5Mn40Co10Cr10C0.5,P012_PE04,P012_C04,OBS058,,HYBRID,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P012,10.1016/j.jallcom.2022.165108,P012_Fe38.3Mn40Co10Cr10Mo1.7,P012_PE05,P012_C05,OBS059,,HYBRID,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P012,10.1016/j.jallcom.2022.165108,P012_Fe38.3Mn40Co10Cr10Mo1.7,P012_PE06,P012_C06,OBS060,,HYBRID,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P013,10.1016/j.ijplas.2024.104048,P013_G01,P013_PE01,P013_C01,OBS061,P013_PE01_DS01,EXPERIMENTAL,REPEATED_STAGE,0,Rows are explicitly identified as stages of one interrupted or in-situ tensile series.,HIGH
P013,10.1016/j.ijplas.2024.104048,P013_G01,P013_PE01,P013_C02,OBS062,P013_PE01_DS02,EXPERIMENTAL,REPEATED_STAGE,0,Rows are explicitly identified as stages of one interrupted or in-situ tensile series.,HIGH
P013,10.1016/j.ijplas.2024.104048,P013_G01,P013_PE01,P013_C03,OBS063,P013_PE01_DS03,EXPERIMENTAL,REPEATED_STAGE,0,Rows are explicitly identified as stages of one interrupted or in-situ tensile series.,HIGH
P013,10.1016/j.ijplas.2024.104048,P013_G01,P013_PE01,P013_C04,OBS064,P013_PE01_DS04,EXPERIMENTAL,REPEATED_STAGE,0,Rows are explicitly identified as stages of one interrupted or in-situ tensile series.,HIGH
P013,10.1016/j.ijplas.2024.104048,P013_G01,P013_PE01,P013_C05,OBS065,P013_PE01_DS05,EXPERIMENTAL,REPEATED_STAGE,0,Rows are explicitly identified as stages of one interrupted or in-situ tensile series.,HIGH
P014,10.3390/ma17235893,P014_As-cast,P014_PE01,P014_C01,OBS066,,EXPERIMENTAL,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P014,10.3390/ma17235893,P014_Cold rolled,P014_PE02,P014_C02,OBS067,,EXPERIMENTAL,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P014,10.3390/ma17235893,P014_A600,P014_PE03,P014_C03,OBS068,,EXPERIMENTAL,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P014,10.3390/ma17235893,P014_A650,P014_PE04,P014_C04,OBS069,,EXPERIMENTAL,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P014,10.3390/ma17235893,P014_A700,P014_PE05,P014_C05,OBS070,,EXPERIMENTAL,INDEPENDENT_CONDITION,0,Distinct extracted condition retained as a conservative leakage-safe parent.,HIGH
P015,10.1016/j.jallcom.2026.188919,P015_G01,P015_PE01,P015_C01,OBS071,,HYBRID,COMPUTATIONAL_CONDITION,0,Computational condition is isolated from every experimental parent.,HIGH
P015,10.1016/j.jallcom.2026.188919,P015_G01,P015_PE02,P015_C02,OBS072,,HYBRID,COMPUTATIONAL_CONDITION,0,Computational condition is isolated from every experimental parent.,HIGH
P016,10.1016/j.actamat.2018.10.017,P016_G01,P016_PE01,P016_C01,OBS073,,EXPERIMENTAL,INDEPENDENT_CONDITION,1,Condition is kept separate; extracted fields do not fully identify specimen/test-series relationships.,LOW
P016,10.1016/j.actamat.2018.10.017,P016_G02,P016_PE02,P016_C02,OBS074,,EXPERIMENTAL,INDEPENDENT_CONDITION,1,Condition is kept separate; extracted fields do not fully identify specimen/test-series relationships.,LOW
P016,10.1016/j.actamat.2018.10.017,P016_G03,P016_PE03,P016_C03,OBS075,,EXPERIMENTAL,INDEPENDENT_CONDITION,1,Condition is kept separate; extracted fields do not fully identify specimen/test-series relationships.,LOW
P017,10.1016/j.ijplas.2019.102649,P017_Al0.5_T300,P017_PE01,P017_C01,OBS076,,MD,COMPUTATIONAL_CONDITION,0,Computational condition is isolated from every experimental parent.,HIGH
P017,10.1016/j.ijplas.2019.102649,P017_Al0.5_T300,P017_PE02,P017_C02,OBS077,,MD,COMPUTATIONAL_CONDITION,0,Computational condition is isolated from every experimental parent.,HIGH
P017,10.1016/j.ijplas.2019.102649,P017_Al0.5_T600,P017_PE03,P017_C03,OBS078,,MD,COMPUTATIONAL_CONDITION,0,Computational condition is isolated from every experimental parent.,HIGH
P017,10.1016/j.ijplas.2019.102649,P017_Al0.5_T600,P017_PE04,P017_C04,OBS079,,MD,COMPUTATIONAL_CONDITION,0,Computational condition is isolated from every experimental parent.,HIGH
P017,10.1016/j.ijplas.2019.102649,P017_Al1.5_T300,P017_PE05,P017_C05,OBS080,,MD,COMPUTATIONAL_CONDITION,0,Computational condition is isolated from every experimental parent.,HIGH
P017,10.1016/j.ijplas.2019.102649,P017_Al1.5_T300,P017_PE06,P017_C06,OBS081,,MD,COMPUTATIONAL_CONDITION,0,Computational condition is isolated from every experimental parent.,HIGH
P017,10.1016/j.ijplas.2019.102649,P017_Al1.5_T600,P017_PE07,P017_C07,OBS082,,MD,COMPUTATIONAL_CONDITION,0,Computational condition is isolated from every experimental parent.,HIGH
P017,10.1016/j.ijplas.2019.102649,P017_Al1.5_T600,P017_PE08,P017_C08,OBS083,,MD,COMPUTATIONAL_CONDITION,0,Computational condition is isolated from every experimental parent.,HIGH
P018,10.1016/j.ijmecsci.2022.107098,P018_Mn20,P018_PE01,P018_C01,OBS084,,MD,COMPUTATIONAL_CONDITION,0,Computational condition is isolated from every experimental parent.,HIGH
P018,10.1016/j.ijmecsci.2022.107098,P018_Mn20,P018_PE02,P018_C02,OBS085,,MD,COMPUTATIONAL_CONDITION,0,Computational condition is isolated from every experimental parent.,HIGH
P018,10.1016/j.ijmecsci.2022.107098,P018_Mn20,P018_PE03,P018_C03,OBS086,,MD,COMPUTATIONAL_CONDITION,0,Computational condition is isolated from every experimental parent.,HIGH
P018,10.1016/j.ijmecsci.2022.107098,P018_Mn30,P018_PE04,P018_C04,OBS087,,MD,COMPUTATIONAL_CONDITION,0,Computational condition is isolated from every experimental parent.,HIGH
P018,10.1016/j.ijmecsci.2022.107098,P018_Mn30,P018_PE05,P018_C05,OBS088,,MD,COMPUTATIONAL_CONDITION,0,Computational condition is isolated from every experimental parent.,HIGH
P018,10.1016/j.ijmecsci.2022.107098,P018_Mn30,P018_PE06,P018_C06,OBS089,,MD,COMPUTATIONAL_CONDITION,0,Computational condition is isolated from every experimental parent.,HIGH
P018,10.1016/j.ijmecsci.2022.107098,P018_Mn40,P018_PE07,P018_C07,OBS090,,MD,COMPUTATIONAL_CONDITION,0,Computational condition is isolated from every experimental parent.,HIGH
P018,10.1016/j.ijmecsci.2022.107098,P018_Mn40,P018_PE08,P018_C08,OBS091,,MD,COMPUTATIONAL_CONDITION,0,Computational condition is isolated from every experimental parent.,HIGH
P018,10.1016/j.ijmecsci.2022.107098,P018_Mn40,P018_PE09,P018_C09,OBS092,,MD,COMPUTATIONAL_CONDITION,0,Computational condition is isolated from every experimental parent.,HIGH
P018,10.1016/j.ijmecsci.2022.107098,P018_Mn50,P018_PE10,P018_C10,OBS093,,MD,COMPUTATIONAL_CONDITION,0,Computational condition is isolated from every experimental parent.,HIGH
P018,10.1016/j.ijmecsci.2022.107098,P018_Mn50,P018_PE11,P018_C11,OBS094,,MD,COMPUTATIONAL_CONDITION,0,Computational condition is isolated from every experimental parent.,HIGH
P018,10.1016/j.ijmecsci.2022.107098,P018_Mn50,P018_PE12,P018_C12,OBS095,,MD,COMPUTATIONAL_CONDITION,0,Computational condition is isolated from every experimental parent.,HIGH
P019,10.1016/j.jallcom.2025.179770,P019_multiscale,P019_PE01,P019_C01,OBS096,,OTHER_COMPUTATIONAL,COMPUTATIONAL_CONDITION,0,Computational condition is isolated from every experimental parent.,HIGH
P019,10.1016/j.jallcom.2025.179770,P019_multiscale,P019_PE02,P019_C02,OBS097,,OTHER_COMPUTATIONAL,COMPUTATIONAL_CONDITION,0,Computational condition is isolated from every experimental parent.,HIGH
P019,10.1016/j.jallcom.2025.179770,P019_multiscale,P019_PE03,P019_C03,OBS098,,OTHER_COMPUTATIONAL,COMPUTATIONAL_CONDITION,0,Computational condition is isolated from every experimental parent.,HIGH
