Paper_ID,DOI,Condition_ID,Experiment_Group_ID,Row_Type,TRIP,TWIP,Slip,Dominant_mechanism,Evidence_TRIP,Evidence_TWIP,Deformation_stage,Source_location,Label_confidence,Problem_Type,Problem_Description,Likely_Root_Cause,Suggested_Action,Can_Auto_Fix,Requires_Paper_Review
P005,10.1016/j.actamat.2022.118049,P005_C03,P005_G01,Interrupted strain microstructure,1,1,1,Numerous thin deformation twins; multiple twin systems in grains; HCP-twin overlap observed,,Atomic-resolution HAADF-STEM identifies HCP lamellae from ε≈0.1,interrupted tensile,Yes,Figs. 1-10; SFE section; Experimental procedure,H,Repeated deformation-stage observation has missing or compound mechanism syntax,Stage-resolved observations share a parent experiment but mechanisms evolve with strain,Retain stage row and verify stage-specific labels in the cited source,False,True
P006,10.1016/j.scriptamat.2019.02.018,P006_C01,P006_G01,Experimental + DFT/CALPHAD,,,1,Reference equiatomic alloy; label not forced,XRD/EBSD; TRIP explicitly identified for Ni15Fe10,EBSD; TWIP explicitly identified for Ni15Fe15,final tensile,Figs. 1-3; abstract/conclusions,Medium,E,Binary label intentionally unresolved despite contextual mechanism text,Available extraction text does not support an unambiguous condition-specific label,Inspect the cited paper location; preserve NA meanwhile,False,True
P007,10.1016/j.actamat.2022.117974,P007_C03,P007_G01,Experimental,,,1,Mechanism transition; exact class to verify,TEM/XRD evidence for deformation-induced ε and reverse transformation,TEM deformation twins for short annealing times,final tensile,"Table 3; Figs. 3,5-10; conclusions",Medium,E,Binary label intentionally unresolved despite contextual mechanism text,Available extraction text does not support an unambiguous condition-specific label,Inspect the cited paper location; preserve NA meanwhile,False,True
P007,10.1016/j.actamat.2022.117974,P007_C04,P007_G01,Experimental,1,,1,Multi-variant ε + reverse transformation + sequential transformation,TEM/XRD evidence for deformation-induced ε and reverse transformation,TEM deformation twins for short annealing times,final tensile,"Table 3; Figs. 3,5-10; conclusions",High,B,Binary label is missing while textual evidence is present,Evidence was extracted without a defensible binary condition-level assignment,Review evidence against target definition; do not infer from suggestive wording,False,True
P007,10.1016/j.actamat.2022.117974,P007_C05,P007_G01,Experimental,1,,1,Multi-variant ε + reverse transformation + sequential transformation,TEM/XRD evidence for deformation-induced ε and reverse transformation,TEM deformation twins for short annealing times,final tensile,"Table 3; Figs. 3,5-10; conclusions",High,B,Binary label is missing while textual evidence is present,Evidence was extracted without a defensible binary condition-level assignment,Review evidence against target definition; do not infer from suggestive wording,False,True
P008,10.1016/j.ijplas.2021.102965,P008_C01,P008_G01,Experimental,1,,1,Martensitic-transformation-dominant base alloy,Paper states base alloy dominated by martensitic transformation,Not assigned until condition-specific twin evidence is extracted,final tensile,Abstract + methods + mechanism comparison,Medium,B,Binary label is missing while textual evidence is present,Evidence was extracted without a defensible binary condition-level assignment,Review evidence against target definition; do not infer from suggestive wording,False,True
P008,10.1016/j.ijplas.2021.102965,P008_C02,P008_G02,Experimental,0,1,1,Twinning-dominant; martensitic transformation suppressed,Paper explicitly states dominant mechanism changes away from martensitic transformation,TEM/EBSD evidence; twinning becomes dominant,final tensile,Abstract; methods; deformation microstructure section,High,E,Dominant mechanism uses compound '/' or ';' terminology,Multiple co-active or stage-dependent mechanisms are represented in free text,Keep binary labels; manually verify that each refers to deformation at this condition,False,True
P010,10.1103/PhysRevMaterials.4.033601,P010_C01,P010_G01,Experimental + DFT/magnetism,1,1,1,TRIP with twin-like planar defects / mixed low-SFE deformation,XRD/EBSD/TEM phase evidence and alloy-level mechanism assignment,TEM/EBSD/ECCI local-strain mechanism evidence; alloy-level comparison,local strain ~20% mechanism characterization,Abstract; Figs. 1-5; Summary and Conclusions,Medium,E,Dominant mechanism uses compound '/' or ';' terminology,Multiple co-active or stage-dependent mechanisms are represented in free text,Keep binary labels; manually verify that each refers to deformation at this condition,False,True
P010,10.1103/PhysRevMaterials.4.033601,P010_C03,P010_G03,Experimental + DFT/magnetism,0,0,1,Stable FCC / planar-slip-dominant relative to designed TRIP/TWIP alloys,XRD/EBSD/TEM phase evidence and alloy-level mechanism assignment,TEM/EBSD/ECCI local-strain mechanism evidence; alloy-level comparison,local strain ~20% mechanism characterization,Abstract; Figs. 1-5; Summary and Conclusions,High,E,Dominant mechanism uses compound '/' or ';' terminology,Multiple co-active or stage-dependent mechanisms are represented in free text,Keep binary labels; manually verify that each refers to deformation at this condition,False,True
P011,10.1016/j.jallcom.2023.170225,P011_C05,P011_A10,Experimental,1,0,1,Enhanced TRIP; dislocation slip; no mechanical twinning,77 K response attributed to a more significant TRIP effect.,Paper explicitly reports no mechanical twinning at 77 K.,,Abstract; tensile-temperature comparison,High,E,Dominant mechanism uses compound '/' or ';' terminology,Multiple co-active or stage-dependent mechanisms are represented in free text,Keep binary labels; manually verify that each refers to deformation at this condition,False,True
P012,10.1016/j.jallcom.2022.165108,P012_C02,P012_Fe40Mn40Co10Cr10,Experimental + thermodynamics,1,1,1,Cryogenic TRIP/TWIP; strain-induced martensite favored,"At cryogenic temperature, preferential strain-induced martensitic transformation is reported; Mo increases ε-martensite with strain.",Deformation twinning dominant for all three alloys at RT; coupled TWIP/TRIP reported at cryogenic temperature.,,Abstract; experimental sections; Table 2/strain-dependent results,High,E,Dominant mechanism uses compound '/' or ';' terminology,Multiple co-active or stage-dependent mechanisms are represented in free text,Keep binary labels; manually verify that each refers to deformation at this condition,False,True
P012,10.1016/j.jallcom.2022.165108,P012_C04,P012_Fe39.5Mn40Co10Cr10C0.5,Experimental + thermodynamics,1,1,1,Synergistic TWIP + TRIP; exceptional strength/ductility,"At cryogenic temperature, preferential strain-induced martensitic transformation is reported; Mo increases ε-martensite with strain.",Deformation twinning dominant for all three alloys at RT; coupled TWIP/TRIP reported at cryogenic temperature.,,Abstract; experimental sections; Table 2/strain-dependent results,High,E,Dominant mechanism uses compound '/' or ';' terminology,Multiple co-active or stage-dependent mechanisms are represented in free text,Keep binary labels; manually verify that each refers to deformation at this condition,False,True
P013,10.1016/j.ijplas.2024.104048,P013_C02,P013_G01,Experimental in-situ strain-resolved,1,1,1,Stage-resolved load accommodation from SXRD; TRIP/TWIP/slip contributions evolve with stress.,In-situ SXRD quantitatively tracks γ-FCC→ε-HCP phase evolution.,SXRD peak/orientation analysis identifies twinning activity in ε-HCP during loading.,Stage I,Abstract; Materials and methods; four-stage SXRD results,High,H,Repeated deformation-stage observation has missing or compound mechanism syntax,Stage-resolved observations share a parent experiment but mechanisms evolve with strain,Retain stage row and verify stage-specific labels in the cited source,False,True
P013,10.1016/j.ijplas.2024.104048,P013_C03,P013_G01,Experimental in-situ strain-resolved,1,1,1,Stage-resolved load accommodation from SXRD; TRIP/TWIP/slip contributions evolve with stress.,In-situ SXRD quantitatively tracks γ-FCC→ε-HCP phase evolution.,SXRD peak/orientation analysis identifies twinning activity in ε-HCP during loading.,Stage II,Abstract; Materials and methods; four-stage SXRD results,High,H,Repeated deformation-stage observation has missing or compound mechanism syntax,Stage-resolved observations share a parent experiment but mechanisms evolve with strain,Retain stage row and verify stage-specific labels in the cited source,False,True
P013,10.1016/j.ijplas.2024.104048,P013_C04,P013_G01,Experimental in-situ strain-resolved,1,1,1,Stage-resolved load accommodation from SXRD; TRIP/TWIP/slip contributions evolve with stress.,In-situ SXRD quantitatively tracks γ-FCC→ε-HCP phase evolution.,SXRD peak/orientation analysis identifies twinning activity in ε-HCP during loading.,Stage III,Abstract; Materials and methods; four-stage SXRD results,High,H,Repeated deformation-stage observation has missing or compound mechanism syntax,Stage-resolved observations share a parent experiment but mechanisms evolve with strain,Retain stage row and verify stage-specific labels in the cited source,False,True
P013,10.1016/j.ijplas.2024.104048,P013_C05,P013_G01,Experimental in-situ strain-resolved,1,1,1,Stage-resolved load accommodation from SXRD; TRIP/TWIP/slip contributions evolve with stress.,In-situ SXRD quantitatively tracks γ-FCC→ε-HCP phase evolution.,SXRD peak/orientation analysis identifies twinning activity in ε-HCP during loading.,Stage IV,Abstract; Materials and methods; four-stage SXRD results,High,H,Repeated deformation-stage observation has missing or compound mechanism syntax,Stage-resolved observations share a parent experiment but mechanisms evolve with strain,Retain stage row and verify stage-specific labels in the cited source,False,True
P014,10.3390/ma17235893,P014_C03,P014_A600,Experimental,1,1,1,FCC→HCP transformation + deformation twins + HDI strengthening/strain hardening,Cold rolling induces FCC→HCP; tensile deformation of heterogeneous states includes FCC→HCP transformation.,Deformation twins contribute to ductility in heterogeneous annealed states.,,Processing; microstructure; tensile and strengthening/deformation-mechanism sections,Medium,E,Dominant mechanism uses compound '/' or ';' terminology,Multiple co-active or stage-dependent mechanisms are represented in free text,Keep binary labels; manually verify that each refers to deformation at this condition,False,True
P014,10.3390/ma17235893,P014_C04,P014_A650,Experimental,1,1,1,FCC→HCP transformation + deformation twins + HDI strengthening/strain hardening,Cold rolling induces FCC→HCP; tensile deformation of heterogeneous states includes FCC→HCP transformation.,Deformation twins contribute to ductility in heterogeneous annealed states.,,Processing; microstructure; tensile and strengthening/deformation-mechanism sections,Medium,E,Dominant mechanism uses compound '/' or ';' terminology,Multiple co-active or stage-dependent mechanisms are represented in free text,Keep binary labels; manually verify that each refers to deformation at this condition,False,True
P014,10.3390/ma17235893,P014_C05,P014_A700,Experimental,1,1,1,FCC→HCP transformation + deformation twins + HDI strengthening/strain hardening,Cold rolling induces FCC→HCP; tensile deformation of heterogeneous states includes FCC→HCP transformation.,Deformation twins contribute to ductility in heterogeneous annealed states.,,Processing; microstructure; tensile and strengthening/deformation-mechanism sections,Medium,E,Dominant mechanism uses compound '/' or ';' terminology,Multiple co-active or stage-dependent mechanisms are represented in free text,Keep binary labels; manually verify that each refers to deformation at this condition,False,True
P015,10.1016/j.jallcom.2026.188919,P015_C01,P015_G01,Experimental + MD-derived SFE,0,1,1,TWIP-dominant; deformation bands/HDDWs and nanotwins,No TRIP-dominant response; TWIP governs at 298 K.,Mechanical nanotwins observed; TWIP active at both temperatures.,,Abstract; Sections 2.1-2.4; mechanism model; conclusions,High,G,Computational/model row is in the mechanism-flag set,Computational evidence was audited with experimental labels,Retain row; separate computational targets and review label semantics,False,True
P015,10.1016/j.jallcom.2026.188919,P015_C02,P015_G01,Experimental + MD-derived SFE,1,1,1,Synergistic TWIP + TRIP; secondary twins + ε-martensite,ε-martensite activated at high strain at 77 K.,Mechanical nanotwins observed; TWIP active at both temperatures.,,Abstract; Sections 2.1-2.4; mechanism model; conclusions,High,G,Computational/model row is in the mechanism-flag set,Computational evidence was audited with experimental labels,Retain row; separate computational targets and review label semantics,False,True
P016,10.1016/j.actamat.2018.10.017,P016_C01,P016_G01,Experimental processing/tensile condition,,,1,Nanograin/nanotwin strengthening; condition-specific TRIP/TWIP labels not forced,Condition-specific binary TRIP label not explicitly assigned,Condition-specific binary TWIP label not explicitly assigned,Bimodal tempered,Acta Materialia 163 (2019) 40–54,Medium,E,Binary label intentionally unresolved despite contextual mechanism text,Available extraction text does not support an unambiguous condition-specific label,Inspect the cited paper location; preserve NA meanwhile,False,True
P016,10.1016/j.actamat.2018.10.017,P016_C02,P016_G02,Experimental processing/tensile condition,,,1,Recovered parent grains + nanograins; hierarchical bimodal microstructure,Condition-specific binary TRIP label not explicitly assigned,Condition-specific binary TWIP label not explicitly assigned,Bimodal tempered,Acta Materialia 163 (2019) 40–54,Medium,E,Binary label intentionally unresolved despite contextual mechanism text,Available extraction text does not support an unambiguous condition-specific label,Inspect the cited paper location; preserve NA meanwhile,False,True
P017,10.1016/j.ijplas.2019.102649,P017_C01,P017_Al0.5_T300,Molecular-dynamics simulation,1,1,1,Coupled TWIP-induced TRIP and TRIP-induced TWIP; stacking-fault/dislocation/twin evolution,MD reports TWIP-induced TRIP and TRIP-induced TWIP mechanisms,MD reports twinning and detwinning,,International Journal of Plasticity 127 (2020) 102649,High,G,Computational/model row is in the mechanism-flag set,Computational evidence was audited with experimental labels,Retain row; separate computational targets and review label semantics,False,True
P017,10.1016/j.ijplas.2019.102649,P017_C02,P017_Al0.5_T300,Molecular-dynamics simulation,1,1,1,Coupled TWIP-induced TRIP and TRIP-induced TWIP; stacking-fault/dislocation/twin evolution,MD reports TWIP-induced TRIP and TRIP-induced TWIP mechanisms,MD reports twinning and detwinning,,International Journal of Plasticity 127 (2020) 102649,High,G,Computational/model row is in the mechanism-flag set,Computational evidence was audited with experimental labels,Retain row; separate computational targets and review label semantics,False,True
P017,10.1016/j.ijplas.2019.102649,P017_C03,P017_Al0.5_T600,Molecular-dynamics simulation,1,1,1,Coupled TWIP-induced TRIP and TRIP-induced TWIP; stacking-fault/dislocation/twin evolution,MD reports TWIP-induced TRIP and TRIP-induced TWIP mechanisms,MD reports twinning and detwinning,,International Journal of Plasticity 127 (2020) 102649,High,G,Computational/model row is in the mechanism-flag set,Computational evidence was audited with experimental labels,Retain row; separate computational targets and review label semantics,False,True
P017,10.1016/j.ijplas.2019.102649,P017_C04,P017_Al0.5_T600,Molecular-dynamics simulation,1,1,1,Coupled TWIP-induced TRIP and TRIP-induced TWIP; stacking-fault/dislocation/twin evolution,MD reports TWIP-induced TRIP and TRIP-induced TWIP mechanisms,MD reports twinning and detwinning,,International Journal of Plasticity 127 (2020) 102649,High,G,Computational/model row is in the mechanism-flag set,Computational evidence was audited with experimental labels,Retain row; separate computational targets and review label semantics,False,True
P017,10.1016/j.ijplas.2019.102649,P017_C05,P017_Al1.5_T300,Molecular-dynamics simulation,1,1,1,Coupled TWIP-induced TRIP and TRIP-induced TWIP; stacking-fault/dislocation/twin evolution,MD reports TWIP-induced TRIP and TRIP-induced TWIP mechanisms,MD reports twinning and detwinning,,International Journal of Plasticity 127 (2020) 102649,High,G,Computational/model row is in the mechanism-flag set,Computational evidence was audited with experimental labels,Retain row; separate computational targets and review label semantics,False,True
P017,10.1016/j.ijplas.2019.102649,P017_C06,P017_Al1.5_T300,Molecular-dynamics simulation,1,1,1,Coupled TWIP-induced TRIP and TRIP-induced TWIP; stacking-fault/dislocation/twin evolution,MD reports TWIP-induced TRIP and TRIP-induced TWIP mechanisms,MD reports twinning and detwinning,,International Journal of Plasticity 127 (2020) 102649,High,G,Computational/model row is in the mechanism-flag set,Computational evidence was audited with experimental labels,Retain row; separate computational targets and review label semantics,False,True
P017,10.1016/j.ijplas.2019.102649,P017_C07,P017_Al1.5_T600,Molecular-dynamics simulation,1,1,1,Coupled TWIP-induced TRIP and TRIP-induced TWIP; stacking-fault/dislocation/twin evolution,MD reports TWIP-induced TRIP and TRIP-induced TWIP mechanisms,MD reports twinning and detwinning,,International Journal of Plasticity 127 (2020) 102649,High,G,Computational/model row is in the mechanism-flag set,Computational evidence was audited with experimental labels,Retain row; separate computational targets and review label semantics,False,True
P017,10.1016/j.ijplas.2019.102649,P017_C08,P017_Al1.5_T600,Molecular-dynamics simulation,1,1,1,Coupled TWIP-induced TRIP and TRIP-induced TWIP; stacking-fault/dislocation/twin evolution,MD reports TWIP-induced TRIP and TRIP-induced TWIP mechanisms,MD reports twinning and detwinning,,International Journal of Plasticity 127 (2020) 102649,High,G,Computational/model row is in the mechanism-flag set,Computational evidence was audited with experimental labels,Retain row; separate computational targets and review label semantics,False,True
P018,10.1016/j.ijmecsci.2022.107098,P018_C01,P018_Mn20,Molecular-dynamics simulation,1,1,1,"Grain-size/composition-dependent Shockley partials, stacking faults, twinning and transformation",MD phase/defect evolution in TRIP–TWIP Fe-Mn-Co-Cr series,"MD tracks partial dislocations, stacking faults and twin evolution",,International Journal of Mechanical Sciences 219 (2022) 107098,Medium,G,Computational/model row is in the mechanism-flag set,Computational evidence was audited with experimental labels,Retain row; separate computational targets and review label semantics,False,True
P018,10.1016/j.ijmecsci.2022.107098,P018_C02,P018_Mn20,Molecular-dynamics simulation,1,1,1,"Grain-size/composition-dependent Shockley partials, stacking faults, twinning and transformation",MD phase/defect evolution in TRIP–TWIP Fe-Mn-Co-Cr series,"MD tracks partial dislocations, stacking faults and twin evolution",,International Journal of Mechanical Sciences 219 (2022) 107098,Medium,G,Computational/model row is in the mechanism-flag set,Computational evidence was audited with experimental labels,Retain row; separate computational targets and review label semantics,False,True
P018,10.1016/j.ijmecsci.2022.107098,P018_C03,P018_Mn20,Molecular-dynamics simulation,1,1,1,"Grain-size/composition-dependent Shockley partials, stacking faults, twinning and transformation",MD phase/defect evolution in TRIP–TWIP Fe-Mn-Co-Cr series,"MD tracks partial dislocations, stacking faults and twin evolution",,International Journal of Mechanical Sciences 219 (2022) 107098,Medium,G,Computational/model row is in the mechanism-flag set,Computational evidence was audited with experimental labels,Retain row; separate computational targets and review label semantics,False,True
P018,10.1016/j.ijmecsci.2022.107098,P018_C04,P018_Mn30,Molecular-dynamics simulation,1,1,1,"Grain-size/composition-dependent Shockley partials, stacking faults, twinning and transformation",MD phase/defect evolution in TRIP–TWIP Fe-Mn-Co-Cr series,"MD tracks partial dislocations, stacking faults and twin evolution",,International Journal of Mechanical Sciences 219 (2022) 107098,Medium,G,Computational/model row is in the mechanism-flag set,Computational evidence was audited with experimental labels,Retain row; separate computational targets and review label semantics,False,True
P018,10.1016/j.ijmecsci.2022.107098,P018_C05,P018_Mn30,Molecular-dynamics simulation,1,1,1,"Grain-size/composition-dependent Shockley partials, stacking faults, twinning and transformation",MD phase/defect evolution in TRIP–TWIP Fe-Mn-Co-Cr series,"MD tracks partial dislocations, stacking faults and twin evolution",,International Journal of Mechanical Sciences 219 (2022) 107098,Medium,G,Computational/model row is in the mechanism-flag set,Computational evidence was audited with experimental labels,Retain row; separate computational targets and review label semantics,False,True
P018,10.1016/j.ijmecsci.2022.107098,P018_C06,P018_Mn30,Molecular-dynamics simulation,1,1,1,"Grain-size/composition-dependent Shockley partials, stacking faults, twinning and transformation",MD phase/defect evolution in TRIP–TWIP Fe-Mn-Co-Cr series,"MD tracks partial dislocations, stacking faults and twin evolution",,International Journal of Mechanical Sciences 219 (2022) 107098,Medium,G,Computational/model row is in the mechanism-flag set,Computational evidence was audited with experimental labels,Retain row; separate computational targets and review label semantics,False,True
P018,10.1016/j.ijmecsci.2022.107098,P018_C07,P018_Mn40,Molecular-dynamics simulation,1,1,1,"Grain-size/composition-dependent Shockley partials, stacking faults, twinning and transformation",MD phase/defect evolution in TRIP–TWIP Fe-Mn-Co-Cr series,"MD tracks partial dislocations, stacking faults and twin evolution",,International Journal of Mechanical Sciences 219 (2022) 107098,Medium,G,Computational/model row is in the mechanism-flag set,Computational evidence was audited with experimental labels,Retain row; separate computational targets and review label semantics,False,True
