Paper_ID,ML_Condition_ID,TRIP_Current,TWIP_Current,TRIP_Evidence,TWIP_Evidence,Evidence_Type,Evidence_Location,Page,Figure_Table,Verification_Status,Notes
P007,P007_MC05,1.0,,TEM/XRD evidence for deformation-induced ε and reverse transformation,TEM deformation twins for short annealing times,,"Table 3; Figs. 3,5-10; conclusions",,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P008,P008_MC01,1.0,,Paper states base alloy dominated by martensitic transformation,Not assigned until condition-specific twin evidence is extracted,,Abstract + methods + mechanism comparison,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P008,P008_MC02,0.0,1.0,Paper explicitly states dominant mechanism changes away from martensitic transformation,TEM/EBSD evidence; twinning becomes dominant,,Abstract; methods; deformation microstructure section,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P010,P010_MC01,1.0,1.0,XRD/EBSD/TEM phase evidence and alloy-level mechanism assignment,TEM/EBSD/ECCI local-strain mechanism evidence; alloy-level comparison,,Abstract; Figs. 1-5; Summary and Conclusions,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P010,P010_MC02,0.0,1.0,XRD/EBSD/TEM phase evidence and alloy-level mechanism assignment,TEM/EBSD/ECCI local-strain mechanism evidence; alloy-level comparison,,Abstract; Figs. 1-5; Summary and Conclusions,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P010,P010_MC03,0.0,0.0,XRD/EBSD/TEM phase evidence and alloy-level mechanism assignment,TEM/EBSD/ECCI local-strain mechanism evidence; alloy-level comparison,,Abstract; Figs. 1-5; Summary and Conclusions,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P011,P011_MC01,1.0,1.0,Phase transformation reported during tensile deformation at 298 K.,Mechanical twinning reported during tensile deformation at 298 K.,,Experimental procedures; abstract; microstructure/tensile results,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P011,P011_MC02,1.0,1.0,Phase transformation reported during tensile deformation at 298 K.,Mechanical twinning reported during tensile deformation at 298 K.,,Experimental procedures; abstract; microstructure/tensile results,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P011,P011_MC03,1.0,1.0,Phase transformation reported during tensile deformation at 298 K.,Mechanical twinning reported during tensile deformation at 298 K.,,Experimental procedures; abstract; microstructure/tensile results,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P011,P011_MC04,1.0,1.0,Phase transformation reported during tensile deformation at 298 K.,Mechanical twinning reported during tensile deformation at 298 K.,,Experimental procedures; abstract; microstructure/tensile results,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P011,P011_MC05,1.0,0.0,77 K response attributed to a more significant TRIP effect.,Paper explicitly reports no mechanical twinning at 77 K.,,Abstract; tensile-temperature comparison,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P012,P012_MC01,0.0,1.0,RT response described as deformation-twinning dominant.,Deformation twinning dominant for all three alloys at RT; coupled TWIP/TRIP reported at cryogenic temperature.,,Abstract; experimental sections; Table 2/strain-dependent results,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P012,P012_MC02,1.0,1.0,"At cryogenic temperature, preferential strain-induced martensitic transformation is reported; Mo increases ε-martensite with strain.",Deformation twinning dominant for all three alloys at RT; coupled TWIP/TRIP reported at cryogenic temperature.,,Abstract; experimental sections; Table 2/strain-dependent results,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P012,P012_MC03,0.0,1.0,RT response described as deformation-twinning dominant.,Deformation twinning dominant for all three alloys at RT; coupled TWIP/TRIP reported at cryogenic temperature.,,Abstract; experimental sections; Table 2/strain-dependent results,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P012,P012_MC04,1.0,1.0,"At cryogenic temperature, preferential strain-induced martensitic transformation is reported; Mo increases ε-martensite with strain.",Deformation twinning dominant for all three alloys at RT; coupled TWIP/TRIP reported at cryogenic temperature.,,Abstract; experimental sections; Table 2/strain-dependent results,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P012,P012_MC05,0.0,1.0,RT response described as deformation-twinning dominant.,Deformation twinning dominant for all three alloys at RT; coupled TWIP/TRIP reported at cryogenic temperature.,,Abstract; experimental sections; Table 2/strain-dependent results,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P012,P012_MC06,1.0,1.0,"At cryogenic temperature, preferential strain-induced martensitic transformation is reported; Mo increases ε-martensite with strain.",Deformation twinning dominant for all three alloys at RT; coupled TWIP/TRIP reported at cryogenic temperature.,,Abstract; experimental sections; Table 2/strain-dependent results,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P013,P013_MC01,1.0,1.0,In-situ SXRD quantitatively tracks γ-FCC→ε-HCP phase evolution.,SXRD peak/orientation analysis identifies twinning activity in ε-HCP during loading.,,Abstract; Materials and methods; four-stage SXRD results,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P014,P014_MC01,1.0,1.0,Cold rolling induces FCC→HCP; tensile deformation of heterogeneous states includes FCC→HCP transformation.,Deformation twins contribute to ductility in heterogeneous annealed states.,,Processing; microstructure; tensile and strengthening/deformation-mechanism sections,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P014,P014_MC02,1.0,1.0,Cold rolling induces FCC→HCP; tensile deformation of heterogeneous states includes FCC→HCP transformation.,Deformation twins contribute to ductility in heterogeneous annealed states.,,Processing; microstructure; tensile and strengthening/deformation-mechanism sections,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P014,P014_MC03,1.0,1.0,Cold rolling induces FCC→HCP; tensile deformation of heterogeneous states includes FCC→HCP transformation.,Deformation twins contribute to ductility in heterogeneous annealed states.,,Processing; microstructure; tensile and strengthening/deformation-mechanism sections,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P014,P014_MC04,1.0,1.0,Cold rolling induces FCC→HCP; tensile deformation of heterogeneous states includes FCC→HCP transformation.,Deformation twins contribute to ductility in heterogeneous annealed states.,,Processing; microstructure; tensile and strengthening/deformation-mechanism sections,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P014,P014_MC05,1.0,1.0,Cold rolling induces FCC→HCP; tensile deformation of heterogeneous states includes FCC→HCP transformation.,Deformation twins contribute to ductility in heterogeneous annealed states.,,Processing; microstructure; tensile and strengthening/deformation-mechanism sections,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P015,P015_MC01,0.0,1.0,No TRIP-dominant response; TWIP governs at 298 K.,Mechanical nanotwins observed; TWIP active at both temperatures.,,Abstract; Sections 2.1-2.4; mechanism model; conclusions,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P015,P015_MC02,1.0,1.0,ε-martensite activated at high strain at 77 K.,Mechanical nanotwins observed; TWIP active at both temperatures.,,Abstract; Sections 2.1-2.4; mechanism model; conclusions,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P016,P016_MC01,,,Condition-specific binary TRIP label not explicitly assigned,Condition-specific binary TWIP label not explicitly assigned,,Acta Materialia 163 (2019) 40–54,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P016,P016_MC02,,,Condition-specific binary TRIP label not explicitly assigned,Condition-specific binary TWIP label not explicitly assigned,,Acta Materialia 163 (2019) 40–54,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P016,P016_MC03,1.0,1.0,Sequential phase-stability response linked to grain-size hierarchy,Sequential twinning response linked to grain-size hierarchy,,Acta Materialia 163 (2019) 40–54,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P017,P017_MC01,1.0,1.0,MD reports TWIP-induced TRIP and TRIP-induced TWIP mechanisms,MD reports twinning and detwinning,,International Journal of Plasticity 127 (2020) 102649,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P017,P017_MC02,1.0,1.0,MD reports TWIP-induced TRIP and TRIP-induced TWIP mechanisms,MD reports twinning and detwinning,,International Journal of Plasticity 127 (2020) 102649,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P017,P017_MC03,1.0,1.0,MD reports TWIP-induced TRIP and TRIP-induced TWIP mechanisms,MD reports twinning and detwinning,,International Journal of Plasticity 127 (2020) 102649,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P017,P017_MC04,1.0,1.0,MD reports TWIP-induced TRIP and TRIP-induced TWIP mechanisms,MD reports twinning and detwinning,,International Journal of Plasticity 127 (2020) 102649,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P017,P017_MC05,1.0,1.0,MD reports TWIP-induced TRIP and TRIP-induced TWIP mechanisms,MD reports twinning and detwinning,,International Journal of Plasticity 127 (2020) 102649,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P017,P017_MC06,1.0,1.0,MD reports TWIP-induced TRIP and TRIP-induced TWIP mechanisms,MD reports twinning and detwinning,,International Journal of Plasticity 127 (2020) 102649,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P017,P017_MC07,1.0,1.0,MD reports TWIP-induced TRIP and TRIP-induced TWIP mechanisms,MD reports twinning and detwinning,,International Journal of Plasticity 127 (2020) 102649,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P017,P017_MC08,1.0,1.0,MD reports TWIP-induced TRIP and TRIP-induced TWIP mechanisms,MD reports twinning and detwinning,,International Journal of Plasticity 127 (2020) 102649,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P018,P018_MC01,1.0,1.0,MD phase/defect evolution in TRIP–TWIP Fe-Mn-Co-Cr series,"MD tracks partial dislocations, stacking faults and twin evolution",,International Journal of Mechanical Sciences 219 (2022) 107098,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P018,P018_MC02,1.0,1.0,MD phase/defect evolution in TRIP–TWIP Fe-Mn-Co-Cr series,"MD tracks partial dislocations, stacking faults and twin evolution",,International Journal of Mechanical Sciences 219 (2022) 107098,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P018,P018_MC03,1.0,1.0,MD phase/defect evolution in TRIP–TWIP Fe-Mn-Co-Cr series,"MD tracks partial dislocations, stacking faults and twin evolution",,International Journal of Mechanical Sciences 219 (2022) 107098,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P018,P018_MC04,1.0,1.0,MD phase/defect evolution in TRIP–TWIP Fe-Mn-Co-Cr series,"MD tracks partial dislocations, stacking faults and twin evolution",,International Journal of Mechanical Sciences 219 (2022) 107098,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P018,P018_MC05,1.0,1.0,MD phase/defect evolution in TRIP–TWIP Fe-Mn-Co-Cr series,"MD tracks partial dislocations, stacking faults and twin evolution",,International Journal of Mechanical Sciences 219 (2022) 107098,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P018,P018_MC06,1.0,1.0,MD phase/defect evolution in TRIP–TWIP Fe-Mn-Co-Cr series,"MD tracks partial dislocations, stacking faults and twin evolution",,International Journal of Mechanical Sciences 219 (2022) 107098,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P018,P018_MC07,1.0,1.0,MD phase/defect evolution in TRIP–TWIP Fe-Mn-Co-Cr series,"MD tracks partial dislocations, stacking faults and twin evolution",,International Journal of Mechanical Sciences 219 (2022) 107098,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P018,P018_MC08,1.0,1.0,MD phase/defect evolution in TRIP–TWIP Fe-Mn-Co-Cr series,"MD tracks partial dislocations, stacking faults and twin evolution",,International Journal of Mechanical Sciences 219 (2022) 107098,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P018,P018_MC09,1.0,1.0,MD phase/defect evolution in TRIP–TWIP Fe-Mn-Co-Cr series,"MD tracks partial dislocations, stacking faults and twin evolution",,International Journal of Mechanical Sciences 219 (2022) 107098,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P018,P018_MC10,1.0,1.0,MD phase/defect evolution in TRIP–TWIP Fe-Mn-Co-Cr series,"MD tracks partial dislocations, stacking faults and twin evolution",,International Journal of Mechanical Sciences 219 (2022) 107098,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P018,P018_MC11,1.0,1.0,MD phase/defect evolution in TRIP–TWIP Fe-Mn-Co-Cr series,"MD tracks partial dislocations, stacking faults and twin evolution",,International Journal of Mechanical Sciences 219 (2022) 107098,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
P018,P018_MC12,1.0,1.0,MD phase/defect evolution in TRIP–TWIP Fe-Mn-Co-Cr series,"MD tracks partial dislocations, stacking faults and twin evolution",,International Journal of Mechanical Sciences 219 (2022) 107098,,,PENDING_PDF_REVIEW,Current labels are read-only; verification must not silently relabel them.
