Source_Workbook,Source_Sheet,Original_Field,Canonical_Field_if_known,Mapping_Status,Number_of_nonmissing_values,Example_values,Scientific_meaning,Recommended_mapping,Risk_of_information_loss,Requires_manual_review
TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx,P006_P010_Master_Extraction,VEC,,NEW_SCIENTIFIC_FEATURE,3,7.68 | 7.62 | 7.87,Reported valence-electron concentration,Add as a distinct provenance-preserving feature; do not collapse into SFE,HIGH if collapsed,True
TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx,P006_P010_Master_Extraction,USFE_mJ_m2,,NEW_SCIENTIFIC_FEATURE,0,,Unstable stacking-fault energy,Add as a distinct provenance-preserving feature; do not collapse into SFE,HIGH if collapsed,True
TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx,P006_P010_Master_Extraction,Derived_delta_atomic_size,,DUPLICATE_INFORMATION,0,,Derived descriptor,Retain provenance; recompute only from documented inputs,MEDIUM,True
TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx,P006_P010_Master_Extraction,Derived_VEC,,DUPLICATE_INFORMATION,3,7.68 | 7.62 | 7.87,Derived descriptor,Retain provenance; recompute only from documented inputs,MEDIUM,True
TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx,P006_P010_Master_Extraction,Derived_DeltaSmix_R,,DUPLICATE_INFORMATION,0,,Derived descriptor,Retain provenance; recompute only from documented inputs,MEDIUM,True
TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx,P006_P010_Master_Extraction,Derived_DeltaHmix_kJmol,,DUPLICATE_INFORMATION,0,,Derived descriptor,Retain provenance; recompute only from documented inputs,MEDIUM,True
TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx,P006_P010_Master_Extraction,Derived_Omega,,DUPLICATE_INFORMATION,0,,Derived descriptor,Retain provenance; recompute only from documented inputs,MEDIUM,True
TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx,P006_P010_Master_Extraction,Derived_electronegativity_mismatch,,DUPLICATE_INFORMATION,0,,Derived descriptor,Retain provenance; recompute only from documented inputs,MEDIUM,True
TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx,P006_P010_Master_Extraction,Derived_mean_Tm_K,,DUPLICATE_INFORMATION,0,,Derived descriptor,Retain provenance; recompute only from documented inputs,MEDIUM,True
TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx,P006_P010_Master_Extraction,Derived_log10_strain_rate,,DUPLICATE_INFORMATION,0,,Derived descriptor,Retain provenance; recompute only from documented inputs,MEDIUM,True
TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx,P006_P010_Master_Extraction,Derived_TRIP_TWIP_class,,DUPLICATE_INFORMATION,0,,Derived descriptor,Retain provenance; recompute only from documented inputs,MEDIUM,True
TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx,P006_P010_Master_Extraction,Derived_feature_status,,DUPLICATE_INFORMATION,20,NA — reserved for later calculation; do not infer during raw extraction,Derived descriptor,Retain provenance; recompute only from documented inputs,MEDIUM,True
TRIP_TWIP_P011_P015_FULL_EXTRACTION.xlsx,P011_P015_Master_Extraction,Data_role,Row_Type,SAFE_ALIAS,23,Experimental,See source extraction header,Map exactly to Row_Type,LOW,False
TRIP_TWIP_P011_P015_FULL_EXTRACTION.xlsx,P011_P015_Master_Extraction,Composition_basis_original,Composition_basis,SAFE_ALIAS,23,at.%,See source extraction header,Map exactly to Composition_basis,LOW,False
TRIP_TWIP_P011_P015_FULL_EXTRACTION.xlsx,P011_P015_Master_Extraction,ISFE_DFT_0K_mJ_m2,,NEW_SCIENTIFIC_FEATURE,0,,Intrinsic stacking-fault energy calculated by DFT at 0 K,Add as a distinct provenance-preserving feature; do not collapse into SFE,HIGH if collapsed,True
TRIP_TWIP_P011_P015_FULL_EXTRACTION.xlsx,P011_P015_Master_Extraction,UMFE_mJ_m2,,NEW_SCIENTIFIC_FEATURE,0,,Unstable martensite-fault energy,Add as a distinct provenance-preserving feature; do not collapse into SFE,HIGH if collapsed,True
TRIP_TWIP_P011_P015_FULL_EXTRACTION.xlsx,P011_P015_Master_Extraction,UTFE_mJ_m2,,NEW_SCIENTIFIC_FEATURE,0,,Unstable twin-fault energy,Add as a distinct provenance-preserving feature; do not collapse into SFE,HIGH if collapsed,True
TRIP_TWIP_P011_P015_FULL_EXTRACTION.xlsx,P011_P015_Master_Extraction,Image_modalities,Characterization_methods,SAFE_ALIAS,23,XRD; SEM; EBSD; TEM; EDS,See source extraction header,Map exactly to Characterization_methods,LOW,False
TRIP_TWIP_P011_P015_FULL_EXTRACTION.xlsx,P011_P015_Master_Extraction,Precipitate_types,,NEW_SCIENTIFIC_FEATURE,0,,Reported precipitate identity,Add as a distinct provenance-preserving feature; do not collapse into SFE,HIGH if collapsed,True
TRIP_TWIP_P011_P015_FULL_EXTRACTION.xlsx,P011_P015_Master_Extraction,Initial_alpha_martensite_area_fraction,,NEW_SCIENTIFIC_FEATURE,0,,Initial alpha-martensite area fraction,Add as a distinct provenance-preserving feature; do not collapse into SFE,HIGH if collapsed,True
TRIP_TWIP_P011_P015_FULL_EXTRACTION.xlsx,P011_P015_Master_Extraction,HDI_strengthening_MPa,,NEW_SCIENTIFIC_FEATURE,0,,Hetero-deformation-induced strengthening contribution,Add as a distinct provenance-preserving feature; do not collapse into SFE,HIGH if collapsed,True
TRIP_TWIP_P011_P015_FULL_EXTRACTION.xlsx,P011_P015_Master_Extraction,Magnetic_state_descriptor,,NEW_SCIENTIFIC_FEATURE,0,,Magnetic state description,Add as a distinct provenance-preserving feature; do not collapse into SFE,HIGH if collapsed,True
TRIP_TWIP_P011_P015_FULL_EXTRACTION.xlsx,P011_P015_Master_Extraction,Magnetic_critical_temperature_K,,NEW_SCIENTIFIC_FEATURE,0,,Magnetic critical temperature,Add as a distinct provenance-preserving feature; do not collapse into SFE,HIGH if collapsed,True
TRIP_TWIP_P011_P015_FULL_EXTRACTION.xlsx,P011_P015_Master_Extraction,VEC,,NEW_SCIENTIFIC_FEATURE,0,,Reported valence-electron concentration,Add as a distinct provenance-preserving feature; do not collapse into SFE,HIGH if collapsed,True
TRIP_TWIP_P011_P015_FULL_EXTRACTION.xlsx,P011_P015_Master_Extraction,USFE_mJ_m2,,NEW_SCIENTIFIC_FEATURE,0,,Unstable stacking-fault energy,Add as a distinct provenance-preserving feature; do not collapse into SFE,HIGH if collapsed,True
TRIP_TWIP_P011_P015_FULL_EXTRACTION.xlsx,P011_P015_Master_Extraction,Derived_delta_atomic_size,,DUPLICATE_INFORMATION,0,,Derived descriptor,Retain provenance; recompute only from documented inputs,MEDIUM,True
TRIP_TWIP_P011_P015_FULL_EXTRACTION.xlsx,P011_P015_Master_Extraction,Derived_VEC,,DUPLICATE_INFORMATION,0,,Derived descriptor,Retain provenance; recompute only from documented inputs,MEDIUM,True
TRIP_TWIP_P011_P015_FULL_EXTRACTION.xlsx,P011_P015_Master_Extraction,Derived_DeltaSmix_R,,DUPLICATE_INFORMATION,0,,Derived descriptor,Retain provenance; recompute only from documented inputs,MEDIUM,True
TRIP_TWIP_P011_P015_FULL_EXTRACTION.xlsx,P011_P015_Master_Extraction,Derived_DeltaHmix_kJmol,,DUPLICATE_INFORMATION,0,,Derived descriptor,Retain provenance; recompute only from documented inputs,MEDIUM,True
TRIP_TWIP_P011_P015_FULL_EXTRACTION.xlsx,P011_P015_Master_Extraction,Derived_Omega,,DUPLICATE_INFORMATION,0,,Derived descriptor,Retain provenance; recompute only from documented inputs,MEDIUM,True
TRIP_TWIP_P011_P015_FULL_EXTRACTION.xlsx,P011_P015_Master_Extraction,Derived_electronegativity_mismatch,,DUPLICATE_INFORMATION,0,,Derived descriptor,Retain provenance; recompute only from documented inputs,MEDIUM,True
TRIP_TWIP_P011_P015_FULL_EXTRACTION.xlsx,P011_P015_Master_Extraction,Derived_mean_Tm_K,,DUPLICATE_INFORMATION,0,,Derived descriptor,Retain provenance; recompute only from documented inputs,MEDIUM,True
TRIP_TWIP_P011_P015_FULL_EXTRACTION.xlsx,P011_P015_Master_Extraction,Derived_log10_strain_rate,,DUPLICATE_INFORMATION,21,-3,Derived descriptor,Retain provenance; recompute only from documented inputs,MEDIUM,True
TRIP_TWIP_P011_P015_FULL_EXTRACTION.xlsx,P011_P015_Master_Extraction,Derived_TRIP_TWIP_class,,DUPLICATE_INFORMATION,23,11,Derived descriptor,Retain provenance; recompute only from documented inputs,MEDIUM,True
TRIP_TWIP_P011_P015_FULL_EXTRACTION.xlsx,P011_P015_Master_Extraction,Derived_feature_status,,DUPLICATE_INFORMATION,23,Calculated only for direct formula fields; other derived descriptors remain NA.,Derived descriptor,Retain provenance; recompute only from documented inputs,MEDIUM,True
