Experiment_Group_ID,Paper_ID,number_of_rows,row_roles,test_temperatures,strain_rates,compositions,processing_conditions,TRIP_values,TWIP_values,Deformation_stages,Is_independent_experimental_group,Internal_label_conflict,Potential_data_leakage_risk,Review_note
P016_G02,P016,1,EXPERIMENTAL_INDEPENDENT,298,0.001,Fe49.5Mn30Co10Cr10C0.5,Hot roll 50%; homogenize 1200C/2h; cold roll 67%; temper/anneal,NA,NA,Bimodal tempered,True,False,LOW,No internal conflict
P016_G03,P016,1,EXPERIMENTAL_INDEPENDENT,298,0.001,Fe49.5Mn30Co10Cr10C0.5,Hot roll 50%; homogenize 1200C/2h; cold roll 67%; temper/anneal,1,1,Trimodal annealed,True,False,LOW,No internal conflict
P017_Al0.5_T300,P017,2,COMPUTATIONAL_MD,300,100000000 | 1000000000,Al0.5CrCoFeCuNi,Atomic model melting + rapid quenching; uniaxial MD tension,1,1,,False,False,HIGH,Correlated rows must remain grouped
P017_Al0.5_T600,P017,2,COMPUTATIONAL_MD,600,100000000 | 1000000000,Al0.5CrCoFeCuNi,Atomic model melting + rapid quenching; uniaxial MD tension,1,1,,False,False,HIGH,Correlated rows must remain grouped
P017_Al1.5_T300,P017,2,COMPUTATIONAL_MD,300,100000000 | 1000000000,Al1.5CrCoFeCuNi,Atomic model melting + rapid quenching; uniaxial MD tension,1,1,,False,False,HIGH,Correlated rows must remain grouped
P017_Al1.5_T600,P017,2,COMPUTATIONAL_MD,600,100000000 | 1000000000,Al1.5CrCoFeCuNi,Atomic model melting + rapid quenching; uniaxial MD tension,1,1,,False,False,HIGH,Correlated rows must remain grouped
P018_Mn20,P018,3,COMPUTATIONAL_MD,,,Fe60Mn20Co10Cr10,Polycrystalline atomistic model; uniaxial MD tension,1,1,,False,False,HIGH,Correlated rows must remain grouped
P018_Mn30,P018,3,COMPUTATIONAL_MD,,,Fe50Mn30Co10Cr10,Polycrystalline atomistic model; uniaxial MD tension,1,1,,False,False,HIGH,Correlated rows must remain grouped
P018_Mn40,P018,3,COMPUTATIONAL_MD,,,Fe40Mn40Co10Cr10,Polycrystalline atomistic model; uniaxial MD tension,1,1,,False,False,HIGH,Correlated rows must remain grouped
P018_Mn50,P018,3,COMPUTATIONAL_MD,,,Fe30Mn50Co10Cr10,Polycrystalline atomistic model; uniaxial MD tension,1,1,,False,False,HIGH,Correlated rows must remain grouped
P019_multiscale,P019,3,COMPUTATIONAL_OTHER,298 | 573 | 77,,Ni47Cr25Co2Mo6Fe20,MD atomic-scale SFE/deformation calculations transferred to mesoscale crystal-plasticity model,1,1,,False,False,HIGH,Correlated rows must remain grouped
