Scope,Target,Evidence_Pool,Design_ID,Fold,Model_ID,TN,FP,FN,TP
FOLD,T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,2,M1_LOGISTIC_BALANCED,0,1,0,4
FOLD,T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,2,M2_RANDOM_FOREST_BALANCED,0,1,0,4
FOLD,T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,2,M3_SVC_RBF_BALANCED,0,1,0,4
FOLD,T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,3,M0_DUMMY_MOST_FREQUENT,0,3,0,3
FOLD,T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,3,M1_LOGISTIC_BALANCED,0,3,0,3
FOLD,T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,3,M2_RANDOM_FOREST_BALANCED,0,3,0,3
FOLD,T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,3,M3_SVC_RBF_BALANCED,0,3,0,3
ALL_DISJOINT_GROUP_KFOLD_TEST_PARTITIONS,T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,,M0_DUMMY_MOST_FREQUENT,0,5,0,13
ALL_DISJOINT_GROUP_KFOLD_TEST_PARTITIONS,T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,,M1_LOGISTIC_BALANCED,1,4,1,12
ALL_DISJOINT_GROUP_KFOLD_TEST_PARTITIONS,T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,,M2_RANDOM_FOREST_BALANCED,0,5,0,13
ALL_DISJOINT_GROUP_KFOLD_TEST_PARTITIONS,T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,,M3_SVC_RBF_BALANCED,0,5,1,12
ALL_DISJOINT_GROUP_KFOLD_TEST_PARTITIONS,T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,,M0_DUMMY_MOST_FREQUENT,0,5,0,12
ALL_DISJOINT_GROUP_KFOLD_TEST_PARTITIONS,T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,,M1_LOGISTIC_BALANCED,1,4,1,11
ALL_DISJOINT_GROUP_KFOLD_TEST_PARTITIONS,T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,,M2_RANDOM_FOREST_BALANCED,0,5,0,12
ALL_DISJOINT_GROUP_KFOLD_TEST_PARTITIONS,T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,,M3_SVC_RBF_BALANCED,0,5,0,12
