Paper_ID,ML_Condition_ID,Observation_IDs,Review_Aspect,Current_Parent_Experiment_ID,Current_Grouping_Confidence,Evidence_Type,Evidence_Location,Page,Figure_Table,Verification_Status,Reviewer_Notes
P007,P007_MC02,OBS034,specimen identity,P007_PE02,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P007,P007_MC02,OBS034,replicate identity,P007_PE02,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P007,P007_MC02,OBS034,condition identity,P007_PE02,LOW,processing/test condition in source,recovery Conditions/Provenance sheets,,,VERIFIED_KEEP_SEPARATE,Distinct composition or annealing duration verifies a distinct ML condition; current conservative parent remains unchanged.
P007,P007_MC02,OBS034,test-series linkage,P007_PE02,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P007,P007_MC02,OBS034,deformation-stage linkage,P007_PE02,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P007,P007_MC03,OBS035,specimen identity,P007_PE03,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P007,P007_MC03,OBS035,replicate identity,P007_PE03,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P007,P007_MC03,OBS035,condition identity,P007_PE03,LOW,processing/test condition in source,recovery Conditions/Provenance sheets,,,VERIFIED_KEEP_SEPARATE,Distinct composition or annealing duration verifies a distinct ML condition; current conservative parent remains unchanged.
P007,P007_MC03,OBS035,test-series linkage,P007_PE03,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P007,P007_MC03,OBS035,deformation-stage linkage,P007_PE03,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P007,P007_MC04,OBS036,specimen identity,P007_PE04,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P007,P007_MC04,OBS036,replicate identity,P007_PE04,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P007,P007_MC04,OBS036,condition identity,P007_PE04,LOW,processing/test condition in source,recovery Conditions/Provenance sheets,,,VERIFIED_KEEP_SEPARATE,Distinct composition or annealing duration verifies a distinct ML condition; current conservative parent remains unchanged.
P007,P007_MC04,OBS036,test-series linkage,P007_PE04,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P007,P007_MC04,OBS036,deformation-stage linkage,P007_PE04,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P007,P007_MC05,OBS037,specimen identity,P007_PE05,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P007,P007_MC05,OBS037,replicate identity,P007_PE05,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P007,P007_MC05,OBS037,condition identity,P007_PE05,LOW,processing/test condition in source,recovery Conditions/Provenance sheets,,,VERIFIED_KEEP_SEPARATE,Distinct composition or annealing duration verifies a distinct ML condition; current conservative parent remains unchanged.
P007,P007_MC05,OBS037,test-series linkage,P007_PE05,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P007,P007_MC05,OBS037,deformation-stage linkage,P007_PE05,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P016,P016_MC01,OBS073,specimen identity,P016_PE01,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P016,P016_MC01,OBS073,replicate identity,P016_PE01,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P016,P016_MC01,OBS073,condition identity,P016_PE01,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P016,P016_MC01,OBS073,test-series linkage,P016_PE01,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P016,P016_MC01,OBS073,deformation-stage linkage,P016_PE01,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P016,P016_MC02,OBS074,specimen identity,P016_PE02,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P016,P016_MC02,OBS074,replicate identity,P016_PE02,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P016,P016_MC02,OBS074,condition identity,P016_PE02,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P016,P016_MC02,OBS074,test-series linkage,P016_PE02,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P016,P016_MC02,OBS074,deformation-stage linkage,P016_PE02,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P016,P016_MC03,OBS075,specimen identity,P016_PE03,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P016,P016_MC03,OBS075,replicate identity,P016_PE03,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P016,P016_MC03,OBS075,condition identity,P016_PE03,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P016,P016_MC03,OBS075,test-series linkage,P016_PE03,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
P016,P016_MC03,OBS075,deformation-stage linkage,P016_PE03,LOW,,,,,MANUAL_MAPPING_REVIEW,Source recovery does not prove specimen/replicate parent linkage; do not guess or regroup. P016 stage/annealed-condition evidence cannot be mapped uniquely to the three existing rows.
