Paper_ID,DOI,Study_Series_ID,Material_Parent_ID,ML_Condition_ID,Observation_ID,Record_ID,Feature_Name,Recovered_Value,Units,Evidence_Type,Evidence_Location,Method,Confidence,Recovery_Status,Data_Origin,Source_URL,Predictor_Eligibility,Provenance_Layer
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Mn_at%,UNRESOLVED_NA,as reported,DIRECT_TEXT_OR_VERIFIED_NA,Materials and methods p.2; tensile condition p.3,Source text without chemistry normalization or temperature/rate inference,MEDIUM,VERIFIED_NA_ATOMIC_RATIO_FORMULA_NOT_NORMALIZED_TO_ATPCT,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,AUDIT_SCOPE_DEPENDENT,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Co_at%,UNRESOLVED_NA,as reported,DIRECT_TEXT_OR_VERIFIED_NA,Materials and methods p.2; tensile condition p.3,Source text without chemistry normalization or temperature/rate inference,MEDIUM,VERIFIED_NA_ATOMIC_RATIO_FORMULA_NOT_NORMALIZED_TO_ATPCT,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,AUDIT_SCOPE_DEPENDENT,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Cr_at%,UNRESOLVED_NA,as reported,DIRECT_TEXT_OR_VERIFIED_NA,Materials and methods p.2; tensile condition p.3,Source text without chemistry normalization or temperature/rate inference,MEDIUM,VERIFIED_NA_ATOMIC_RATIO_FORMULA_NOT_NORMALIZED_TO_ATPCT,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,AUDIT_SCOPE_DEPENDENT,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,C_at%,UNRESOLVED_NA,as reported,DIRECT_TEXT_OR_VERIFIED_NA,Materials and methods p.2; tensile condition p.3,Source text without chemistry normalization or temperature/rate inference,MEDIUM,VERIFIED_NA_ATOMIC_RATIO_FORMULA_NOT_NORMALIZED_TO_ATPCT,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,AUDIT_SCOPE_DEPENDENT,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Mo_at%,UNRESOLVED_NA,as reported,DIRECT_TEXT_OR_VERIFIED_NA,Materials and methods p.2; tensile condition p.3,Source text without chemistry normalization or temperature/rate inference,MEDIUM,VERIFIED_NA_ATOMIC_RATIO_FORMULA_NOT_NORMALIZED_TO_ATPCT,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,AUDIT_SCOPE_DEPENDENT,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Processing_route,AS_CAST_ARC_MELTED_NO_REPORTED_HOMOGENIZATION_ROLLING_OR_ANNEALING,as reported,DIRECT_TEXT_OR_VERIFIED_NA,Materials and methods p.2; tensile condition p.3,Source text without chemistry normalization or temperature/rate inference,MEDIUM,VERIFIED,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,AUDIT_SCOPE_DEPENDENT,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Cast_method,Arc melting; Ti-gettered high-purity Ar; water-cooled Cu crucible,as reported,DIRECT_TEXT_OR_VERIFIED_NA,Materials and methods p.2; tensile condition p.3,Source text without chemistry normalization or temperature/rate inference,MEDIUM,VERIFIED,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,AUDIT_SCOPE_DEPENDENT,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Homogenization_T_K,UNRESOLVED_NA,as reported,DIRECT_TEXT_OR_VERIFIED_NA,Materials and methods p.2; tensile condition p.3,Source text without chemistry normalization or temperature/rate inference,MEDIUM,VERIFIED_NA_NO_POSTCAST_TREATMENT_REPORTED,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,AUDIT_SCOPE_DEPENDENT,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Homogenization_time_h,UNRESOLVED_NA,as reported,DIRECT_TEXT_OR_VERIFIED_NA,Materials and methods p.2; tensile condition p.3,Source text without chemistry normalization or temperature/rate inference,MEDIUM,VERIFIED_NA_NO_POSTCAST_TREATMENT_REPORTED,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,AUDIT_SCOPE_DEPENDENT,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Hot_rolling_T_K,UNRESOLVED_NA,as reported,DIRECT_TEXT_OR_VERIFIED_NA,Materials and methods p.2; tensile condition p.3,Source text without chemistry normalization or temperature/rate inference,MEDIUM,VERIFIED_NA_NO_POSTCAST_TREATMENT_REPORTED,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,AUDIT_SCOPE_DEPENDENT,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Hot_rolling_reduction_pct,UNRESOLVED_NA,as reported,DIRECT_TEXT_OR_VERIFIED_NA,Materials and methods p.2; tensile condition p.3,Source text without chemistry normalization or temperature/rate inference,MEDIUM,VERIFIED_NA_NO_POSTCAST_TREATMENT_REPORTED,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,AUDIT_SCOPE_DEPENDENT,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Cold_rolling_reduction_pct,UNRESOLVED_NA,as reported,DIRECT_TEXT_OR_VERIFIED_NA,Materials and methods p.2; tensile condition p.3,Source text without chemistry normalization or temperature/rate inference,MEDIUM,VERIFIED_NA_NO_POSTCAST_TREATMENT_REPORTED,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,AUDIT_SCOPE_DEPENDENT,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Annealing_T_K,UNRESOLVED_NA,as reported,DIRECT_TEXT_OR_VERIFIED_NA,Materials and methods p.2; tensile condition p.3,Source text without chemistry normalization or temperature/rate inference,MEDIUM,VERIFIED_NA_NO_POSTCAST_TREATMENT_REPORTED,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,AUDIT_SCOPE_DEPENDENT,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Annealing_time_min,UNRESOLVED_NA,as reported,DIRECT_TEXT_OR_VERIFIED_NA,Materials and methods p.2; tensile condition p.3,Source text without chemistry normalization or temperature/rate inference,MEDIUM,VERIFIED_NA_NO_POSTCAST_TREATMENT_REPORTED,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,AUDIT_SCOPE_DEPENDENT,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Cooling_route,AS_CAST_IN_WATER_COOLED_CU_CRUCIBLE,as reported,DIRECT_TEXT_OR_VERIFIED_NA,Materials and methods p.2; tensile condition p.3,Source text without chemistry normalization or temperature/rate inference,MEDIUM,VERIFIED,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,AUDIT_SCOPE_DEPENDENT,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Test_T_K,UNRESOLVED_NA,K,DIRECT_TEXT_OR_VERIFIED_NA,Materials and methods p.2; tensile condition p.3,Source text without chemistry normalization or temperature/rate inference,MEDIUM,VERIFIED_NA_ROOM_TEMPERATURE_NOT_NUMERICALLY_REPORTED,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,AUDIT_SCOPE_DEPENDENT,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Strain_rate_s-1,UNRESOLVED_NA,s^-1,DIRECT_TEXT_OR_VERIFIED_NA,Materials and methods p.2; tensile condition p.3,Source text without chemistry normalization or temperature/rate inference,MEDIUM,VERIFIED_NA_TENSILE_STRAIN_RATE_NOT_REPORTED,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,AUDIT_SCOPE_DEPENDENT,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Gauge_length_mm,UNRESOLVED_NA,mm,DIRECT_TEXT_OR_VERIFIED_NA,Materials and methods p.2; tensile condition p.3,Source text without chemistry normalization or temperature/rate inference,MEDIUM,VERIFIED_NA_SOURCE_DIMENSIONS_NOT_PROMOTED_TO_GAUGE_FIELDS,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,AUDIT_SCOPE_DEPENDENT,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Gauge_width_mm,UNRESOLVED_NA,mm,DIRECT_TEXT_OR_VERIFIED_NA,Materials and methods p.2; tensile condition p.3,Source text without chemistry normalization or temperature/rate inference,MEDIUM,VERIFIED_NA_SOURCE_DIMENSIONS_NOT_PROMOTED_TO_GAUGE_FIELDS,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,AUDIT_SCOPE_DEPENDENT,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Specimen_thickness_mm,UNRESOLVED_NA,mm,DIRECT_TEXT_OR_VERIFIED_NA,Materials and methods p.2; tensile condition p.3,Source text without chemistry normalization or temperature/rate inference,MEDIUM,VERIFIED_NA_SOURCE_DIMENSIONS_NOT_PROMOTED_TO_GAUGE_FIELDS,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,AUDIT_SCOPE_DEPENDENT,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Grain_size_um,UNRESOLVED_NA,um,DIRECT_XRD_OM_SEM_OR_VERIFIED_NA,Figs.1-2 pp.2-3,XRD plus OM/SEM with phase-scope safeguards,MEDIUM,VERIFIED_NA_NUMERIC_GRAIN_SIZE_NOT_REPORTED_NO_DIGITIZATION,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,AUDIT_SCOPE_DEPENDENT,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Initial_FCC_fraction,UNRESOLVED_NA,fraction,DIRECT_XRD_OM_SEM_OR_VERIFIED_NA,Figs.1-2 pp.2-3,XRD plus OM/SEM with phase-scope safeguards,MEDIUM,VERIFIED_NA_EXACT_NUMERIC_FCC_FRACTION_NOT_REPORTED,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,AUDIT_SCOPE_DEPENDENT,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Initial_HCP_fraction,UNRESOLVED_NA,fraction,DIRECT_XRD_OM_SEM_OR_VERIFIED_NA,Figs.1-2 pp.2-3,XRD plus OM/SEM with phase-scope safeguards,MEDIUM,VERIFIED_NA_C0_INITIAL_FCC_HCP_FRACTIONS_NOT_REPORTED,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,AUDIT_SCOPE_DEPENDENT,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,SFE_mJ_m2,UNRESOLVED_NA,mJ/m2,QUALITATIVE_DIRECTION_OR_VERIFIED_GAP,Introduction/results and whole-paper review,No current-alloy numeric SFE or DeltaG; no cross-paper transfer,MEDIUM,VERIFIED_NA_NO_CURRENT_ALLOY_NUMERIC_SFE,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,NOT_SAFE_AS_DIRECT_NUMERIC_SFE_OR_DELTAG,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,SFE_method,UNRESOLVED_NA,as reported,QUALITATIVE_DIRECTION_OR_VERIFIED_GAP,Introduction/results and whole-paper review,No current-alloy numeric SFE or DeltaG; no cross-paper transfer,MEDIUM,VERIFIED_NA_NO_CURRENT_ALLOY_NUMERIC_SFE,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,NOT_SAFE_AS_DIRECT_NUMERIC_SFE_OR_DELTAG,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,DeltaG_FCC_HCP_J_mol,UNRESOLVED_NA,J/mol,QUALITATIVE_DIRECTION_OR_VERIFIED_GAP,Introduction/results and whole-paper review,No current-alloy numeric SFE or DeltaG; no cross-paper transfer,MEDIUM,VERIFIED_NA_NOT_REPORTED_NO_CROSS_PAPER_TRANSFER,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,NOT_SAFE_AS_DIRECT_NUMERIC_SFE_OR_DELTAG,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,DeltaG_method,UNRESOLVED_NA,as reported,QUALITATIVE_DIRECTION_OR_VERIFIED_GAP,Introduction/results and whole-paper review,No current-alloy numeric SFE or DeltaG; no cross-paper transfer,MEDIUM,VERIFIED_NA_NOT_REPORTED_NO_CROSS_PAPER_TRANSFER,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,NOT_SAFE_AS_DIRECT_NUMERIC_SFE_OR_DELTAG,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Slip,UNRESOLVED_NA,binary,CONDITION_OR_STAGE_TARGET_EVIDENCE,Methods p.2; Figs.1-4 pp.2-5,Condition-level evidence grading from verified workbook,MEDIUM,VERIFIED_NA_INSUFFICIENT_CONDITION_LEVEL_EVIDENCE,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,TARGET_OR_TARGET_EVIDENCE_NOT_PREDICTOR,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Evidence_TRIP,"The current paper explicitly treats C0 as the TRIP reference condition and compares the TWIP behavior of C/Mo-alloyed conditions against the 'TRIP effect in C0 HEA'. Initial C0 is FCC+HCP, so initial HCP alone is not the basis of the positive label.",as reported,CONDITION_OR_STAGE_TARGET_EVIDENCE,Methods p.2; Figs.1-4 pp.2-5,Condition-level evidence grading from verified workbook,MEDIUM,VERIFIED,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,TARGET_OR_TARGET_EVIDENCE_NOT_PREDICTOR,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Evidence_TWIP,NO_CURRENT_PAPER_POST_TEST_TWIN_CHARACTERIZATION,as reported,CONDITION_OR_STAGE_TARGET_EVIDENCE,Methods p.2; Figs.1-4 pp.2-5,Condition-level evidence grading from verified workbook,MEDIUM,VERIFIED,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,TARGET_OR_TARGET_EVIDENCE_NOT_PREDICTOR,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Characterization_methods,XRD; OM/SEM,as reported,VERIFIED_MASTER_FIELD_MAPPING,Methods p.2; Figs.1-4 pp.2-5,Verified workbook-to-master mapping,MEDIUM,VERIFIED,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,AUDIT_SCOPE_DEPENDENT,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Source_location,Methods p.2; Figs.1-4 pp.2-5,as reported,VERIFIED_MASTER_FIELD_MAPPING,Methods p.2; Figs.1-4 pp.2-5,Verified workbook-to-master mapping,MEDIUM,VERIFIED,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,AUDIT_SCOPE_DEPENDENT,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Label_confidence,MEDIUM,as reported,CONDITION_OR_STAGE_TARGET_EVIDENCE,Methods p.2; Figs.1-4 pp.2-5,Condition-level evidence grading from verified workbook,MEDIUM,VERIFIED,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,TARGET_OR_TARGET_EVIDENCE_NOT_PREDICTOR,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Notes,Retain TRIP=1 as author-attributed condition-level mechanism with lower evidence grade than direct post-test phase measurements. TWIP remains NA.,as reported,VERIFIED_MASTER_FIELD_MAPPING,Methods p.2; Figs.1-4 pp.2-5,Verified workbook-to-master mapping,MEDIUM,VERIFIED,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,AUDIT_SCOPE_DEPENDENT,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,Parent_Experiment_ID,P022_MC_C0_ASCAST_RT,as reported,HIERARCHY_INTEGRATION,"Verified material-parent, condition, and stage sheets",Source-defined hierarchy with correlated stage-child control,MEDIUM,VERIFIED,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,AUDIT_SCOPE_DEPENDENT,MASTER_FIELD_MAPPING
P022,10.1007/s10853-019-04064-9,P022_SERIES01,P022_MAT_C0,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,ML_Condition_ID,P022_MC_C0_ASCAST_RT,as reported,HIERARCHY_INTEGRATION,"Verified material-parent, condition, and stage sheets",Source-defined hierarchy with correlated stage-child control,MEDIUM,VERIFIED,EXPERIMENTAL,https://doi.org/10.1007/s10853-019-04064-9,AUDIT_SCOPE_DEPENDENT,MASTER_FIELD_MAPPING
