Priority,Paper_ID,DOI,Condition_ID,Field_or_Issue,Current_Value,What_needs_verification,Where_to_check,Expected_benefit
P1,P003,10.1016/j.msea.2020.138982,P003_C05,TRIP/TWIP target or row independence,TRIP=NA; TWIP=NA; role=EXPERIMENTAL_INDEPENDENT,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Abstract; Methods; Figs. 1-7; Table 1; discussion,Defensible target and leakage-safe grouping
P1,P003,10.1016/j.msea.2020.138982,P003_C06,TRIP/TWIP target or row independence,TRIP=NA; TWIP=NA; role=EXPERIMENTAL_INDEPENDENT,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Abstract; Methods; Figs. 1-7; Table 1; discussion,Defensible target and leakage-safe grouping
P1,P003,10.1016/j.msea.2020.138982,P003_C07,TRIP/TWIP target or row independence,TRIP=1; TWIP=1; role=EXPERIMENTAL_INDEPENDENT,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Abstract; Methods; Figs. 1-7; Table 1; discussion,Defensible target and leakage-safe grouping
P1,P004,10.1016/j.msea.2026.150025,P004_C01,TRIP/TWIP target or row independence,TRIP=1; TWIP=0; role=EXPERIMENTAL_REPEATED_STAGE,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Yes,Defensible target and leakage-safe grouping
P1,P004,10.1016/j.msea.2026.150025,P004_C02,TRIP/TWIP target or row independence,TRIP=1; TWIP=0; role=EXPERIMENTAL_REPEATED_STAGE,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Yes,Defensible target and leakage-safe grouping
P1,P004,10.1016/j.msea.2026.150025,P004_C05,TRIP/TWIP target or row independence,TRIP=1; TWIP=1; role=EXPERIMENTAL_REPEATED_STAGE,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Yes,Defensible target and leakage-safe grouping
P1,P004,10.1016/j.msea.2026.150025,P004_C06,TRIP/TWIP target or row independence,TRIP=1; TWIP=1; role=EXPERIMENTAL_REPEATED_STAGE,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Yes,Defensible target and leakage-safe grouping
P1,P005,10.1016/j.actamat.2022.118049,P005_C01,TRIP/TWIP target or row independence,TRIP=0; TWIP=0; role=EXPERIMENTAL_REPEATED_STAGE,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Yes,Defensible target and leakage-safe grouping
P1,P005,10.1016/j.actamat.2022.118049,P005_C02,TRIP/TWIP target or row independence,TRIP=1; TWIP=1; role=EXPERIMENTAL_REPEATED_STAGE,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Yes,Defensible target and leakage-safe grouping
P1,P005,10.1016/j.actamat.2022.118049,P005_C03,TRIP/TWIP target or row independence,TRIP=1; TWIP=1; role=EXPERIMENTAL_REPEATED_STAGE,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Yes,Defensible target and leakage-safe grouping
P1,P006,10.1016/j.scriptamat.2019.02.018,P006_C01,TRIP/TWIP target or row independence,TRIP=NA; TWIP=NA; role=HYBRID_EXPERIMENTAL_COMPUTATIONAL,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Figs. 1-3; abstract/conclusions,Defensible target and leakage-safe grouping
P1,P007,10.1016/j.actamat.2022.117974,P007_C03,TRIP/TWIP target or row independence,TRIP=NA; TWIP=NA; role=EXPERIMENTAL_INDEPENDENT,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation","Table 3; Figs. 3,5-10; conclusions",Defensible target and leakage-safe grouping
P1,P007,10.1016/j.actamat.2022.117974,P007_C04,TRIP/TWIP target or row independence,TRIP=1; TWIP=NA; role=EXPERIMENTAL_INDEPENDENT,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation","Table 3; Figs. 3,5-10; conclusions",Defensible target and leakage-safe grouping
P1,P007,10.1016/j.actamat.2022.117974,P007_C05,TRIP/TWIP target or row independence,TRIP=1; TWIP=NA; role=EXPERIMENTAL_INDEPENDENT,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation","Table 3; Figs. 3,5-10; conclusions",Defensible target and leakage-safe grouping
P1,P008,10.1016/j.ijplas.2021.102965,P008_C01,TRIP/TWIP target or row independence,TRIP=1; TWIP=NA; role=EXPERIMENTAL_INDEPENDENT,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Abstract + methods + mechanism comparison,Defensible target and leakage-safe grouping
P1,P008,10.1016/j.ijplas.2021.102965,P008_C02,TRIP/TWIP target or row independence,TRIP=0; TWIP=1; role=EXPERIMENTAL_INDEPENDENT,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Abstract; methods; deformation microstructure section,Defensible target and leakage-safe grouping
P1,P010,10.1103/PhysRevMaterials.4.033601,P010_C01,TRIP/TWIP target or row independence,TRIP=1; TWIP=1; role=HYBRID_EXPERIMENTAL_COMPUTATIONAL,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Abstract; Figs. 1-5; Summary and Conclusions,Defensible target and leakage-safe grouping
P1,P010,10.1103/PhysRevMaterials.4.033601,P010_C03,TRIP/TWIP target or row independence,TRIP=0; TWIP=0; role=HYBRID_EXPERIMENTAL_COMPUTATIONAL,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Abstract; Figs. 1-5; Summary and Conclusions,Defensible target and leakage-safe grouping
P1,P011,10.1016/j.jallcom.2023.170225,P011_C05,TRIP/TWIP target or row independence,TRIP=1; TWIP=0; role=EXPERIMENTAL_INDEPENDENT,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Abstract; tensile-temperature comparison,Defensible target and leakage-safe grouping
P1,P012,10.1016/j.jallcom.2022.165108,P012_C02,TRIP/TWIP target or row independence,TRIP=1; TWIP=1; role=HYBRID_EXPERIMENTAL_COMPUTATIONAL,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Abstract; experimental sections; Table 2/strain-dependent results,Defensible target and leakage-safe grouping
P1,P012,10.1016/j.jallcom.2022.165108,P012_C04,TRIP/TWIP target or row independence,TRIP=1; TWIP=1; role=HYBRID_EXPERIMENTAL_COMPUTATIONAL,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Abstract; experimental sections; Table 2/strain-dependent results,Defensible target and leakage-safe grouping
P1,P013,10.1016/j.ijplas.2024.104048,P013_C02,TRIP/TWIP target or row independence,TRIP=1; TWIP=1; role=EXPERIMENTAL_REPEATED_STAGE,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Abstract; Materials and methods; four-stage SXRD results,Defensible target and leakage-safe grouping
P1,P013,10.1016/j.ijplas.2024.104048,P013_C03,TRIP/TWIP target or row independence,TRIP=1; TWIP=1; role=EXPERIMENTAL_REPEATED_STAGE,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Abstract; Materials and methods; four-stage SXRD results,Defensible target and leakage-safe grouping
P1,P013,10.1016/j.ijplas.2024.104048,P013_C04,TRIP/TWIP target or row independence,TRIP=1; TWIP=1; role=EXPERIMENTAL_REPEATED_STAGE,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Abstract; Materials and methods; four-stage SXRD results,Defensible target and leakage-safe grouping
P1,P013,10.1016/j.ijplas.2024.104048,P013_C05,TRIP/TWIP target or row independence,TRIP=1; TWIP=1; role=EXPERIMENTAL_REPEATED_STAGE,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Abstract; Materials and methods; four-stage SXRD results,Defensible target and leakage-safe grouping
P1,P014,10.3390/ma17235893,P014_C03,TRIP/TWIP target or row independence,TRIP=1; TWIP=1; role=EXPERIMENTAL_INDEPENDENT,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Processing; microstructure; tensile and strengthening/deformation-mechanism sections,Defensible target and leakage-safe grouping
P1,P014,10.3390/ma17235893,P014_C04,TRIP/TWIP target or row independence,TRIP=1; TWIP=1; role=EXPERIMENTAL_INDEPENDENT,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Processing; microstructure; tensile and strengthening/deformation-mechanism sections,Defensible target and leakage-safe grouping
P1,P014,10.3390/ma17235893,P014_C05,TRIP/TWIP target or row independence,TRIP=1; TWIP=1; role=EXPERIMENTAL_INDEPENDENT,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Processing; microstructure; tensile and strengthening/deformation-mechanism sections,Defensible target and leakage-safe grouping
P1,P015,10.1016/j.jallcom.2026.188919,P015_C01,TRIP/TWIP target or row independence,TRIP=0; TWIP=1; role=COMPUTATIONAL_MD,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Abstract; Sections 2.1-2.4; mechanism model; conclusions,Defensible target and leakage-safe grouping
P1,P015,10.1016/j.jallcom.2026.188919,P015_C02,TRIP/TWIP target or row independence,TRIP=1; TWIP=1; role=COMPUTATIONAL_MD,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Abstract; Sections 2.1-2.4; mechanism model; conclusions,Defensible target and leakage-safe grouping
P1,P016,10.1016/j.actamat.2018.10.017,P016_C01,TRIP/TWIP target or row independence,TRIP=NA; TWIP=NA; role=EXPERIMENTAL_INDEPENDENT,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Acta Materialia 163 (2019) 40–54,Defensible target and leakage-safe grouping
P1,P016,10.1016/j.actamat.2018.10.017,P016_C02,TRIP/TWIP target or row independence,TRIP=NA; TWIP=NA; role=EXPERIMENTAL_INDEPENDENT,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",Acta Materialia 163 (2019) 40–54,Defensible target and leakage-safe grouping
P1,P017,10.1016/j.ijplas.2019.102649,P017_C01,TRIP/TWIP target or row independence,TRIP=1; TWIP=1; role=COMPUTATIONAL_MD,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",International Journal of Plasticity 127 (2020) 102649,Defensible target and leakage-safe grouping
P1,P017,10.1016/j.ijplas.2019.102649,P017_C02,TRIP/TWIP target or row independence,TRIP=1; TWIP=1; role=COMPUTATIONAL_MD,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",International Journal of Plasticity 127 (2020) 102649,Defensible target and leakage-safe grouping
P1,P017,10.1016/j.ijplas.2019.102649,P017_C03,TRIP/TWIP target or row independence,TRIP=1; TWIP=1; role=COMPUTATIONAL_MD,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",International Journal of Plasticity 127 (2020) 102649,Defensible target and leakage-safe grouping
P1,P017,10.1016/j.ijplas.2019.102649,P017_C04,TRIP/TWIP target or row independence,TRIP=1; TWIP=1; role=COMPUTATIONAL_MD,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",International Journal of Plasticity 127 (2020) 102649,Defensible target and leakage-safe grouping
P1,P017,10.1016/j.ijplas.2019.102649,P017_C05,TRIP/TWIP target or row independence,TRIP=1; TWIP=1; role=COMPUTATIONAL_MD,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",International Journal of Plasticity 127 (2020) 102649,Defensible target and leakage-safe grouping
P1,P017,10.1016/j.ijplas.2019.102649,P017_C06,TRIP/TWIP target or row independence,TRIP=1; TWIP=1; role=COMPUTATIONAL_MD,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",International Journal of Plasticity 127 (2020) 102649,Defensible target and leakage-safe grouping
P1,P017,10.1016/j.ijplas.2019.102649,P017_C07,TRIP/TWIP target or row independence,TRIP=1; TWIP=1; role=COMPUTATIONAL_MD,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",International Journal of Plasticity 127 (2020) 102649,Defensible target and leakage-safe grouping
P1,P017,10.1016/j.ijplas.2019.102649,P017_C08,TRIP/TWIP target or row independence,TRIP=1; TWIP=1; role=COMPUTATIONAL_MD,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",International Journal of Plasticity 127 (2020) 102649,Defensible target and leakage-safe grouping
P1,P018,10.1016/j.ijmecsci.2022.107098,P018_C01,TRIP/TWIP target or row independence,TRIP=1; TWIP=1; role=COMPUTATIONAL_MD,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",International Journal of Mechanical Sciences 219 (2022) 107098,Defensible target and leakage-safe grouping
P1,P018,10.1016/j.ijmecsci.2022.107098,P018_C02,TRIP/TWIP target or row independence,TRIP=1; TWIP=1; role=COMPUTATIONAL_MD,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",International Journal of Mechanical Sciences 219 (2022) 107098,Defensible target and leakage-safe grouping
P1,P018,10.1016/j.ijmecsci.2022.107098,P018_C03,TRIP/TWIP target or row independence,TRIP=1; TWIP=1; role=COMPUTATIONAL_MD,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",International Journal of Mechanical Sciences 219 (2022) 107098,Defensible target and leakage-safe grouping
P1,P018,10.1016/j.ijmecsci.2022.107098,P018_C04,TRIP/TWIP target or row independence,TRIP=1; TWIP=1; role=COMPUTATIONAL_MD,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",International Journal of Mechanical Sciences 219 (2022) 107098,Defensible target and leakage-safe grouping
P1,P018,10.1016/j.ijmecsci.2022.107098,P018_C05,TRIP/TWIP target or row independence,TRIP=1; TWIP=1; role=COMPUTATIONAL_MD,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",International Journal of Mechanical Sciences 219 (2022) 107098,Defensible target and leakage-safe grouping
P1,P018,10.1016/j.ijmecsci.2022.107098,P018_C06,TRIP/TWIP target or row independence,TRIP=1; TWIP=1; role=COMPUTATIONAL_MD,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",International Journal of Mechanical Sciences 219 (2022) 107098,Defensible target and leakage-safe grouping
P1,P018,10.1016/j.ijmecsci.2022.107098,P018_C07,TRIP/TWIP target or row independence,TRIP=1; TWIP=1; role=COMPUTATIONAL_MD,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",International Journal of Mechanical Sciences 219 (2022) 107098,Defensible target and leakage-safe grouping
P1,P018,10.1016/j.ijmecsci.2022.107098,P018_C08,TRIP/TWIP target or row independence,TRIP=1; TWIP=1; role=COMPUTATIONAL_MD,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",International Journal of Mechanical Sciences 219 (2022) 107098,Defensible target and leakage-safe grouping
P1,P018,10.1016/j.ijmecsci.2022.107098,P018_C09,TRIP/TWIP target or row independence,TRIP=1; TWIP=1; role=COMPUTATIONAL_MD,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",International Journal of Mechanical Sciences 219 (2022) 107098,Defensible target and leakage-safe grouping
P1,P018,10.1016/j.ijmecsci.2022.107098,P018_C10,TRIP/TWIP target or row independence,TRIP=1; TWIP=1; role=COMPUTATIONAL_MD,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",International Journal of Mechanical Sciences 219 (2022) 107098,Defensible target and leakage-safe grouping
P1,P018,10.1016/j.ijmecsci.2022.107098,P018_C11,TRIP/TWIP target or row independence,TRIP=1; TWIP=1; role=COMPUTATIONAL_MD,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",International Journal of Mechanical Sciences 219 (2022) 107098,Defensible target and leakage-safe grouping
P1,P018,10.1016/j.ijmecsci.2022.107098,P018_C12,TRIP/TWIP target or row independence,TRIP=1; TWIP=1; role=COMPUTATIONAL_MD,"Verify deformation-specific mechanism evidence and whether this is an independent, stage, summary, or computational observation",International Journal of Mechanical Sciences 219 (2022) 107098,Defensible target and leakage-safe grouping
P2,P001,10.1016/j.actamat.2023.119389,P001_C01,DeltaG_FCC_HCP_J_mol,NA,"Extract value with unit, method, temperature, and condition provenance",Abstract; Methods; Table 1; Figs. 4-13,Recover a major ML feature without adding a paper
P2,P001,10.1016/j.actamat.2023.119389,P001_C02,DeltaG_FCC_HCP_J_mol,NA,"Extract value with unit, method, temperature, and condition provenance",Abstract; Methods; Table 1; Figs. 4-13,Recover a major ML feature without adding a paper
P2,P001,10.1016/j.actamat.2023.119389,P001_C03,DeltaG_FCC_HCP_J_mol,NA,"Extract value with unit, method, temperature, and condition provenance",Abstract; Methods; Table 1; Figs. 4-13,Recover a major ML feature without adding a paper
P2,P002,10.1016/j.msea.2020.140441,P002_C02,Grain_size_um,NA,"Extract value with unit, method, temperature, and condition provenance",Abstract; Methods; Fig. 1-6; mechanical-property discussion,Recover a major ML feature without adding a paper
P2,P002,10.1016/j.msea.2020.140441,P002_C03,Grain_size_um,NA,"Extract value with unit, method, temperature, and condition provenance",Abstract; Methods; Fig. 1-6; mechanical-property discussion,Recover a major ML feature without adding a paper
P2,P003,10.1016/j.msea.2020.138982,P003_C01,DeltaG_FCC_HCP_J_mol,NA,"Extract value with unit, method, temperature, and condition provenance",Abstract; Methods; Figs. 1-7; Table 1; discussion,Recover a major ML feature without adding a paper
P2,P003,10.1016/j.msea.2020.138982,P003_C02,DeltaG_FCC_HCP_J_mol,NA,"Extract value with unit, method, temperature, and condition provenance",Abstract; Methods; Figs. 1-7; Table 1; discussion,Recover a major ML feature without adding a paper
P2,P003,10.1016/j.msea.2020.138982,P003_C03,DeltaG_FCC_HCP_J_mol,NA,"Extract value with unit, method, temperature, and condition provenance",Abstract; Methods; Figs. 1-7; Table 1; discussion,Recover a major ML feature without adding a paper
P2,P003,10.1016/j.msea.2020.138982,P003_C04,DeltaG_FCC_HCP_J_mol,NA,"Extract value with unit, method, temperature, and condition provenance",Abstract; Methods; Figs. 1-7; Table 1; discussion,Recover a major ML feature without adding a paper
P2,P003,10.1016/j.msea.2020.138982,P003_C05,DeltaG_FCC_HCP_J_mol,NA,"Extract value with unit, method, temperature, and condition provenance",Abstract; Methods; Figs. 1-7; Table 1; discussion,Recover a major ML feature without adding a paper
P2,P003,10.1016/j.msea.2020.138982,P003_C06,DeltaG_FCC_HCP_J_mol,NA,"Extract value with unit, method, temperature, and condition provenance",Abstract; Methods; Figs. 1-7; Table 1; discussion,Recover a major ML feature without adding a paper
P2,P003,10.1016/j.msea.2020.138982,P003_C07,DeltaG_FCC_HCP_J_mol,NA,"Extract value with unit, method, temperature, and condition provenance",Abstract; Methods; Figs. 1-7; Table 1; discussion,Recover a major ML feature without adding a paper
P2,P007,10.1016/j.actamat.2022.117974,P007_C01,DeltaG_FCC_HCP_J_mol,NA,"Extract value with unit, method, temperature, and condition provenance","Table 3; Figs. 3,5-10; conclusions",Recover a major ML feature without adding a paper
P2,P007,10.1016/j.actamat.2022.117974,P007_C01,Hot_rolling_T_K,NA,"Extract value with unit, method, temperature, and condition provenance","Table 3; Figs. 3,5-10; conclusions",Recover a major ML feature without adding a paper
P2,P007,10.1016/j.actamat.2022.117974,P007_C01,Hot_rolling_reduction_pct,NA,"Extract value with unit, method, temperature, and condition provenance","Table 3; Figs. 3,5-10; conclusions",Recover a major ML feature without adding a paper
P2,P007,10.1016/j.actamat.2022.117974,P007_C01,Initial_HCP_fraction,NA,"Extract value with unit, method, temperature, and condition provenance","Table 3; Figs. 3,5-10; conclusions",Recover a major ML feature without adding a paper
P2,P007,10.1016/j.actamat.2022.117974,P007_C01,SFE_mJ_m2,NA,"Extract value with unit, method, temperature, and condition provenance","Table 3; Figs. 3,5-10; conclusions",Recover a major ML feature without adding a paper
P2,P007,10.1016/j.actamat.2022.117974,P007_C02,DeltaG_FCC_HCP_J_mol,NA,"Extract value with unit, method, temperature, and condition provenance","Table 3; Figs. 3,5-10; conclusions",Recover a major ML feature without adding a paper
P2,P007,10.1016/j.actamat.2022.117974,P007_C02,Hot_rolling_T_K,NA,"Extract value with unit, method, temperature, and condition provenance","Table 3; Figs. 3,5-10; conclusions",Recover a major ML feature without adding a paper
P2,P007,10.1016/j.actamat.2022.117974,P007_C02,Hot_rolling_reduction_pct,NA,"Extract value with unit, method, temperature, and condition provenance","Table 3; Figs. 3,5-10; conclusions",Recover a major ML feature without adding a paper
P2,P007,10.1016/j.actamat.2022.117974,P007_C02,Initial_HCP_fraction,NA,"Extract value with unit, method, temperature, and condition provenance","Table 3; Figs. 3,5-10; conclusions",Recover a major ML feature without adding a paper
P2,P007,10.1016/j.actamat.2022.117974,P007_C02,SFE_mJ_m2,NA,"Extract value with unit, method, temperature, and condition provenance","Table 3; Figs. 3,5-10; conclusions",Recover a major ML feature without adding a paper
P2,P007,10.1016/j.actamat.2022.117974,P007_C03,DeltaG_FCC_HCP_J_mol,NA,"Extract value with unit, method, temperature, and condition provenance","Table 3; Figs. 3,5-10; conclusions",Recover a major ML feature without adding a paper
P2,P007,10.1016/j.actamat.2022.117974,P007_C03,Hot_rolling_T_K,NA,"Extract value with unit, method, temperature, and condition provenance","Table 3; Figs. 3,5-10; conclusions",Recover a major ML feature without adding a paper
P2,P007,10.1016/j.actamat.2022.117974,P007_C03,Hot_rolling_reduction_pct,NA,"Extract value with unit, method, temperature, and condition provenance","Table 3; Figs. 3,5-10; conclusions",Recover a major ML feature without adding a paper
P2,P007,10.1016/j.actamat.2022.117974,P007_C03,Initial_HCP_fraction,NA,"Extract value with unit, method, temperature, and condition provenance","Table 3; Figs. 3,5-10; conclusions",Recover a major ML feature without adding a paper
P2,P007,10.1016/j.actamat.2022.117974,P007_C03,SFE_mJ_m2,NA,"Extract value with unit, method, temperature, and condition provenance","Table 3; Figs. 3,5-10; conclusions",Recover a major ML feature without adding a paper
P2,P007,10.1016/j.actamat.2022.117974,P007_C04,DeltaG_FCC_HCP_J_mol,NA,"Extract value with unit, method, temperature, and condition provenance","Table 3; Figs. 3,5-10; conclusions",Recover a major ML feature without adding a paper
P2,P007,10.1016/j.actamat.2022.117974,P007_C04,Hot_rolling_T_K,NA,"Extract value with unit, method, temperature, and condition provenance","Table 3; Figs. 3,5-10; conclusions",Recover a major ML feature without adding a paper
P2,P007,10.1016/j.actamat.2022.117974,P007_C04,Hot_rolling_reduction_pct,NA,"Extract value with unit, method, temperature, and condition provenance","Table 3; Figs. 3,5-10; conclusions",Recover a major ML feature without adding a paper
P2,P007,10.1016/j.actamat.2022.117974,P007_C04,Initial_HCP_fraction,NA,"Extract value with unit, method, temperature, and condition provenance","Table 3; Figs. 3,5-10; conclusions",Recover a major ML feature without adding a paper
P2,P007,10.1016/j.actamat.2022.117974,P007_C04,SFE_mJ_m2,NA,"Extract value with unit, method, temperature, and condition provenance","Table 3; Figs. 3,5-10; conclusions",Recover a major ML feature without adding a paper
P2,P007,10.1016/j.actamat.2022.117974,P007_C05,DeltaG_FCC_HCP_J_mol,NA,"Extract value with unit, method, temperature, and condition provenance","Table 3; Figs. 3,5-10; conclusions",Recover a major ML feature without adding a paper
P2,P007,10.1016/j.actamat.2022.117974,P007_C05,Hot_rolling_T_K,NA,"Extract value with unit, method, temperature, and condition provenance","Table 3; Figs. 3,5-10; conclusions",Recover a major ML feature without adding a paper
P2,P007,10.1016/j.actamat.2022.117974,P007_C05,Hot_rolling_reduction_pct,NA,"Extract value with unit, method, temperature, and condition provenance","Table 3; Figs. 3,5-10; conclusions",Recover a major ML feature without adding a paper
P2,P007,10.1016/j.actamat.2022.117974,P007_C05,Initial_HCP_fraction,NA,"Extract value with unit, method, temperature, and condition provenance","Table 3; Figs. 3,5-10; conclusions",Recover a major ML feature without adding a paper
P2,P007,10.1016/j.actamat.2022.117974,P007_C05,SFE_mJ_m2,NA,"Extract value with unit, method, temperature, and condition provenance","Table 3; Figs. 3,5-10; conclusions",Recover a major ML feature without adding a paper
P2,P009,10.1126/sciadv.abo7333,P009_C01,Annealing_T_K,NA,"Extract value with unit, method, temperature, and condition provenance","Wang et al. 2022, Fig. 5 and design/validation results",Recover a major ML feature without adding a paper
P2,P009,10.1126/sciadv.abo7333,P009_C01,Annealing_time_min,NA,"Extract value with unit, method, temperature, and condition provenance","Wang et al. 2022, Fig. 5 and design/validation results",Recover a major ML feature without adding a paper
P2,P009,10.1126/sciadv.abo7333,P009_C01,DeltaG_FCC_HCP_J_mol,NA,"Extract value with unit, method, temperature, and condition provenance","Wang et al. 2022, Fig. 5 and design/validation results",Recover a major ML feature without adding a paper
