Feature_Set,Feature_Family,Column_Name,Eligibility_Status,Reason,Coverage_Count_51,Coverage_Percent_51,Method_Constraint,Leakage_Status,Notes
M1_CHEMISTRY,CHEMISTRY,Ti_at%,CANDIDATE_OPTIONAL_V1,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",5,9.8,Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,LEAKAGE_FREE_DIRECT,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M1_CHEMISTRY,CHEMISTRY,V_at%,CANDIDATE_OPTIONAL_V1,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",5,9.8,Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,LEAKAGE_FREE_DIRECT,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M1_CHEMISTRY,CHEMISTRY,Other_elements,CANDIDATE_OPTIONAL_V1,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",0,0.0,Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,LEAKAGE_FREE_ONLY_WITH_SCOPE_GATE,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M1_CHEMISTRY,CHEMISTRY,Recovered_Bulk_Composition_at_pct,CANDIDATE_OPTIONAL_V1,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",6,11.76,Use only when explicitly specimen/material bulk; never substitute local or feedstock chemistry.,LEAKAGE_FREE_DIRECT,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M1_CHEMISTRY,CHEMISTRY,APT_local_composition,CANDIDATE_EXPLORATORY_LATER,"Scientifically relevant but local/scope-specific, sparse, or method-heterogeneous; reserve for controlled ablation.",1,1.96,Local APT chemistry only; not bulk composition.,LEAKAGE_FREE_ONLY_WITH_SCOPE_GATE,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M1_CHEMISTRY,CHEMISTRY,EDS_local_composition,CANDIDATE_EXPLORATORY_LATER,"Scientifically relevant but local/scope-specific, sparse, or method-heterogeneous; reserve for controlled ablation.",1,1.96,Local EDS chemistry only; not bulk composition.,LEAKAGE_FREE_ONLY_WITH_SCOPE_GATE,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M1_CHEMISTRY,CHEMISTRY,Nominal_Composition_at_pct,CANDIDATE_OPTIONAL_V1,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",17,33.33,Nominal chemistry only; do not overwrite with measured chemistry.,LEAKAGE_FREE_DIRECT,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M1_CHEMISTRY,CHEMISTRY,Cr_at%_uncertainty,CANDIDATE_EXPLORATORY_LATER,"Scientifically relevant but local/scope-specific, sparse, or method-heterogeneous; reserve for controlled ablation.",3,5.88,Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,LEAKAGE_FREE_ONLY_WITH_SCOPE_GATE,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M1_CHEMISTRY,CHEMISTRY,Mn_at%_uncertainty,CANDIDATE_EXPLORATORY_LATER,"Scientifically relevant but local/scope-specific, sparse, or method-heterogeneous; reserve for controlled ablation.",3,5.88,Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,LEAKAGE_FREE_ONLY_WITH_SCOPE_GATE,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M1_CHEMISTRY,CHEMISTRY,Fe_at%_uncertainty,CANDIDATE_EXPLORATORY_LATER,"Scientifically relevant but local/scope-specific, sparse, or method-heterogeneous; reserve for controlled ablation.",3,5.88,Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,LEAKAGE_FREE_ONLY_WITH_SCOPE_GATE,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M1_CHEMISTRY,CHEMISTRY,Co_at%_uncertainty,CANDIDATE_EXPLORATORY_LATER,"Scientifically relevant but local/scope-specific, sparse, or method-heterogeneous; reserve for controlled ablation.",3,5.88,Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,LEAKAGE_FREE_ONLY_WITH_SCOPE_GATE,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M1_CHEMISTRY,CHEMISTRY,Ni_at%_uncertainty,CANDIDATE_EXPLORATORY_LATER,"Scientifically relevant but local/scope-specific, sparse, or method-heterogeneous; reserve for controlled ablation.",3,5.88,Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,LEAKAGE_FREE_ONLY_WITH_SCOPE_GATE,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M1_CHEMISTRY,CHEMISTRY,Feedstock_Composition_at_pct,CANDIDATE_EXPLORATORY_LATER,"Scientifically relevant but local/scope-specific, sparse, or method-heterogeneous; reserve for controlled ablation.",4,7.84,Feedstock scope only; not automatically specimen bulk chemistry.,LEAKAGE_FREE_ONLY_WITH_SCOPE_GATE,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M1_CHEMISTRY,CHEMISTRY,Local_EDS_Composition_at_pct,CANDIDATE_EXPLORATORY_LATER,"Scientifically relevant but local/scope-specific, sparse, or method-heterogeneous; reserve for controlled ablation.",2,3.92,Local/scanned-region EDS only; not bulk composition.,LEAKAGE_FREE_ONLY_WITH_SCOPE_GATE,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M1_CHEMISTRY,CHEMISTRY,Measured_Composition_at_pct,CANDIDATE_OPTIONAL_V1,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",6,11.76,Measured bulk chemistry; retain method and do not normalize in V1.,LEAKAGE_FREE_DIRECT,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M1_CHEMISTRY,CHEMISTRY,Recovered_Composition_Status,CONTROL_ONLY_NOT_MODEL_FEATURE,Required source/method/scope control; retained in the manifest but excluded from candidate and complete-case counts.,6,11.76,"Retain for audit, descriptive context, and eligibility control; never use as an ordinary predictor.",CONTROL_ONLY_NEVER_MODEL_FEATURE,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M1_CHEMISTRY,CHEMISTRY,Measured_Composition_Status,CONTROL_ONLY_NOT_MODEL_FEATURE,Required source/method/scope control; retained in the manifest but excluded from candidate and complete-case counts.,16,31.37,"Retain for audit, descriptive context, and eligibility control; never use as an ordinary predictor.",CONTROL_ONLY_NEVER_MODEL_FEATURE,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M1_CHEMISTRY,CHEMISTRY,Feedstock_Composition_Method,CONTROL_ONLY_NOT_MODEL_FEATURE,Required source/method/scope control; retained in the manifest but excluded from candidate and complete-case counts.,4,7.84,"Retain for audit, descriptive context, and eligibility control; never use as an ordinary predictor.",CONTROL_ONLY_NEVER_MODEL_FEATURE,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M1_CHEMISTRY,CHEMISTRY,Feedstock_Composition_Scope,CONTROL_ONLY_NOT_MODEL_FEATURE,Required source/method/scope control; retained in the manifest but excluded from candidate and complete-case counts.,4,7.84,"Retain for audit, descriptive context, and eligibility control; never use as an ordinary predictor.",CONTROL_ONLY_NEVER_MODEL_FEATURE,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M1_CHEMISTRY,CHEMISTRY,Local_EDS_Composition_Scope,CONTROL_ONLY_NOT_MODEL_FEATURE,Required source/method/scope control; retained in the manifest but excluded from candidate and complete-case counts.,2,3.92,"Retain for audit, descriptive context, and eligibility control; never use as an ordinary predictor.",CONTROL_ONLY_NEVER_MODEL_FEATURE,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M1_CHEMISTRY,CHEMISTRY,Measured_Composition_Method,CONTROL_ONLY_NOT_MODEL_FEATURE,Required source/method/scope control; retained in the manifest but excluded from candidate and complete-case counts.,6,11.76,"Retain for audit, descriptive context, and eligibility control; never use as an ordinary predictor.",CONTROL_ONLY_NEVER_MODEL_FEATURE,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M1_CHEMISTRY,CHEMISTRY,Composition_Status,CONTROL_ONLY_NOT_MODEL_FEATURE,Required source/method/scope control; retained in the manifest but excluded from candidate and complete-case counts.,8,15.69,"Retain for audit, descriptive context, and eligibility control; never use as an ordinary predictor.",CONTROL_ONLY_NEVER_MODEL_FEATURE,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M2_CHEMISTRY_PLUS_TEST,CHEMISTRY,Original_Composition,CANDIDATE_OPTIONAL_V1,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",36,70.59,May combine nominal and measured text; retain basis and never silently parse or normalize.,LEAKAGE_FREE_ONLY_WITH_SCOPE_GATE,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M2_CHEMISTRY_PLUS_TEST,CHEMISTRY,Composition_basis,CANDIDATE_OPTIONAL_V1,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",42,82.35,Interpretation control; measured and nominal chemistry must remain distinguishable.,LEAKAGE_FREE_ONLY_WITH_SCOPE_GATE,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M2_CHEMISTRY_PLUS_TEST,CHEMISTRY,Fe_at%,CANDIDATE_CORE_V1,Central alloy chemistry with broad direct coverage; missing remains NA.,42,82.35,Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,LEAKAGE_FREE_DIRECT,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M2_CHEMISTRY_PLUS_TEST,CHEMISTRY,Mn_at%,CANDIDATE_CORE_V1,Mechanism-relevant matrix chemistry with broad direct coverage; missing remains NA.,42,82.35,Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,LEAKAGE_FREE_DIRECT,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M2_CHEMISTRY_PLUS_TEST,CHEMISTRY,Co_at%,CANDIDATE_CORE_V1,Central multicomponent chemistry with broad direct coverage; missing remains NA.,40,78.43,Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,LEAKAGE_FREE_DIRECT,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M2_CHEMISTRY_PLUS_TEST,CHEMISTRY,Cr_at%,CANDIDATE_CORE_V1,Central multicomponent chemistry with broad direct coverage; missing remains NA.,42,82.35,Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,LEAKAGE_FREE_DIRECT,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M2_CHEMISTRY_PLUS_TEST,CHEMISTRY,Ni_at%,CANDIDATE_OPTIONAL_V1,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",18,35.29,Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,LEAKAGE_FREE_DIRECT,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M2_CHEMISTRY_PLUS_TEST,CHEMISTRY,N_at%,CANDIDATE_OPTIONAL_V1,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",1,1.96,Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,LEAKAGE_FREE_DIRECT,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M2_CHEMISTRY_PLUS_TEST,CHEMISTRY,C_at%,CANDIDATE_OPTIONAL_V1,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",9,17.65,Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,LEAKAGE_FREE_DIRECT,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M2_CHEMISTRY_PLUS_TEST,CHEMISTRY,Mo_at%,CANDIDATE_OPTIONAL_V1,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",7,13.73,Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,LEAKAGE_FREE_DIRECT,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M2_CHEMISTRY_PLUS_TEST,CHEMISTRY,Si_at%,CANDIDATE_OPTIONAL_V1,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",3,5.88,Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,LEAKAGE_FREE_DIRECT,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M2_CHEMISTRY_PLUS_TEST,CHEMISTRY,Ti_at%,CANDIDATE_OPTIONAL_V1,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",5,9.8,Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,LEAKAGE_FREE_DIRECT,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M2_CHEMISTRY_PLUS_TEST,CHEMISTRY,V_at%,CANDIDATE_OPTIONAL_V1,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",5,9.8,Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,LEAKAGE_FREE_DIRECT,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M2_CHEMISTRY_PLUS_TEST,CHEMISTRY,Other_elements,CANDIDATE_OPTIONAL_V1,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",0,0.0,Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,LEAKAGE_FREE_ONLY_WITH_SCOPE_GATE,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M2_CHEMISTRY_PLUS_TEST,TEST_CONDITIONS,Test_T_K,CANDIDATE_CORE_V1,Planned temperature is mechanism-defining and available before loading.,33,64.71,Must be a planned condition known before loading; no missing temperature/rate is inferred.,LEAKAGE_FREE_DIRECT,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M2_CHEMISTRY_PLUS_TEST,TEST_CONDITIONS,Strain_rate_s-1,CANDIDATE_CORE_V1,Planned rate is mechanism-defining and available before loading.,47,92.16,Must be a planned condition known before loading; no missing temperature/rate is inferred.,LEAKAGE_FREE_DIRECT,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M2_CHEMISTRY_PLUS_TEST,CHEMISTRY,Recovered_Bulk_Composition_at_pct,CANDIDATE_OPTIONAL_V1,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",6,11.76,Use only when explicitly specimen/material bulk; never substitute local or feedstock chemistry.,LEAKAGE_FREE_DIRECT,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M2_CHEMISTRY_PLUS_TEST,TEST_CONDITIONS,Recovered_Test_T_Reported,CANDIDATE_OPTIONAL_V1,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",9,17.65,Raw reported temperature; no numeric inference or standardization in V1.,LEAKAGE_FREE_ONLY_WITH_SCOPE_GATE,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M2_CHEMISTRY_PLUS_TEST,CHEMISTRY,APT_local_composition,CANDIDATE_EXPLORATORY_LATER,"Scientifically relevant but local/scope-specific, sparse, or method-heterogeneous; reserve for controlled ablation.",1,1.96,Local APT chemistry only; not bulk composition.,LEAKAGE_FREE_ONLY_WITH_SCOPE_GATE,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M2_CHEMISTRY_PLUS_TEST,CHEMISTRY,EDS_local_composition,CANDIDATE_EXPLORATORY_LATER,"Scientifically relevant but local/scope-specific, sparse, or method-heterogeneous; reserve for controlled ablation.",1,1.96,Local EDS chemistry only; not bulk composition.,LEAKAGE_FREE_ONLY_WITH_SCOPE_GATE,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M2_CHEMISTRY_PLUS_TEST,CHEMISTRY,Nominal_Composition_at_pct,CANDIDATE_OPTIONAL_V1,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",17,33.33,Nominal chemistry only; do not overwrite with measured chemistry.,LEAKAGE_FREE_DIRECT,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M2_CHEMISTRY_PLUS_TEST,CHEMISTRY,Cr_at%_uncertainty,CANDIDATE_EXPLORATORY_LATER,"Scientifically relevant but local/scope-specific, sparse, or method-heterogeneous; reserve for controlled ablation.",3,5.88,Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,LEAKAGE_FREE_ONLY_WITH_SCOPE_GATE,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M2_CHEMISTRY_PLUS_TEST,CHEMISTRY,Mn_at%_uncertainty,CANDIDATE_EXPLORATORY_LATER,"Scientifically relevant but local/scope-specific, sparse, or method-heterogeneous; reserve for controlled ablation.",3,5.88,Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,LEAKAGE_FREE_ONLY_WITH_SCOPE_GATE,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M2_CHEMISTRY_PLUS_TEST,CHEMISTRY,Fe_at%_uncertainty,CANDIDATE_EXPLORATORY_LATER,"Scientifically relevant but local/scope-specific, sparse, or method-heterogeneous; reserve for controlled ablation.",3,5.88,Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,LEAKAGE_FREE_ONLY_WITH_SCOPE_GATE,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M2_CHEMISTRY_PLUS_TEST,CHEMISTRY,Co_at%_uncertainty,CANDIDATE_EXPLORATORY_LATER,"Scientifically relevant but local/scope-specific, sparse, or method-heterogeneous; reserve for controlled ablation.",3,5.88,Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,LEAKAGE_FREE_ONLY_WITH_SCOPE_GATE,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M2_CHEMISTRY_PLUS_TEST,CHEMISTRY,Ni_at%_uncertainty,CANDIDATE_EXPLORATORY_LATER,"Scientifically relevant but local/scope-specific, sparse, or method-heterogeneous; reserve for controlled ablation.",3,5.88,Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,LEAKAGE_FREE_ONLY_WITH_SCOPE_GATE,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M2_CHEMISTRY_PLUS_TEST,CHEMISTRY,Feedstock_Composition_at_pct,CANDIDATE_EXPLORATORY_LATER,"Scientifically relevant but local/scope-specific, sparse, or method-heterogeneous; reserve for controlled ablation.",4,7.84,Feedstock scope only; not automatically specimen bulk chemistry.,LEAKAGE_FREE_ONLY_WITH_SCOPE_GATE,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M2_CHEMISTRY_PLUS_TEST,CHEMISTRY,Local_EDS_Composition_at_pct,CANDIDATE_EXPLORATORY_LATER,"Scientifically relevant but local/scope-specific, sparse, or method-heterogeneous; reserve for controlled ablation.",2,3.92,Local/scanned-region EDS only; not bulk composition.,LEAKAGE_FREE_ONLY_WITH_SCOPE_GATE,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M2_CHEMISTRY_PLUS_TEST,CHEMISTRY,Measured_Composition_at_pct,CANDIDATE_OPTIONAL_V1,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",6,11.76,Measured bulk chemistry; retain method and do not normalize in V1.,LEAKAGE_FREE_DIRECT,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M2_CHEMISTRY_PLUS_TEST,TEST_CONDITIONS,Loading_Direction,CANDIDATE_OPTIONAL_V1,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",11,21.57,Must be a planned condition known before loading; no missing temperature/rate is inferred.,LEAKAGE_FREE_DIRECT,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M2_CHEMISTRY_PLUS_TEST,TEST_CONDITIONS,Test_T_Raw,CANDIDATE_OPTIONAL_V1,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",8,15.69,Raw reported temperature text; no RT-to-K conversion is performed in this task.,LEAKAGE_FREE_ONLY_WITH_SCOPE_GATE,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M2_CHEMISTRY_PLUS_TEST,CHEMISTRY,Recovered_Composition_Status,CONTROL_ONLY_NOT_MODEL_FEATURE,Required source/method/scope control; retained in the manifest but excluded from candidate and complete-case counts.,6,11.76,"Retain for audit, descriptive context, and eligibility control; never use as an ordinary predictor.",CONTROL_ONLY_NEVER_MODEL_FEATURE,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M2_CHEMISTRY_PLUS_TEST,TEST_CONDITIONS,Recovered_Test_T_Status,CONTROL_ONLY_NOT_MODEL_FEATURE,Required source/method/scope control; retained in the manifest but excluded from candidate and complete-case counts.,9,17.65,"Retain for audit, descriptive context, and eligibility control; never use as an ordinary predictor.",CONTROL_ONLY_NEVER_MODEL_FEATURE,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M2_CHEMISTRY_PLUS_TEST,CHEMISTRY,Measured_Composition_Status,CONTROL_ONLY_NOT_MODEL_FEATURE,Required source/method/scope control; retained in the manifest but excluded from candidate and complete-case counts.,16,31.37,"Retain for audit, descriptive context, and eligibility control; never use as an ordinary predictor.",CONTROL_ONLY_NEVER_MODEL_FEATURE,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M2_CHEMISTRY_PLUS_TEST,CHEMISTRY,Feedstock_Composition_Method,CONTROL_ONLY_NOT_MODEL_FEATURE,Required source/method/scope control; retained in the manifest but excluded from candidate and complete-case counts.,4,7.84,"Retain for audit, descriptive context, and eligibility control; never use as an ordinary predictor.",CONTROL_ONLY_NEVER_MODEL_FEATURE,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
M2_CHEMISTRY_PLUS_TEST,CHEMISTRY,Feedstock_Composition_Scope,CONTROL_ONLY_NOT_MODEL_FEATURE,Required source/method/scope control; retained in the manifest but excluded from candidate and complete-case counts.,4,7.84,"Retain for audit, descriptive context, and eligibility control; never use as an ordinary predictor.",CONTROL_ONLY_NEVER_MODEL_FEATURE,"Raw source column only; no imputation, encoding, normalization, conflict resolution, or derived descriptor was produced."
