Column_Name,Scientific_Family,Prediction_Time_Class,Feature_Priority,Coverage_Count_51,Coverage_Percent_51,Scientific_Reason,Recommended_Use,Notes
Specimen_thickness_mm,TEST_CONDITIONS,METADATA_ONLY,NOT_ELIGIBLE,27,52.94,Descriptive metadata has no approved V1 predictor role.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
True_strain,POST_DEFORMATION_MICROSTRUCTURE,POST_TEST_LEAKAGE,NOT_ELIGIBLE,0,0.0,Unavailable at the frozen prediction moment.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Local_strain,POST_DEFORMATION_MICROSTRUCTURE,POST_TEST_LEAKAGE,NOT_ELIGIBLE,0,0.0,Unavailable at the frozen prediction moment.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Deformation_stage,POST_DEFORMATION_MICROSTRUCTURE,POST_TEST_LEAKAGE,NOT_ELIGIBLE,21,41.18,Unavailable at the frozen prediction moment.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Grain_size_um,INITIAL_MICROSTRUCTURE,PREDICTOR_SAFE_DIRECT,CORE_V1,34,66.67,Initial grain size is mechanistically relevant with useful direct coverage; method/scope remain controlled.,BASELINE_CANDIDATE_AFTER_SPLIT_DESIGN_AND_REPRESENTATION_POLICY,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Grain_size_SD_um,INITIAL_MICROSTRUCTURE,PREDICTOR_SAFE_CONDITIONAL,OPTIONAL_V1,9,17.65,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",OPTIONAL_CANDIDATE_WITH_SCOPE_CONTROL,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Initial_FCC_fraction,INITIAL_MICROSTRUCTURE,PREDICTOR_SAFE_DIRECT,OPTIONAL_V1,27,52.94,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",OPTIONAL_CANDIDATE_WITH_SCOPE_CONTROL,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Initial_HCP_fraction,INITIAL_MICROSTRUCTURE,PREDICTOR_SAFE_DIRECT,OPTIONAL_V1,31,60.78,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",OPTIONAL_CANDIDATE_WITH_SCOPE_CONTROL,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Initial_twin_boundary_status,INITIAL_MICROSTRUCTURE,PREDICTOR_SAFE_CONDITIONAL,OPTIONAL_V1,26,50.98,"Pre-test and scientifically relevant, but representation, applicability, coverage, or method heterogeneity prevents CORE_V1 status.",OPTIONAL_CANDIDATE_WITH_SCOPE_CONTROL,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
SFE_mJ_m2,PHYSICS_THERMODYNAMICS,PREDICTOR_SAFE_CONDITIONAL,EXPLORATORY_LATER,21,41.18,Physics descriptor is method/temperature/phase sensitive and too sparse or heterogeneous for the initial baseline.,ABLATION_OR_FUTURE_PHYSICS_STUDY_ONLY,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
SFE_error_mJ_m2,PHYSICS_THERMODYNAMICS,PREDICTOR_SAFE_CONDITIONAL,EXPLORATORY_LATER,0,0.0,Physics descriptor is method/temperature/phase sensitive and too sparse or heterogeneous for the initial baseline.,ABLATION_OR_FUTURE_PHYSICS_STUDY_ONLY,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
SFE_method,PHYSICS_THERMODYNAMICS,PROVENANCE_ONLY,NOT_ELIGIBLE,24,47.06,Reserved for audit/method/QC control.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
DeltaG_FCC_HCP_J_mol,PHYSICS_THERMODYNAMICS,PREDICTOR_SAFE_CONDITIONAL,EXPLORATORY_LATER,9,17.65,Physics descriptor is method/temperature/phase sensitive and too sparse or heterogeneous for the initial baseline.,ABLATION_OR_FUTURE_PHYSICS_STUDY_ONLY,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
DeltaG_method,PHYSICS_THERMODYNAMICS,PROVENANCE_ONLY,NOT_ELIGIBLE,9,17.65,Reserved for audit/method/QC control.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Elastic_modulus_GPa,PHYSICS_THERMODYNAMICS,PREDICTOR_SAFE_CONDITIONAL,EXPLORATORY_LATER,4,7.84,Physics descriptor is method/temperature/phase sensitive and too sparse or heterogeneous for the initial baseline.,ABLATION_OR_FUTURE_PHYSICS_STUDY_ONLY,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Shear_modulus_GPa,PHYSICS_THERMODYNAMICS,PREDICTOR_SAFE_CONDITIONAL,EXPLORATORY_LATER,3,5.88,Physics descriptor is method/temperature/phase sensitive and too sparse or heterogeneous for the initial baseline.,ABLATION_OR_FUTURE_PHYSICS_STUDY_ONLY,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Poisson_ratio,PHYSICS_THERMODYNAMICS,PREDICTOR_SAFE_CONDITIONAL,EXPLORATORY_LATER,3,5.88,Physics descriptor is method/temperature/phase sensitive and too sparse or heterogeneous for the initial baseline.,ABLATION_OR_FUTURE_PHYSICS_STUDY_ONLY,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Lattice_parameter_nm,PHYSICS_THERMODYNAMICS,PREDICTOR_SAFE_CONDITIONAL,EXPLORATORY_LATER,3,5.88,Physics descriptor is method/temperature/phase sensitive and too sparse or heterogeneous for the initial baseline.,ABLATION_OR_FUTURE_PHYSICS_STUDY_ONLY,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Atomic_size_misfit_pct,PHYSICS_THERMODYNAMICS,METADATA_ONLY,NOT_ELIGIBLE,3,5.88,Descriptive metadata has no approved V1 predictor role.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
CSRO_present,PHYSICS_THERMODYNAMICS,PREDICTOR_SAFE_CONDITIONAL,EXPLORATORY_LATER,3,5.88,Physics descriptor is method/temperature/phase sensitive and too sparse or heterogeneous for the initial baseline.,ABLATION_OR_FUTURE_PHYSICS_STUDY_ONLY,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
TRIP,TARGET,TARGET_ONLY,NOT_ELIGIBLE,17,33.33,Target or target evidence cannot be an input.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
TWIP,TARGET,TARGET_ONLY,NOT_ELIGIBLE,13,25.49,Target or target evidence cannot be an input.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Slip,TARGET,TARGET_ONLY,NOT_ELIGIBLE,36,70.59,Target or target evidence cannot be an input.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Stacking_faulting,TARGET,TARGET_ONLY,NOT_ELIGIBLE,12,23.53,Target or target evidence cannot be an input.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
HCP_to_FCC_reversion,TARGET,TARGET_ONLY,NOT_ELIGIBLE,13,25.49,Target or target evidence cannot be an input.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Dominant_mechanism,TARGET,TARGET_ONLY,NOT_ELIGIBLE,36,70.59,Target or target evidence cannot be an input.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
HCP_fraction_at_condition,POST_DEFORMATION_MICROSTRUCTURE,POST_TEST_LEAKAGE,NOT_ELIGIBLE,4,7.84,Unavailable at the frozen prediction moment.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Twin_fraction_or_Sigma3,POST_DEFORMATION_MICROSTRUCTURE,POST_TEST_LEAKAGE,NOT_ELIGIBLE,0,0.0,Unavailable at the frozen prediction moment.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Twin_thickness_nm,POST_DEFORMATION_MICROSTRUCTURE,POST_TEST_LEAKAGE,NOT_ELIGIBLE,0,0.0,Unavailable at the frozen prediction moment.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
HCP_lath_or_lamella_note,POST_DEFORMATION_MICROSTRUCTURE,POST_TEST_LEAKAGE,NOT_ELIGIBLE,6,11.76,Unavailable at the frozen prediction moment.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
YS_MPa,MECHANICAL_RESPONSE,MECHANICAL_OUTCOME_LEAKAGE,NOT_ELIGIBLE,32,62.75,Same-test mechanical outcome would leak the response.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
YS_error_MPa,MECHANICAL_RESPONSE,MECHANICAL_OUTCOME_LEAKAGE,NOT_ELIGIBLE,8,15.69,Same-test mechanical outcome would leak the response.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
UTS_MPa,MECHANICAL_RESPONSE,MECHANICAL_OUTCOME_LEAKAGE,NOT_ELIGIBLE,28,54.9,Same-test mechanical outcome would leak the response.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
UTS_error_MPa,MECHANICAL_RESPONSE,MECHANICAL_OUTCOME_LEAKAGE,NOT_ELIGIBLE,8,15.69,Same-test mechanical outcome would leak the response.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Elongation_pct,MECHANICAL_RESPONSE,MECHANICAL_OUTCOME_LEAKAGE,NOT_ELIGIBLE,24,47.06,Same-test mechanical outcome would leak the response.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Elongation_error_pct,MECHANICAL_RESPONSE,MECHANICAL_OUTCOME_LEAKAGE,NOT_ELIGIBLE,8,15.69,Same-test mechanical outcome would leak the response.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Uniform_elongation_pct,MECHANICAL_RESPONSE,MECHANICAL_OUTCOME_LEAKAGE,NOT_ELIGIBLE,7,13.73,Same-test mechanical outcome would leak the response.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Critical_twin_stress_MPa,MODEL_DERIVED_RESPONSE,MODEL_DERIVED_LEAKAGE,NOT_ELIGIBLE,2,3.92,Derived from loading response or fitted mechanics.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Critical_TRIP_stress_MPa,MODEL_DERIVED_RESPONSE,MODEL_DERIVED_LEAKAGE,NOT_ELIGIBLE,2,3.92,Derived from loading response or fitted mechanics.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Twin_onset_true_strain,MODEL_DERIVED_RESPONSE,MODEL_DERIVED_LEAKAGE,NOT_ELIGIBLE,2,3.92,Derived from loading response or fitted mechanics.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
TRIP_onset_true_strain,MODEL_DERIVED_RESPONSE,MODEL_DERIVED_LEAKAGE,NOT_ELIGIBLE,2,3.92,Derived from loading response or fitted mechanics.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Adiabatic_temperature_K,MODEL_DERIVED_RESPONSE,MODEL_DERIVED_LEAKAGE,NOT_ELIGIBLE,1,1.96,Derived from loading response or fitted mechanics.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
SFE_increase_dynamic_mJ_m2,MODEL_DERIVED_RESPONSE,MODEL_DERIVED_LEAKAGE,NOT_ELIGIBLE,1,1.96,Derived from loading response or fitted mechanics.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Evidence_TRIP,TARGET,TARGET_ONLY,NOT_ELIGIBLE,38,74.51,Target or target evidence cannot be an input.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Evidence_TWIP,TARGET,TARGET_ONLY,NOT_ELIGIBLE,36,70.59,Target or target evidence cannot be an input.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Characterization_methods,PROVENANCE_QC,PROVENANCE_ONLY,NOT_ELIGIBLE,21,41.18,Reserved for audit/method/QC control.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Image_usable_for_descriptors,PROVENANCE_QC,METADATA_ONLY,NOT_ELIGIBLE,21,41.18,Descriptive metadata has no approved V1 predictor role.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Source_location,PROVENANCE_QC,PROVENANCE_ONLY,NOT_ELIGIBLE,46,90.2,Reserved for audit/method/QC control.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Label_confidence,PROVENANCE_QC,PROVENANCE_ONLY,NOT_ELIGIBLE,46,90.2,Reserved for audit/method/QC control.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Notes,PROVENANCE_QC,PROVENANCE_ONLY,NOT_ELIGIBLE,25,49.02,Reserved for audit/method/QC control.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Unmapped_Fields,PROVENANCE_QC,PROVENANCE_ONLY,NOT_ELIGIBLE,6,11.76,Reserved for audit/method/QC control.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Source_File,PROVENANCE_QC,PROVENANCE_ONLY,NOT_ELIGIBLE,51,100.0,Reserved for audit/method/QC control.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Source_Sheet,PROVENANCE_QC,PROVENANCE_ONLY,NOT_ELIGIBLE,51,100.0,Reserved for audit/method/QC control.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Schema_Mapping_Review,PROVENANCE_QC,PROVENANCE_ONLY,NOT_ELIGIBLE,6,11.76,Reserved for audit/method/QC control.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
QC_Status,PROVENANCE_QC,PROVENANCE_ONLY,NOT_ELIGIBLE,21,41.18,Reserved for audit/method/QC control.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Requires_Manual_Review,PROVENANCE_QC,PROVENANCE_ONLY,NOT_ELIGIBLE,21,41.18,Reserved for audit/method/QC control.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Row_Role,PROVENANCE_QC,PROVENANCE_ONLY,NOT_ELIGIBLE,26,50.98,Reserved for audit/method/QC control.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
Target_Review_Status,PROVENANCE_QC,PROVENANCE_ONLY,NOT_ELIGIBLE,25,49.02,Reserved for audit/method/QC control.,BLOCK_FROM_PRIMARY_PREDICTOR_MATRIX,Priority is scientific and coverage-aware; no numeric threshold alone determined this class.
