Column_Name,Data_Type,Scientific_Family,Schema_Role,V1_Prediction_Time_Class,Experimental_Coverage_n,Experimental_Coverage_pct,CORE_M2,Pilot_M2_Action,Source_Type,Preprocessing,Potential_Leakage,Scientific_Justification,V2_Review_Status
Fe_at%,float64,CHEMISTRY,PREDICTOR_SAFE_DIRECT,PREDICTOR_SAFE_DIRECT,55,79.71,True,INCLUDE_COMPLETE_CASE_ONLY,CHEMISTRY_POLICY_SELECTED_ANALYSIS_REPRESENTATION,StandardScaler inside training fold for Logistic/SVC,False,Direct source-supported information available before loading.,V1_PRECEDENT_RECONFIRMED
Mn_at%,float64,CHEMISTRY,PREDICTOR_SAFE_DIRECT,PREDICTOR_SAFE_DIRECT,55,79.71,True,INCLUDE_COMPLETE_CASE_ONLY,CHEMISTRY_POLICY_SELECTED_ANALYSIS_REPRESENTATION,StandardScaler inside training fold for Logistic/SVC,False,Direct source-supported information available before loading.,V1_PRECEDENT_RECONFIRMED
Co_at%,float64,CHEMISTRY,PREDICTOR_SAFE_DIRECT,PREDICTOR_SAFE_DIRECT,53,76.812,True,INCLUDE_COMPLETE_CASE_ONLY,CHEMISTRY_POLICY_SELECTED_ANALYSIS_REPRESENTATION,StandardScaler inside training fold for Logistic/SVC,False,Direct source-supported information available before loading.,V1_PRECEDENT_RECONFIRMED
Cr_at%,float64,CHEMISTRY,PREDICTOR_SAFE_DIRECT,PREDICTOR_SAFE_DIRECT,55,79.71,True,INCLUDE_COMPLETE_CASE_ONLY,CHEMISTRY_POLICY_SELECTED_ANALYSIS_REPRESENTATION,StandardScaler inside training fold for Logistic/SVC,False,Direct source-supported information available before loading.,V1_PRECEDENT_RECONFIRMED
Ni_at%,float64,CHEMISTRY,PREDICTOR_SAFE_DIRECT,PREDICTOR_SAFE_DIRECT,23,33.333,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,Direct source-supported information available before loading.,V1_PRECEDENT_RECONFIRMED
N_at%,float64,CHEMISTRY,PREDICTOR_SAFE_DIRECT,PREDICTOR_SAFE_DIRECT,1,1.449,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,Direct source-supported information available before loading.,V1_PRECEDENT_RECONFIRMED
C_at%,float64,CHEMISTRY,PREDICTOR_SAFE_DIRECT,PREDICTOR_SAFE_DIRECT,9,13.043,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,Direct source-supported information available before loading.,V1_PRECEDENT_RECONFIRMED
Mo_at%,float64,CHEMISTRY,PREDICTOR_SAFE_DIRECT,PREDICTOR_SAFE_DIRECT,7,10.145,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,Direct source-supported information available before loading.,V1_PRECEDENT_RECONFIRMED
Si_at%,float64,CHEMISTRY,PREDICTOR_SAFE_DIRECT,PREDICTOR_SAFE_DIRECT,15,21.739,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,Direct source-supported information available before loading.,V1_PRECEDENT_RECONFIRMED
Ti_at%,float64,CHEMISTRY,PREDICTOR_SAFE_DIRECT,PREDICTOR_SAFE_DIRECT,5,7.246,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,Direct source-supported information available before loading.,V1_PRECEDENT_RECONFIRMED
V_at%,float64,CHEMISTRY,PREDICTOR_SAFE_DIRECT,PREDICTOR_SAFE_DIRECT,5,7.246,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,Direct source-supported information available before loading.,V1_PRECEDENT_RECONFIRMED
Other_elements,object,CHEMISTRY,PREDICTOR_SAFE_CONDITIONAL,PREDICTOR_SAFE_CONDITIONAL,7,10.145,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Safe only after method, scope, timing, or availability control.",V1_PRECEDENT_RECONFIRMED
Processing_route,object,PROCESSING,PREDICTOR_SAFE_DIRECT,PREDICTOR_SAFE_DIRECT,60,86.957,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,Direct source-supported information available before loading.,V1_PRECEDENT_RECONFIRMED
Cast_method,object,PROCESSING,PREDICTOR_SAFE_DIRECT,PREDICTOR_SAFE_DIRECT,48,69.565,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,Direct source-supported information available before loading.,V1_PRECEDENT_RECONFIRMED
Homogenization_T_K,float64,PROCESSING,PREDICTOR_SAFE_DIRECT,PREDICTOR_SAFE_DIRECT,38,55.072,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,Direct source-supported information available before loading.,V1_PRECEDENT_RECONFIRMED
Homogenization_time_h,float64,PROCESSING,PREDICTOR_SAFE_DIRECT,PREDICTOR_SAFE_DIRECT,38,55.072,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,Direct source-supported information available before loading.,V1_PRECEDENT_RECONFIRMED
Hot_rolling_T_K,float64,PROCESSING,PREDICTOR_SAFE_DIRECT,PREDICTOR_SAFE_DIRECT,27,39.13,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,Direct source-supported information available before loading.,V1_PRECEDENT_RECONFIRMED
Hot_rolling_reduction_pct,float64,PROCESSING,PREDICTOR_SAFE_DIRECT,PREDICTOR_SAFE_DIRECT,22,31.884,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,Direct source-supported information available before loading.,V1_PRECEDENT_RECONFIRMED
Cold_rolling_reduction_pct,float64,PROCESSING,PREDICTOR_SAFE_DIRECT,PREDICTOR_SAFE_DIRECT,41,59.42,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,Direct source-supported information available before loading.,V1_PRECEDENT_RECONFIRMED
Annealing_T_K,float64,PROCESSING,PREDICTOR_SAFE_DIRECT,PREDICTOR_SAFE_DIRECT,53,76.812,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,Direct source-supported information available before loading.,V1_PRECEDENT_RECONFIRMED
Annealing_time_min,float64,PROCESSING,PREDICTOR_SAFE_DIRECT,PREDICTOR_SAFE_DIRECT,49,71.014,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,Direct source-supported information available before loading.,V1_PRECEDENT_RECONFIRMED
Cooling_route,object,PROCESSING,PREDICTOR_SAFE_DIRECT,PREDICTOR_SAFE_DIRECT,44,63.768,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,Direct source-supported information available before loading.,V1_PRECEDENT_RECONFIRMED
Test_T_K,float64,TEST_CONDITIONS,PREDICTOR_SAFE_DIRECT,PREDICTOR_SAFE_DIRECT,35,50.725,True,INCLUDE_COMPLETE_CASE_ONLY,DIRECT_SOURCE_FIELD,StandardScaler inside training fold for Logistic/SVC,False,Direct source-supported information available before loading.,V1_PRECEDENT_RECONFIRMED
Strain_rate_s-1,float64,TEST_CONDITIONS,PREDICTOR_SAFE_DIRECT,PREDICTOR_SAFE_DIRECT,59,85.507,True,INCLUDE_COMPLETE_CASE_ONLY,DIRECT_SOURCE_FIELD,StandardScaler inside training fold for Logistic/SVC,False,Direct source-supported information available before loading.,V1_PRECEDENT_RECONFIRMED
Gauge_length_mm,float64,TEST_CONDITIONS,METADATA_ONLY,METADATA_ONLY,41,59.42,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Metadata can encode paper, workflow, or extraction artifacts rather than material behavior.",V1_PRECEDENT_RECONFIRMED
Gauge_width_mm,float64,TEST_CONDITIONS,METADATA_ONLY,METADATA_ONLY,34,49.275,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Metadata can encode paper, workflow, or extraction artifacts rather than material behavior.",V1_PRECEDENT_RECONFIRMED
Specimen_thickness_mm,float64,TEST_CONDITIONS,METADATA_ONLY,METADATA_ONLY,34,49.275,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Metadata can encode paper, workflow, or extraction artifacts rather than material behavior.",V1_PRECEDENT_RECONFIRMED
True_strain,float64,POST_DEFORMATION_MICROSTRUCTURE,LEAKAGE_POST_TEST,POST_TEST_LEAKAGE,0,0.0,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,The field is observed only after tensile deformation starts or after fracture.,V1_PRECEDENT_RECONFIRMED
Local_strain,float64,POST_DEFORMATION_MICROSTRUCTURE,LEAKAGE_POST_TEST,POST_TEST_LEAKAGE,0,0.0,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,The field is observed only after tensile deformation starts or after fracture.,V1_PRECEDENT_RECONFIRMED
Deformation_stage,object,POST_DEFORMATION_MICROSTRUCTURE,LEAKAGE_POST_TEST,POST_TEST_LEAKAGE,18,26.087,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,The field is observed only after tensile deformation starts or after fracture.,V1_PRECEDENT_RECONFIRMED
Grain_size_um,float64,INITIAL_MICROSTRUCTURE,PREDICTOR_SAFE_DIRECT,PREDICTOR_SAFE_DIRECT,41,59.42,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,Direct source-supported information available before loading.,V1_PRECEDENT_RECONFIRMED
Grain_size_SD_um,float64,INITIAL_MICROSTRUCTURE,PREDICTOR_SAFE_CONDITIONAL,PREDICTOR_SAFE_CONDITIONAL,11,15.942,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Safe only after method, scope, timing, or availability control.",V1_PRECEDENT_RECONFIRMED
Initial_FCC_fraction,float64,INITIAL_MICROSTRUCTURE,PREDICTOR_SAFE_DIRECT,PREDICTOR_SAFE_DIRECT,32,46.377,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,Direct source-supported information available before loading.,V1_PRECEDENT_RECONFIRMED
Initial_HCP_fraction,float64,INITIAL_MICROSTRUCTURE,PREDICTOR_SAFE_DIRECT,PREDICTOR_SAFE_DIRECT,48,69.565,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,Direct source-supported information available before loading.,V1_PRECEDENT_RECONFIRMED
Initial_twin_boundary_status,object,INITIAL_MICROSTRUCTURE,PREDICTOR_SAFE_CONDITIONAL,PREDICTOR_SAFE_CONDITIONAL,31,44.928,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Safe only after method, scope, timing, or availability control.",V1_PRECEDENT_RECONFIRMED
SFE_mJ_m2,float64,PHYSICS_THERMODYNAMICS,PREDICTOR_SAFE_CONDITIONAL,PREDICTOR_SAFE_CONDITIONAL,21,30.435,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Safe only after method, scope, timing, or availability control.",V1_PRECEDENT_RECONFIRMED
SFE_error_mJ_m2,float64,PHYSICS_THERMODYNAMICS,PREDICTOR_SAFE_CONDITIONAL,PREDICTOR_SAFE_CONDITIONAL,0,0.0,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Safe only after method, scope, timing, or availability control.",V1_PRECEDENT_RECONFIRMED
SFE_method,object,PHYSICS_THERMODYNAMICS,PROVENANCE_ONLY,PROVENANCE_ONLY,24,34.783,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
DeltaG_FCC_HCP_J_mol,float64,PHYSICS_THERMODYNAMICS,PREDICTOR_SAFE_CONDITIONAL,PREDICTOR_SAFE_CONDITIONAL,9,13.043,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Safe only after method, scope, timing, or availability control.",V1_PRECEDENT_RECONFIRMED
DeltaG_method,object,PHYSICS_THERMODYNAMICS,PROVENANCE_ONLY,PROVENANCE_ONLY,9,13.043,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
Elastic_modulus_GPa,float64,PHYSICS_THERMODYNAMICS,PREDICTOR_SAFE_CONDITIONAL,PREDICTOR_SAFE_CONDITIONAL,4,5.797,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Safe only after method, scope, timing, or availability control.",V1_PRECEDENT_RECONFIRMED
Shear_modulus_GPa,float64,PHYSICS_THERMODYNAMICS,PREDICTOR_SAFE_CONDITIONAL,PREDICTOR_SAFE_CONDITIONAL,3,4.348,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Safe only after method, scope, timing, or availability control.",V1_PRECEDENT_RECONFIRMED
Poisson_ratio,float64,PHYSICS_THERMODYNAMICS,PREDICTOR_SAFE_CONDITIONAL,PREDICTOR_SAFE_CONDITIONAL,3,4.348,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Safe only after method, scope, timing, or availability control.",V1_PRECEDENT_RECONFIRMED
Lattice_parameter_nm,float64,PHYSICS_THERMODYNAMICS,PREDICTOR_SAFE_CONDITIONAL,PREDICTOR_SAFE_CONDITIONAL,8,11.594,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Safe only after method, scope, timing, or availability control.",V1_PRECEDENT_RECONFIRMED
Atomic_size_misfit_pct,float64,PHYSICS_THERMODYNAMICS,METADATA_ONLY,METADATA_ONLY,3,4.348,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Metadata can encode paper, workflow, or extraction artifacts rather than material behavior.",V1_PRECEDENT_RECONFIRMED
CSRO_present,object,PHYSICS_THERMODYNAMICS,PREDICTOR_SAFE_CONDITIONAL,PREDICTOR_SAFE_CONDITIONAL,3,4.348,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Safe only after method, scope, timing, or availability control.",V1_PRECEDENT_RECONFIRMED
TRIP,float64,TARGET,TARGET_ONLY,TARGET_ONLY,14,20.29,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,"The field is a target, direct target state, or target evidence.",V1_PRECEDENT_RECONFIRMED
TWIP,float64,TARGET,TARGET_ONLY,TARGET_ONLY,10,14.493,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,"The field is a target, direct target state, or target evidence.",V1_PRECEDENT_RECONFIRMED
Slip,object,TARGET,TARGET_ONLY,TARGET_ONLY,41,59.42,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,"The field is a target, direct target state, or target evidence.",V1_PRECEDENT_RECONFIRMED
Stacking_faulting,float64,TARGET,TARGET_ONLY,TARGET_ONLY,10,14.493,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,"The field is a target, direct target state, or target evidence.",V1_PRECEDENT_RECONFIRMED
HCP_to_FCC_reversion,object,TARGET,TARGET_ONLY,TARGET_ONLY,10,14.493,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,"The field is a target, direct target state, or target evidence.",V1_PRECEDENT_RECONFIRMED
Dominant_mechanism,object,TARGET,TARGET_ONLY,TARGET_ONLY,33,47.826,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,"The field is a target, direct target state, or target evidence.",V1_PRECEDENT_RECONFIRMED
HCP_fraction_at_condition,float64,POST_DEFORMATION_MICROSTRUCTURE,LEAKAGE_POST_TEST,POST_TEST_LEAKAGE,6,8.696,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,The field is observed only after tensile deformation starts or after fracture.,V1_PRECEDENT_RECONFIRMED
Twin_fraction_or_Sigma3,float64,POST_DEFORMATION_MICROSTRUCTURE,LEAKAGE_POST_TEST,POST_TEST_LEAKAGE,0,0.0,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,The field is observed only after tensile deformation starts or after fracture.,V1_PRECEDENT_RECONFIRMED
Twin_thickness_nm,float64,POST_DEFORMATION_MICROSTRUCTURE,LEAKAGE_POST_TEST,POST_TEST_LEAKAGE,0,0.0,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,The field is observed only after tensile deformation starts or after fracture.,V1_PRECEDENT_RECONFIRMED
HCP_lath_or_lamella_note,object,POST_DEFORMATION_MICROSTRUCTURE,LEAKAGE_POST_TEST,POST_TEST_LEAKAGE,9,13.043,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,The field is observed only after tensile deformation starts or after fracture.,V1_PRECEDENT_RECONFIRMED
YS_MPa,float64,MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,MECHANICAL_OUTCOME_LEAKAGE,38,55.072,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,The field is an outcome of the same tensile test whose mechanisms are predicted.,V1_PRECEDENT_RECONFIRMED
YS_error_MPa,float64,MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,MECHANICAL_OUTCOME_LEAKAGE,8,11.594,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,The field is an outcome of the same tensile test whose mechanisms are predicted.,V1_PRECEDENT_RECONFIRMED
UTS_MPa,float64,MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,MECHANICAL_OUTCOME_LEAKAGE,36,52.174,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,The field is an outcome of the same tensile test whose mechanisms are predicted.,V1_PRECEDENT_RECONFIRMED
UTS_error_MPa,float64,MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,MECHANICAL_OUTCOME_LEAKAGE,8,11.594,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,The field is an outcome of the same tensile test whose mechanisms are predicted.,V1_PRECEDENT_RECONFIRMED
Elongation_pct,float64,MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,MECHANICAL_OUTCOME_LEAKAGE,32,46.377,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,The field is an outcome of the same tensile test whose mechanisms are predicted.,V1_PRECEDENT_RECONFIRMED
Elongation_error_pct,float64,MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,MECHANICAL_OUTCOME_LEAKAGE,8,11.594,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,The field is an outcome of the same tensile test whose mechanisms are predicted.,V1_PRECEDENT_RECONFIRMED
Uniform_elongation_pct,float64,MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,MECHANICAL_OUTCOME_LEAKAGE,8,11.594,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,The field is an outcome of the same tensile test whose mechanisms are predicted.,V1_PRECEDENT_RECONFIRMED
Critical_twin_stress_MPa,object,MODEL_DERIVED_RESPONSE,LEAKAGE_MODEL_DERIVED,MODEL_DERIVED_LEAKAGE,2,2.899,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,The field is derived or inferred from loading response or fitted mechanical behavior.,V1_PRECEDENT_RECONFIRMED
Critical_TRIP_stress_MPa,object,MODEL_DERIVED_RESPONSE,LEAKAGE_MODEL_DERIVED,MODEL_DERIVED_LEAKAGE,2,2.899,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,The field is derived or inferred from loading response or fitted mechanical behavior.,V1_PRECEDENT_RECONFIRMED
Twin_onset_true_strain,object,MODEL_DERIVED_RESPONSE,LEAKAGE_MODEL_DERIVED,MODEL_DERIVED_LEAKAGE,2,2.899,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,The field is derived or inferred from loading response or fitted mechanical behavior.,V1_PRECEDENT_RECONFIRMED
TRIP_onset_true_strain,object,MODEL_DERIVED_RESPONSE,LEAKAGE_MODEL_DERIVED,MODEL_DERIVED_LEAKAGE,2,2.899,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,The field is derived or inferred from loading response or fitted mechanical behavior.,V1_PRECEDENT_RECONFIRMED
Adiabatic_temperature_K,object,MODEL_DERIVED_RESPONSE,LEAKAGE_MODEL_DERIVED,MODEL_DERIVED_LEAKAGE,1,1.449,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,The field is derived or inferred from loading response or fitted mechanical behavior.,V1_PRECEDENT_RECONFIRMED
SFE_increase_dynamic_mJ_m2,object,MODEL_DERIVED_RESPONSE,LEAKAGE_MODEL_DERIVED,MODEL_DERIVED_LEAKAGE,1,1.449,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,The field is derived or inferred from loading response or fitted mechanical behavior.,V1_PRECEDENT_RECONFIRMED
Evidence_TRIP,object,TARGET,TARGET_ONLY,TARGET_ONLY,56,81.159,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,"The field is a target, direct target state, or target evidence.",V1_PRECEDENT_RECONFIRMED
Evidence_TWIP,object,TARGET,TARGET_ONLY,TARGET_ONLY,54,78.261,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,"The field is a target, direct target state, or target evidence.",V1_PRECEDENT_RECONFIRMED
Characterization_methods,object,PROVENANCE_QC,PROVENANCE_ONLY,PROVENANCE_ONLY,36,52.174,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
Image_usable_for_descriptors,object,PROVENANCE_QC,METADATA_ONLY,METADATA_ONLY,18,26.087,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Metadata can encode paper, workflow, or extraction artifacts rather than material behavior.",V1_PRECEDENT_RECONFIRMED
Source_location,object,PROVENANCE_QC,PROVENANCE_ONLY,PROVENANCE_ONLY,64,92.754,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
Label_confidence,object,PROVENANCE_QC,PROVENANCE_ONLY,PROVENANCE_ONLY,64,92.754,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
Notes,object,PROVENANCE_QC,PROVENANCE_ONLY,PROVENANCE_ONLY,37,53.623,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
Unmapped_Fields,object,PROVENANCE_QC,PROVENANCE_ONLY,PROVENANCE_ONLY,6,8.696,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
Source_File,object,PROVENANCE_QC,PROVENANCE_ONLY,PROVENANCE_ONLY,51,73.913,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
Source_Sheet,object,PROVENANCE_QC,PROVENANCE_ONLY,PROVENANCE_ONLY,51,73.913,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
Schema_Mapping_Review,object,PROVENANCE_QC,PROVENANCE_ONLY,PROVENANCE_ONLY,6,8.696,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
QC_Status,object,PROVENANCE_QC,PROVENANCE_ONLY,PROVENANCE_ONLY,18,26.087,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
Requires_Manual_Review,object,PROVENANCE_QC,PROVENANCE_ONLY,PROVENANCE_ONLY,18,26.087,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
