Target,Evidence_Pool,Design_ID,Strategy,k,Fold,Train_n,Test_n,Train_Positive_n,Train_Negative_n,Test_Positive_n,Test_Negative_n,Train_Group_n,Test_Group_n,Train_Groups,Test_Groups,Group_Overlap,Group_Overlap_n,Paper_Overlap,Paper_Overlap_n,Study_Series_Overlap,Material_Parent_Overlap,Material_Family_Overlap,Both_Classes_Train,Both_Classes_Test,M2_Complete,Fold_Valid,Design_Feasible,Selected,Rejection_Reason
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K2,GROUP_KFOLD,2,2,9,8,8,1,4,4,3,3,P011_SERIES01|P012_SERIES01|PAPER::P003,P007_SERIES01|P008_SERIES01|PAPER::P001,,0,,0,,,,True,True,True,True,True,False,
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,GROUP_KFOLD,3,1,11,6,7,4,5,1,4,2,P007_SERIES01|P008_SERIES01|PAPER::P001|PAPER::P003,P011_SERIES01|P012_SERIES01,,0,,0,,,FORMULA::FE50MN30CO10CR10,True,True,True,True,True,True,
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,GROUP_KFOLD,3,2,12,5,8,4,4,1,4,2,P011_SERIES01|P012_SERIES01|PAPER::P001|PAPER::P003,P007_SERIES01|P008_SERIES01,,0,,0,,,,True,True,True,True,True,True,
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,GROUP_KFOLD,3,3,11,6,9,2,3,3,4,2,P007_SERIES01|P008_SERIES01|P011_SERIES01|P012_SERIES01,PAPER::P001|PAPER::P003,,0,,0,,,FORMULA::FE50MN30CO10CR10,True,True,True,True,True,True,
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K4,GROUP_KFOLD,4,1,13,4,8,5,4,0,5,1,P007_SERIES01|P008_SERIES01|P011_SERIES01|PAPER::P001|PAPER::P003,P012_SERIES01,,0,,0,,,,True,False,True,False,False,False,CLASS_SUPPORT_OR_GROUP_SEPARATION_FAILURE
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K4,GROUP_KFOLD,4,2,13,4,9,4,3,1,5,1,P008_SERIES01|P011_SERIES01|P012_SERIES01|PAPER::P001|PAPER::P003,P007_SERIES01,,0,,0,,,,True,True,True,True,False,False,ANOTHER_FOLD_LACKS_CLASS_SUPPORT
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K4,GROUP_KFOLD,4,3,12,5,8,4,4,1,4,2,P007_SERIES01|P008_SERIES01|P012_SERIES01|PAPER::P001,P011_SERIES01|PAPER::P003,,0,,0,,,,True,True,True,True,False,False,ANOTHER_FOLD_LACKS_CLASS_SUPPORT
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K4,GROUP_KFOLD,4,4,13,4,11,2,1,3,4,2,P007_SERIES01|P011_SERIES01|P012_SERIES01|PAPER::P003,P008_SERIES01|PAPER::P001,,0,,0,,,,True,True,True,True,False,False,ANOTHER_FOLD_LACKS_CLASS_SUPPORT
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K5,GROUP_KFOLD,5,1,13,4,8,5,4,0,5,1,P007_SERIES01|P008_SERIES01|P011_SERIES01|PAPER::P001|PAPER::P003,P012_SERIES01,,0,,0,,,,True,False,True,False,False,False,CLASS_SUPPORT_OR_GROUP_SEPARATION_FAILURE
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K5,GROUP_KFOLD,5,2,13,4,9,4,3,1,5,1,P008_SERIES01|P011_SERIES01|P012_SERIES01|PAPER::P001|PAPER::P003,P007_SERIES01,,0,,0,,,,True,True,True,True,False,False,ANOTHER_FOLD_LACKS_CLASS_SUPPORT
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K5,GROUP_KFOLD,5,3,14,3,9,5,3,0,5,1,P007_SERIES01|P008_SERIES01|P011_SERIES01|P012_SERIES01|PAPER::P001,PAPER::P003,,0,,0,,,FORMULA::FE50MN30CO10CR10,True,False,True,False,False,False,CLASS_SUPPORT_OR_GROUP_SEPARATION_FAILURE
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K5,GROUP_KFOLD,5,4,14,3,12,2,0,3,5,1,P007_SERIES01|P008_SERIES01|P011_SERIES01|P012_SERIES01|PAPER::P003,PAPER::P001,,0,,0,,,,True,False,True,False,False,False,CLASS_SUPPORT_OR_GROUP_SEPARATION_FAILURE
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K5,GROUP_KFOLD,5,5,14,3,10,4,2,1,4,2,P007_SERIES01|P012_SERIES01|PAPER::P001|PAPER::P003,P008_SERIES01|P011_SERIES01,,0,,0,,,FORMULA::FE50MN30CO10CR10,True,True,True,True,False,False,ANOTHER_FOLD_LACKS_CLASS_SUPPORT
T2_FCC_TWIP_STRICT,ALL_VERIFIED_USABLE,T2_FCC_TWIP_STRICT__ALL_VERIFIED_USABLE__UNSUPPORTED,NOT_CURRENTLY_VALIDATABLE,,,0,0,0,0,0,0,0,0,,,,0,,0,,,,False,False,True,False,False,False,ONLY_ONE_OR_ZERO_POSITIVE_GROUPS
