Paper_ID,ML_Condition_ID,Effective_TRIP,Effective_TWIP,TRIP_Evidence_Status,TWIP_Evidence_Status,Negative_Evidence_Status,Target_Integrity_Status,Issue,Severity,Recommended_Action
P007,P007_MC_A600_5h,,,UNRESOLVED_NA,UNRESOLVED_NA,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,UNRESOLVED_TARGET_COMPONENT,P1,SOURCE_REVIEW; KEEP_NA
P007,P007_MC_A600_10h,1.0,0.0,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,EXPLICIT_CONDITION_NEGATIVE_REVIEWED,PASS_REPOSITORY_RULES,NONE_FOUND,PASS,RETAIN_REVIEWED_EFFECTIVE_TARGETS_UNCHANGED
P007,P007_MC_A600_72h,1.0,1.0,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,NONE_FOUND,PASS,RETAIN_REVIEWED_EFFECTIVE_TARGETS_UNCHANGED
P008,P008_MC_N2p6_PC,0.0,1.0,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,EXPLICIT_CONDITION_NEGATIVE_REVIEWED,PASS_REPOSITORY_RULES,NONE_FOUND,PASS,RETAIN_REVIEWED_EFFECTIVE_TARGETS_UNCHANGED
P016,P016_MC_400C_3min,,,UNRESOLVED_NA,UNRESOLVED_NA,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,UNRESOLVED_TARGET_COMPONENT,P1,SOURCE_REVIEW; KEEP_NA
P016,P016_MC_400C_10min,,,UNRESOLVED_NA,UNRESOLVED_NA,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,UNRESOLVED_TARGET_COMPONENT,P1,SOURCE_REVIEW; KEEP_NA
P016,P016_MC_650C_3min,1.0,,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,UNRESOLVED_NA,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,UNRESOLVED_TARGET_COMPONENT,P1,SOURCE_REVIEW; KEEP_NA
P016,P016_MC_650C_10min,1.0,,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,UNRESOLVED_NA,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,UNRESOLVED_TARGET_COMPONENT,P1,SOURCE_REVIEW; KEEP_NA
P016,P016_MC_750C_3min,1.0,1.0,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,NONE_FOUND,PASS,RETAIN_REVIEWED_EFFECTIVE_TARGETS_UNCHANGED
P016,P016_MC_750C_10min,,,UNRESOLVED_NA,UNRESOLVED_NA,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,UNRESOLVED_TARGET_COMPONENT,P1,SOURCE_REVIEW; KEEP_NA
P008,P008_MC_N0_HOMO,,,UNRESOLVED_NA,UNRESOLVED_NA,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,UNRESOLVED_TARGET_COMPONENT,P1,SOURCE_REVIEW; KEEP_NA
P008,P008_MC_N0_PC,1.0,1.0,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,NONE_FOUND,PASS,RETAIN_REVIEWED_EFFECTIVE_TARGETS_UNCHANGED
P008,P008_MC_N0_FC,1.0,,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,UNRESOLVED_NA,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,UNRESOLVED_TARGET_COMPONENT,P1,SOURCE_REVIEW; KEEP_NA
P008,P008_MC_N2p6_HOMO,,,UNRESOLVED_NA,UNRESOLVED_NA,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,UNRESOLVED_TARGET_COMPONENT,P1,SOURCE_REVIEW; KEEP_NA
P008,P008_MC_N2p6_FC,0.0,1.0,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,EXPLICIT_CONDITION_NEGATIVE_REVIEWED,PASS_REPOSITORY_RULES,NONE_FOUND,PASS,RETAIN_REVIEWED_EFFECTIVE_TARGETS_UNCHANGED
P010,P010_MC_AlloyI,1.0,1.0,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,NONE_FOUND,PASS,RETAIN_REVIEWED_EFFECTIVE_TARGETS_UNCHANGED
P010,P010_MC_AlloyII,0.0,1.0,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,EXPLICIT_CONDITION_NEGATIVE_REVIEWED,PASS_REPOSITORY_RULES,NONE_FOUND,PASS,RETAIN_REVIEWED_EFFECTIVE_TARGETS_UNCHANGED
P010,P010_MC_AlloyIII,1.0,1.0,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,NONE_FOUND,PASS,RETAIN_REVIEWED_EFFECTIVE_TARGETS_UNCHANGED
P011,P011_MC_A9_298K,,,UNRESOLVED_NA,UNRESOLVED_NA,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,UNRESOLVED_TARGET_COMPONENT,P1,SOURCE_REVIEW; KEEP_NA
P011,P011_MC_A10_298K,1.0,1.0,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,POSITIVE_WITH_INITIAL_TWIN_SAFEGUARD_REVIEWED,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,NONE_FOUND,PASS,RETAIN_REVIEWED_EFFECTIVE_TARGETS_UNCHANGED
P011,P011_MC_A11_298K,,,UNRESOLVED_NA,UNRESOLVED_NA,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,UNRESOLVED_TARGET_COMPONENT,P1,SOURCE_REVIEW; KEEP_NA
P011,P011_MC_A10_77K,1.0,0.0,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,EXPLICIT_CONDITION_NEGATIVE_REVIEWED,PASS_REPOSITORY_RULES,NONE_FOUND,PASS,RETAIN_REVIEWED_EFFECTIVE_TARGETS_UNCHANGED
P012,P012_MC_BASE_RT,,1.0,UNRESOLVED_NA,POSITIVE_WITH_INITIAL_TWIN_SAFEGUARD_REVIEWED,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,UNRESOLVED_TARGET_COMPONENT,P1,SOURCE_REVIEW; KEEP_NA
P012,P012_MC_MO_RT,,1.0,UNRESOLVED_NA,POSITIVE_WITH_INITIAL_TWIN_SAFEGUARD_REVIEWED,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,UNRESOLVED_TARGET_COMPONENT,P1,SOURCE_REVIEW; KEEP_NA
P012,P012_MC_C_RT,,1.0,UNRESOLVED_NA,POSITIVE_WITH_INITIAL_TWIN_SAFEGUARD_REVIEWED,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,UNRESOLVED_TARGET_COMPONENT,P1,SOURCE_REVIEW; KEEP_NA
P012,P012_MC_BASE_77K,1.0,,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,UNRESOLVED_NA,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,UNRESOLVED_TARGET_COMPONENT,P1,SOURCE_REVIEW; KEEP_NA
P012,P012_MC_MO_77K,1.0,,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,UNRESOLVED_NA,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,UNRESOLVED_TARGET_COMPONENT,P1,SOURCE_REVIEW; KEEP_NA
P012,P012_MC_C_77K,1.0,1.0,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,POSITIVE_WITH_INITIAL_TWIN_SAFEGUARD_REVIEWED,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,NONE_FOUND,PASS,RETAIN_REVIEWED_EFFECTIVE_TARGETS_UNCHANGED
P013,P013_MC_ASCAST_RT,1.0,1.0,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,NONE_FOUND,PASS,RETAIN_REVIEWED_EFFECTIVE_TARGETS_UNCHANGED
P014,P014_MC_ASCAST,,,UNRESOLVED_NA,UNRESOLVED_NA,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,UNRESOLVED_TARGET_COMPONENT,P1,SOURCE_REVIEW; KEEP_NA
P014,P014_MC_CR,,,UNRESOLVED_NA,UNRESOLVED_NA,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,UNRESOLVED_TARGET_COMPONENT,P1,SOURCE_REVIEW; KEEP_NA
P014,P014_MC_A600,1.0,1.0,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,NONE_FOUND,PASS,RETAIN_REVIEWED_EFFECTIVE_TARGETS_UNCHANGED
P014,P014_MC_A650,,,UNRESOLVED_NA,UNRESOLVED_NA,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,UNRESOLVED_TARGET_COMPONENT,P1,SOURCE_REVIEW; KEEP_NA
P014,P014_MC_A700,,,UNRESOLVED_NA,UNRESOLVED_NA,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,UNRESOLVED_TARGET_COMPONENT,P1,SOURCE_REVIEW; KEEP_NA
P015,P015_MC_298K,0.0,1.0,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,EXPLICIT_CONDITION_NEGATIVE_REVIEWED,PASS_REPOSITORY_RULES,NONE_FOUND,PASS,RETAIN_REVIEWED_EFFECTIVE_TARGETS_UNCHANGED
P015,P015_MC_77K,1.0,1.0,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,DIRECT_OR_REVIEWED_CONDITION_EVIDENCE,NOT_APPLICABLE_OR_NO_NEGATIVE,PASS_REPOSITORY_RULES,NONE_FOUND,PASS,RETAIN_REVIEWED_EFFECTIVE_TARGETS_UNCHANGED
