Target,Population,Grouping_Level,Positive_Conditions,Negative_Conditions,Total_Groups,Groups_Containing_Positives,Groups_Containing_Negatives,Material_Parents_Containing_Positives,Material_Parents_Containing_Negatives,Papers_Containing_Positives,Papers_Containing_Negatives,Largest_Negative_Group_Count,Largest_Negative_Group_Share,Flags,Notes
T1_TRIP,M2_CORE_COMPLETE,Leakage_Group_Material,17,2,9,8,2,8,2,6,2,1,0.5,NEGATIVE_CLASS_TWO_GROUPS|LOW_GROUP_SUPPORT|CLASS_GROUP_CONFOUNDING,LOW_GROUP_SUPPORT is emitted when the negative class has fewer than five groups or ten conditions. CLASS_GROUP_CONFOUNDING requires a class-pure group containing at least half of all negatives. Effective fallback groups never invent batch identity.
T2_TWIP,ALL_TARGET_USABLE,Paper_ID,24,6,12,11,4,16,4,11,4,3,0.5,LOW_GROUP_SUPPORT|CLASS_GROUP_CONFOUNDING,LOW_GROUP_SUPPORT is emitted when the negative class has fewer than five groups or ten conditions. CLASS_GROUP_CONFOUNDING requires a class-pure group containing at least half of all negatives. Effective fallback groups never invent batch identity.
T2_TWIP,ALL_TARGET_USABLE,Study_Series_ID,24,6,12,11,4,16,4,11,4,3,0.5,LOW_GROUP_SUPPORT|CLASS_GROUP_CONFOUNDING,LOW_GROUP_SUPPORT is emitted when the negative class has fewer than five groups or ten conditions. CLASS_GROUP_CONFOUNDING requires a class-pure group containing at least half of all negatives. Effective fallback groups never invent batch identity.
T2_TWIP,ALL_TARGET_USABLE,Material_Parent_ID,24,6,17,16,4,16,4,11,4,3,0.5,LOW_GROUP_SUPPORT|CLASS_GROUP_CONFOUNDING,LOW_GROUP_SUPPORT is emitted when the negative class has fewer than five groups or ten conditions. CLASS_GROUP_CONFOUNDING requires a class-pure group containing at least half of all negatives. Effective fallback groups never invent batch identity.
T2_TWIP,ALL_TARGET_USABLE,Physical_Batch_ID,24,6,17,16,4,16,4,11,4,3,0.5,LOW_GROUP_SUPPORT|CLASS_GROUP_CONFOUNDING,LOW_GROUP_SUPPORT is emitted when the negative class has fewer than five groups or ten conditions. CLASS_GROUP_CONFOUNDING requires a class-pure group containing at least half of all negatives. Effective fallback groups never invent batch identity.
T2_TWIP,ALL_TARGET_USABLE,Leakage_Group_Strict,24,6,12,11,4,16,4,11,4,3,0.5,LOW_GROUP_SUPPORT|CLASS_GROUP_CONFOUNDING,LOW_GROUP_SUPPORT is emitted when the negative class has fewer than five groups or ten conditions. CLASS_GROUP_CONFOUNDING requires a class-pure group containing at least half of all negatives. Effective fallback groups never invent batch identity.
T2_TWIP,ALL_TARGET_USABLE,Leakage_Group_Material,24,6,17,16,4,16,4,11,4,3,0.5,LOW_GROUP_SUPPORT|CLASS_GROUP_CONFOUNDING,LOW_GROUP_SUPPORT is emitted when the negative class has fewer than five groups or ten conditions. CLASS_GROUP_CONFOUNDING requires a class-pure group containing at least half of all negatives. Effective fallback groups never invent batch identity.
T2_TWIP,M2_CORE_COMPLETE,Paper_ID,14,6,7,6,4,8,4,6,4,3,0.5,LOW_GROUP_SUPPORT|CLASS_GROUP_CONFOUNDING,LOW_GROUP_SUPPORT is emitted when the negative class has fewer than five groups or ten conditions. CLASS_GROUP_CONFOUNDING requires a class-pure group containing at least half of all negatives. Effective fallback groups never invent batch identity.
T2_TWIP,M2_CORE_COMPLETE,Study_Series_ID,14,6,7,6,4,8,4,6,4,3,0.5,LOW_GROUP_SUPPORT|CLASS_GROUP_CONFOUNDING,LOW_GROUP_SUPPORT is emitted when the negative class has fewer than five groups or ten conditions. CLASS_GROUP_CONFOUNDING requires a class-pure group containing at least half of all negatives. Effective fallback groups never invent batch identity.
T2_TWIP,M2_CORE_COMPLETE,Material_Parent_ID,14,6,9,8,4,8,4,6,4,3,0.5,LOW_GROUP_SUPPORT|CLASS_GROUP_CONFOUNDING,LOW_GROUP_SUPPORT is emitted when the negative class has fewer than five groups or ten conditions. CLASS_GROUP_CONFOUNDING requires a class-pure group containing at least half of all negatives. Effective fallback groups never invent batch identity.
T2_TWIP,M2_CORE_COMPLETE,Physical_Batch_ID,14,6,9,8,4,8,4,6,4,3,0.5,LOW_GROUP_SUPPORT|CLASS_GROUP_CONFOUNDING,LOW_GROUP_SUPPORT is emitted when the negative class has fewer than five groups or ten conditions. CLASS_GROUP_CONFOUNDING requires a class-pure group containing at least half of all negatives. Effective fallback groups never invent batch identity.
T2_TWIP,M2_CORE_COMPLETE,Leakage_Group_Strict,14,6,7,6,4,8,4,6,4,3,0.5,LOW_GROUP_SUPPORT|CLASS_GROUP_CONFOUNDING,LOW_GROUP_SUPPORT is emitted when the negative class has fewer than five groups or ten conditions. CLASS_GROUP_CONFOUNDING requires a class-pure group containing at least half of all negatives. Effective fallback groups never invent batch identity.
T2_TWIP,M2_CORE_COMPLETE,Leakage_Group_Material,14,6,9,8,4,8,4,6,4,3,0.5,LOW_GROUP_SUPPORT|CLASS_GROUP_CONFOUNDING,LOW_GROUP_SUPPORT is emitted when the negative class has fewer than five groups or ten conditions. CLASS_GROUP_CONFOUNDING requires a class-pure group containing at least half of all negatives. Effective fallback groups never invent batch identity.
