Issue_ID,Priority,Paper_ID,Record_ID,Issue_Category,Scientific_Description,Current_Value,Expected_Semantic_State,Recommended_Action,Requires_Source_PDF,Blocks_Feature_Design,Blocks_ML_Training,Status
V12-0018,P1,P012,P012_MC_C_RT,UNRESOLVED_TARGET,One or both effective experimental targets remain unknown; NA is preserved.,TRIP=nan;TWIP=1.0,"DIRECT_POSITIVE, EXPLICIT_CONDITION_NEGATIVE, OR NA",Review verified source evidence; never infer or convert NA to zero.,True,False,True,OPEN
V12-0019,P1,P012,P012_MC_BASE_77K,UNRESOLVED_TARGET,One or both effective experimental targets remain unknown; NA is preserved.,TRIP=1.0;TWIP=nan,"DIRECT_POSITIVE, EXPLICIT_CONDITION_NEGATIVE, OR NA",Review verified source evidence; never infer or convert NA to zero.,True,False,True,OPEN
V12-0020,P1,P012,P012_MC_MO_77K,UNRESOLVED_TARGET,One or both effective experimental targets remain unknown; NA is preserved.,TRIP=1.0;TWIP=nan,"DIRECT_POSITIVE, EXPLICIT_CONDITION_NEGATIVE, OR NA",Review verified source evidence; never infer or convert NA to zero.,True,False,True,OPEN
V12-0021,P1,P014,P014_MC_ASCAST,UNRESOLVED_TARGET,One or both effective experimental targets remain unknown; NA is preserved.,TRIP=nan;TWIP=nan,"DIRECT_POSITIVE, EXPLICIT_CONDITION_NEGATIVE, OR NA",Review verified source evidence; never infer or convert NA to zero.,True,False,True,OPEN
V12-0022,P1,P014,P014_MC_CR,UNRESOLVED_TARGET,One or both effective experimental targets remain unknown; NA is preserved.,TRIP=nan;TWIP=nan,"DIRECT_POSITIVE, EXPLICIT_CONDITION_NEGATIVE, OR NA",Review verified source evidence; never infer or convert NA to zero.,True,False,True,OPEN
V12-0023,P1,P014,P014_MC_A650,UNRESOLVED_TARGET,One or both effective experimental targets remain unknown; NA is preserved.,TRIP=nan;TWIP=nan,"DIRECT_POSITIVE, EXPLICIT_CONDITION_NEGATIVE, OR NA",Review verified source evidence; never infer or convert NA to zero.,True,False,True,OPEN
V12-0024,P1,P014,P014_MC_A700,UNRESOLVED_TARGET,One or both effective experimental targets remain unknown; NA is preserved.,TRIP=nan;TWIP=nan,"DIRECT_POSITIVE, EXPLICIT_CONDITION_NEGATIVE, OR NA",Review verified source evidence; never infer or convert NA to zero.,True,False,True,OPEN
V12-0025,P1,P018,PAPER,SOURCE_UNAVAILABLE,No verified source recovery is available; preserved legacy computational rows are not promoted.,SOURCE_UNAVAILABLE_PENDING_REVIEW,VERIFIED_SOURCE_REQUIRED_BEFORE_RECOVERY,Obtain and review full source PDF/supplement.,True,False,True,OPEN
V12-0026,P1,P019,PAPER,SOURCE_UNAVAILABLE,No verified source recovery is available; preserved legacy computational rows are not promoted.,SOURCE_UNAVAILABLE_PENDING_REVIEW,VERIFIED_SOURCE_REQUIRED_BEFORE_RECOVERY,Obtain and review full source PDF/supplement.,True,False,True,OPEN
V12-0027,P2,P008,P008_MC_N0_HOMO,PROVENANCE_COMPLETENESS,Condition provenance is partial in the consolidated row/ledger view.,Evidence_Location_Present,COMPLETE_FIELD_LEVEL_PROVENANCE,Retain gap; recover exact source location/method only from verified source.,True,False,False,OPEN
V12-0028,P2,P008,P008_MC_N0_PC,PROVENANCE_COMPLETENESS,Condition provenance is partial in the consolidated row/ledger view.,Evidence_Location_Present,COMPLETE_FIELD_LEVEL_PROVENANCE,Retain gap; recover exact source location/method only from verified source.,True,False,False,OPEN
V12-0029,P2,P008,P008_MC_N0_FC,PROVENANCE_COMPLETENESS,Condition provenance is partial in the consolidated row/ledger view.,Evidence_Location_Present,COMPLETE_FIELD_LEVEL_PROVENANCE,Retain gap; recover exact source location/method only from verified source.,True,False,False,OPEN
V12-0030,P2,P008,P008_MC_N2p6_HOMO,PROVENANCE_COMPLETENESS,Condition provenance is partial in the consolidated row/ledger view.,Evidence_Location_Present,COMPLETE_FIELD_LEVEL_PROVENANCE,Retain gap; recover exact source location/method only from verified source.,True,False,False,OPEN
V12-0031,P2,P008,P008_MC_N2p6_FC,PROVENANCE_COMPLETENESS,Condition provenance is partial in the consolidated row/ledger view.,Evidence_Location_Present,COMPLETE_FIELD_LEVEL_PROVENANCE,Retain gap; recover exact source location/method only from verified source.,True,False,False,OPEN
